Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
Cyprus,Standard Room,1,February 2019,Couple, What I liked more was how easy was to get a late check out until 6pm without any charge and actually promote it on their customer website.,10.0,Excellent Service and value overall.  Well Done!,1,staff,1
United Kingdom,Superior Room with River view,3,March 2021,Solo traveler, Very quiet with good customer service,9.0,"Very good, thank you very much",1,noisiness,1
United Kingdom,Superior Room with River view,3,March 2021,Solo traveler, Very quiet with good customer service,9.0,"Very good, thank you very much",1,staff,1
United Kingdom,Superior Room with River view,4,March 2021,Solo traveler," very helpful staff, excellent city centre position and lovely views of the river!
complimentary breakfast bag was a nice touch during difficult times with many places not open at the moment",8.0,Very Good,1,staff,1
United Kingdom,Superior Room with River view,4,March 2021,Solo traveler," very helpful staff, excellent city centre position and lovely views of the river!
complimentary breakfast bag was a nice touch during difficult times with many places not open at the moment",8.0,Very Good,1,location,1
United Kingdom,Superior Room with River view,4,March 2021,Solo traveler," very helpful staff, excellent city centre position and lovely views of the river!
complimentary breakfast bag was a nice touch during difficult times with many places not open at the moment",8.0,Very Good,1,price,1
United Kingdom,Superior Room with River view,4,March 2021,Solo traveler," very helpful staff, excellent city centre position and lovely views of the river!
complimentary breakfast bag was a nice touch during difficult times with many places not open at the moment",8.0,Very Good,1,food/drink,0
United Kingdom,Superior Room with River view,3,March 2021,Solo traveler," Nice hotel, nice room, massive comfortable bed. Even though it is not directly on the river front, it is set back a bit, and has a main road next to it (no street noises though)  the views were stunning.",8.8,Just booked again,1,comfort,0
United Kingdom,Superior Room with River view,3,March 2021,Solo traveler," Nice hotel, nice room, massive comfortable bed. Even though it is not directly on the river front, it is set back a bit, and has a main road next to it (no street noises though)  the views were stunning.",8.8,Just booked again,1,bed,0
United Kingdom,Superior Room with River view,3,March 2021,Solo traveler," Nice hotel, nice room, massive comfortable bed. Even though it is not directly on the river front, it is set back a bit, and has a main road next to it (no street noises though)  the views were stunning.",8.8,Just booked again,1,noisiness,0
United Kingdom,Superior Room with River view,3,March 2021,Solo traveler," Nice hotel, nice room, massive comfortable bed. Even though it is not directly on the river front, it is set back a bit, and has a main road next to it (no street noises though)  the views were stunning.",8.8,Just booked again,1,location,0
United Kingdom,Superior Room with River view,4,March 2021,Group, Nice central hotel,8.0,"Nice friendly hotel, looked after us during difficult times",1,location,0
United Kingdom,Standard Room,1,March 2021,Solo traveler, Location to project I’m currently working on,7.0,Did want it needed,1,location,1
United Kingdom,Standard Room,1,March 2021,Solo traveler, Location and price was excellent,9.0,Last minute booking,1,location,1
United Kingdom,Standard Room,1,March 2021,Solo traveler, Location and price was excellent,9.0,Last minute booking,1,price,1
United Kingdom,Standard Room,1,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.",9.0,Wonderful,1,location,1
United Kingdom,Standard Room,1,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.",9.0,Wonderful,1,bathroom,1
United Kingdom,Standard Room,1,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.",9.0,Wonderful,1,bed,1
United Kingdom,Standard Room,1,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.",9.0,Wonderful,1,comfort,1
United Kingdom,Standard Room,1,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.",9.0,Wonderful,1,price,1
