Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
France,Superior King Room,4,August 2019,Family," Everything was amazing: the staff, the room, the food, a great hotel overall. Next to an underground station, it's easy to get to London's main attractions without getting lost.",10.0,Exceptional,1,staff,0
France,Superior King Room,4,August 2019,Family," Everything was amazing: the staff, the room, the food, a great hotel overall. Next to an underground station, it's easy to get to London's main attractions without getting lost.",10.0,Exceptional,1,food/drink,0
United Kingdom,Superior King Room,1,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too.,10.0,Great location and place to stay,1,staff,0
United Kingdom,Superior King Room,1,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too.,10.0,Great location and place to stay,1,noisiness,0
United Kingdom,Superior King Room,1,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too.,10.0,Great location and place to stay,1,comfort,0
United Kingdom,Superior King Room,1,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too.,10.0,Great location and place to stay,1,bathroom,0
United Kingdom,Superior King Room,1,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too.,10.0,Great location and place to stay,1,bed,0
United Kingdom,Superior King Room,1,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too.,10.0,Great location and place to stay,1,dirty,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,price,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,bathroom,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,comfort,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,dirty,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,staff,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,location,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,parking,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,noisiness,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,bed,1
United Kingdom,Superior King Room,3,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,10.0,Exceptional,1,food/drink,1
United Kingdom,Superior King Room,1,February 2021,Solo traveler, Good for value,10.0,Exceptional,1,price,1
United Kingdom,Superior King Room,7,February 2021,Family, All staff very friendly. Luigi was specially helpful and made this experience even more pleasurable. I definitely recommend Park Plaza London,10.0,Exceptional,1,staff,0
United Kingdom,Superior King Room,1,November 2020,Couple," Clean, friendly staff, quiet, when brought broken toilet issue to staffs",8.0,Very Good,1,dirty,0
