Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
Singapore,Executive Room with Lounge Access,2,December 2019,Couple," Clean and large room.
Extremely helpful and friendly staff.",10.0,Excellent! Fantastic staff. Relatively new building with large and clean room.,1,dirty,0
Singapore,Executive Room with Lounge Access,2,December 2019,Couple," Clean and large room.
Extremely helpful and friendly staff.",10.0,Excellent! Fantastic staff. Relatively new building with large and clean room.,1,staff,1
United Arab Emirates,Standard Room,2,March 2021,Family," Location is amazing 
Staff very helpful",8.0,Very Good,1,location,1
United Arab Emirates,Standard Room,2,March 2021,Family," Location is amazing 
Staff very helpful",8.0,Very Good,1,staff,0
Serbia,Standard Room with Burj Khalifa View,6,March 2021,Couple," The staff was super helpfull around the clock, and the room was cleaned everyday. Location is great if you're here for the Dubai Mall, or shopping in general, or to go to great restaurants in DIFC. The Burj Khalifa view from the room is also nice touch.",10.0,Exceptional,1,staff,0
Serbia,Standard Room with Burj Khalifa View,6,March 2021,Couple," The staff was super helpfull around the clock, and the room was cleaned everyday. Location is great if you're here for the Dubai Mall, or shopping in general, or to go to great restaurants in DIFC. The Burj Khalifa view from the room is also nice touch.",10.0,Exceptional,1,location,0
Serbia,Standard Room with Burj Khalifa View,6,March 2021,Couple," The staff was super helpfull around the clock, and the room was cleaned everyday. Location is great if you're here for the Dubai Mall, or shopping in general, or to go to great restaurants in DIFC. The Burj Khalifa view from the room is also nice touch.",10.0,Exceptional,1,restaurant,0
United Arab Emirates,Superior Room with Balcony,2,March 2021,Family," Staff 
Clean 
Food",10.0,Exceptional,1,staff,0
United Arab Emirates,Superior Room with Balcony,2,March 2021,Family," Staff 
Clean 
Food",10.0,Exceptional,1,dirty,0
United Arab Emirates,Superior Room with Balcony,2,March 2021,Family," Staff 
Clean 
Food",10.0,Exceptional,1,food/drink,0
Netherlands,Standard Room with Burj Khalifa View,6,March 2021,Couple," This hotel.. I have never experienced something like this. The personnel was so friendly. It has a multicultural environment and everyone is so genuine. The room cleaning was also outstanding. A few guys I would like to thank in special, Bilal Muhammad, Derek, thank you guys. You have been great.",10.0,Exceptional,1,staff,0
Netherlands,Standard Room with Burj Khalifa View,6,March 2021,Couple," This hotel.. I have never experienced something like this. The personnel was so friendly. It has a multicultural environment and everyone is so genuine. The room cleaning was also outstanding. A few guys I would like to thank in special, Bilal Muhammad, Derek, thank you guys. You have been great.",10.0,Exceptional,1,dirty,0
Bulgaria,Premium Room with Balcony and Burj Khalifa View,2,February 2021,Solo traveler, Nice view at Burj Khalifa. Nice terrace with bar.,8.0,good hotel,1,location,0
Bulgaria,Premium Room with Balcony and Burj Khalifa View,2,February 2021,Solo traveler, Nice view at Burj Khalifa. Nice terrace with bar.,8.0,good hotel,1,restaurant,0
France,Premium Room with Balcony and Burj Khalifa View,2,March 2021,Couple," Good view, good room, bathroom and shower separate. Good services.",8.0,Very Good,1,location,0
France,Premium Room with Balcony and Burj Khalifa View,2,March 2021,Couple," Good view, good room, bathroom and shower separate. Good services.",8.0,Very Good,1,bathroom,0
