Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
Qatar,Standard Room,1,August 2019,Family, The location. The rooms and bed are comfortable. The feel that you are in an old castle as the building is historic from the outside. They upgraded me to a large suite.,10.0,Best location,1,location,0
Qatar,Standard Room,1,August 2019,Family, The location. The rooms and bed are comfortable. The feel that you are in an old castle as the building is historic from the outside. They upgraded me to a large suite.,10.0,Best location,1,bed,0
Qatar,Standard Room,1,August 2019,Family, The location. The rooms and bed are comfortable. The feel that you are in an old castle as the building is historic from the outside. They upgraded me to a large suite.,10.0,Best location,1,comfort,0
United Kingdom,Superior Room with Hill View,1,March 2021,Couple, Excellent customer service staff went above and beyond to meet our expectations,9.0,staff are very helpful and accomodating,1,staff,0
United Kingdom,Premium Room,1,March 2021,Couple," Everything, we have been unlucky with covid cancelling things and we got married yesterday, raddison upgraded our room, brought us up ice buckets, plates, cutlery, drinks anything we needed was no hassle at all, easily the best place we have ever stayed and will be back again soon once everything is back up and open! Cant remember the receptionists name, Flynn I think (apologies if I'm wrong) but he was superb and really made our stay perfect",10.0,5 star!!!! Incredible!,1,covid,0
United Kingdom,Premium Room,1,March 2021,Couple," Everything, we have been unlucky with covid cancelling things and we got married yesterday, raddison upgraded our room, brought us up ice buckets, plates, cutlery, drinks anything we needed was no hassle at all, easily the best place we have ever stayed and will be back again soon once everything is back up and open! Cant remember the receptionists name, Flynn I think (apologies if I'm wrong) but he was superb and really made our stay perfect",10.0,5 star!!!! Incredible!,1,food/drink,0
United Kingdom,Premium Room,1,March 2021,Couple," Everything, we have been unlucky with covid cancelling things and we got married yesterday, raddison upgraded our room, brought us up ice buckets, plates, cutlery, drinks anything we needed was no hassle at all, easily the best place we have ever stayed and will be back again soon once everything is back up and open! Cant remember the receptionists name, Flynn I think (apologies if I'm wrong) but he was superb and really made our stay perfect",10.0,5 star!!!! Incredible!,1,location,0
United Kingdom,Premium Room,1,February 2021,Solo traveler, I was upgraded to a suite! What's not to like. Breakfast with all social distancing protocols in place. I appreciate the 12noon checkout time especially as the alternative would be almost 2 hour wait on a cold station as trains running on my route home only cleared of cancellations after midday.,10.0,Saved by last minute booking,1,food/drink,0
United Kingdom,Premium Room,1,February 2021,Solo traveler, I was upgraded to a suite! What's not to like. Breakfast with all social distancing protocols in place. I appreciate the 12noon checkout time especially as the alternative would be almost 2 hour wait on a cold station as trains running on my route home only cleared of cancellations after midday.,10.0,Saved by last minute booking,1,location,0
United Kingdom,Premium Room,1,February 2021,Couple," Room looked very nice, comfortable, once it warmed up we were very happy, reception staff were very kind and nothing was any trouble to them",8.0,Very Good,1,comfort,0
