Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
Germany,Superior Twin Room,3,February 2020,Couple," Clean and modern, staff was friendly and Accommodating. Very good breakfast and Restaurant.Good security I felt very safe.",10.0,Very comfortable stay,1,dirty,0
Germany,Superior Twin Room,3,February 2020,Couple," Clean and modern, staff was friendly and Accommodating. Very good breakfast and Restaurant.Good security I felt very safe.",10.0,Very comfortable stay,1,comfort,0
Germany,Superior Twin Room,3,February 2020,Couple," Clean and modern, staff was friendly and Accommodating. Very good breakfast and Restaurant.Good security I felt very safe.",10.0,Very comfortable stay,1,staff,0
Germany,Superior Twin Room,3,February 2020,Couple," Clean and modern, staff was friendly and Accommodating. Very good breakfast and Restaurant.Good security I felt very safe.",10.0,Very comfortable stay,1,food/drink,0
Germany,Superior Twin Room,3,February 2020,Couple," Clean and modern, staff was friendly and Accommodating. Very good breakfast and Restaurant.Good security I felt very safe.",10.0,Very comfortable stay,1,restaurant,0
United Kingdom,Executive Double Room - River View,4,December 2020,Couple," Everything about the room was brilliant, it was clean, comfortable and spacious. The view was fantastic too. I have every intention on using this hotel as many times as possible, absolutely loved my room.",10.0,Exceptional,1,dirty,0
United Kingdom,Executive Double Room - River View,4,December 2020,Couple," Everything about the room was brilliant, it was clean, comfortable and spacious. The view was fantastic too. I have every intention on using this hotel as many times as possible, absolutely loved my room.",10.0,Exceptional,1,comfort,0
United Kingdom,Executive Double Room - River View,4,December 2020,Couple," Everything about the room was brilliant, it was clean, comfortable and spacious. The view was fantastic too. I have every intention on using this hotel as many times as possible, absolutely loved my room.",10.0,Exceptional,1,location,0
United Kingdom,Executive Double Room - River View,1,December 2020,Couple, Great location and ultra modern interior,8.0,Great place to stay in London,1,location,0
United Kingdom,Executive Double Room - River View,1,December 2020,Couple, Great location and ultra modern interior,8.0,Great place to stay in London,1,comfort,0
United Kingdom,One-Bedroom Suite with Balcony and River View,1,December 2020,Couple," The space and quality of our top floor suite with terrace, the view, the welcome and friendliness of staff when checking in and out",10.0,Exceptional,1,location,0
United Kingdom,One-Bedroom Suite with Balcony and River View,1,December 2020,Couple," The space and quality of our top floor suite with terrace, the view, the welcome and friendliness of staff when checking in and out",10.0,Exceptional,1,staff,0
United Kingdom,Executive Double Room - River View,4,December 2020,Couple," room, location breakfast all Excellent, staff very professionally",10.0,'Excellent',1,location,0
United Kingdom,Executive Double Room - River View,4,December 2020,Couple," room, location breakfast all Excellent, staff very professionally",10.0,'Excellent',1,food/drink,0
United Kingdom,Executive Double Room - River View,4,December 2020,Couple," room, location breakfast all Excellent, staff very professionally",10.0,'Excellent',1,staff,1
United Kingdom,Executive Double Room,2,December 2020,Couple, Cleanliness,10.0,Short city break,1,dirty,0
United Kingdom,Studio Double Room with Sofa Bed,2,December 2020,Family, Rooms were good lovely view of London eye everything was spotless nice breakfast good location,9.0,Park plaza great location,1,location,0
United Kingdom,Studio Double Room with Sofa Bed,2,December 2020,Family, Rooms were good lovely view of London eye everything was spotless nice breakfast good location,9.0,Park plaza great location,1,food/drink,0
United Kingdom,Executive Double Room - River View,1,December 2020,Family, Great location and views,10.0,Great stay,1,location,0
United Kingdom,One-Bedroom Suite with Kitchenette and River View,6,October 2020,Family, Central location,10.0,Exceptional,1,location,0
United Kingdom,Superior Twin Room,2,October 2020,Family," The staff were incredibly friendly and helpful, an absolute credit to the company",9.0,Weekend away with my daughter,1,staff,0
United Kingdom,Studio Double Room with Sofa Bed,2,October 2020,Family, Staff were really attentive despite covid restriction,10.0,Exceptional,1,staff,0
United Kingdom,Studio Double Room with Sofa Bed,2,October 2020,Family, Staff were really attentive despite covid restriction,10.0,Exceptional,1,covid,0
United Kingdom,Superior Twin Room,2,October 2020,Family, Clean and helpful friendly staff.,8.0,Very Good,1,dirty,0
United Kingdom,Superior Twin Room,2,October 2020,Family, Clean and helpful friendly staff.,8.0,Very Good,1,staff,0
United Kingdom,Executive Double Room,1,October 2020,Group, Excellent customer service. Very clean and laid out well,10.0,One night get away,1,staff,0
United Kingdom,Executive Double Room,1,October 2020,Group, Excellent customer service. Very clean and laid out well,10.0,One night get away,1,dirty,0
United Kingdom,Executive Twin Room,2,October 2020,Couple, Tv lounge in the room a great addition,10.0,Exceptional,1,tv,0
United Kingdom,Executive Double Room - River View,1,October 2020,Family, So we actually stayed in the Westminster one as the riverside hotel is shut and they only told us at check in. But I wasn’t a fan of the check in lady but apart from her all the staff were lovely. Especially Konrad the bar man ( in the restaurant/bar ),7.0,Good,1,staff,0
United Kingdom,Executive Double Room - River View,1,October 2020,Family, So we actually stayed in the Westminster one as the riverside hotel is shut and they only told us at check in. But I wasn’t a fan of the check in lady but apart from her all the staff were lovely. Especially Konrad the bar man ( in the restaurant/bar ),7.0,Good,1,restaurant,0
