,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Qatar,Standard Room,1 night ,August 2019,Family, The location. The rooms and bed are comfortable. The feel that you are in an old castle as the building is historic from the outside. They upgraded me to a large suite., The lobby area.,10,Best location
1,United Kingdom,Superior Room with Hill View,1 night ,March 2021,Couple, Excellent customer service staff went above and beyond to meet our expectations,,9.0,staff are very helpful and accomodating
2,United Kingdom,Premium Room,2 nights ,January 2021,Solo traveler,, Room temperatures and heating,8.0,Very Good
3,United Kingdom,Premium Room,1 night ,March 2021,Couple," Everything, we have been unlucky with covid cancelling things and we got married yesterday, raddison upgraded our room, brought us up ice buckets, plates, cutlery, drinks anything we needed was no hassle at all, easily the best place we have ever stayed and will be back again soon once everything is back up and open! Cant remember the receptionists name, Flynn I think (apologies if I'm wrong) but he was superb and really made our stay perfect"," Nothing, everything was perfect! Only wish our stay could have been longer!",10,5 star!!!! Incredible!
4,United Kingdom,Premium Room,1 night ,February 2021,Solo traveler, I was upgraded to a suite! What's not to like. Breakfast with all social distancing protocols in place. I appreciate the 12noon checkout time especially as the alternative would be almost 2 hour wait on a cold station as trains running on my route home only cleared of cancellations after midday.,,10,Saved by last minute booking
5,United Kingdom,Premium Room,1 night ,February 2021,Couple," Room looked very nice, comfortable, once it warmed up we were very happy, reception staff were very kind and nothing was any trouble to them"," Room took 4 hours to heat up, understandable with hotel being so quiet, and there were stains on our bed sheets",8.0,Very Good
6,United Kingdom,Premium Room,2 nights ,December 2020,Couple, Everything was perfect staff friendly had a great stay, N/a,10,Great hotel
7,United Kingdom,Superior Room with Hill View,1 night ,December 2020,Couple, Friendly, Beautiful and clean,10,"Hotel was beautiful and food was lovely, Staff where fantastic, amazing Hotel."
8,United Kingdom,Standard Room,1 night ,December 2020,Family,, that the swimming pool was closed due to pandemic,8.0,Very Good
9,United Kingdom,Premium Room,2 nights ,December 2020,Couple," This is such a fantastic hotel. We parked in the adjacent car park. Got the lift straight to hotel lobby. As it was raining this was a godsend. 
On check in the staff were very friendly and gave us a voucher for 2 drinks as it was my husbands birthday. 
Our room was clean and very comfortable .
The food in the restaurant and at breakfast was of fantastic quality and still a great variety given the current restrictions.
We had treatments in the hotel spa. All I can say is wow well worth the money. 
Overall I loved our stay and will definitely be back.", Nothing,10,Fantastic hotel
10,Qatar,Standard Room,1 night ,August 2019,Family, The location. The rooms and bed are comfortable. The feel that you are in an old castle as the building is historic from the outside. They upgraded me to a large suite., The lobby area.,10,Best location
11,United Kingdom,Superior Room with Hill View,1 night ,March 2021,Couple, Excellent customer service staff went above and beyond to meet our expectations,,9.0,staff are very helpful and accomodating
12,United Kingdom,Premium Room,2 nights ,January 2021,Solo traveler,, Room temperatures and heating,8.0,Very Good
13,United Kingdom,Premium Room,1 night ,March 2021,Couple," Everything, we have been unlucky with covid cancelling things and we got married yesterday, raddison upgraded our room, brought us up ice buckets, plates, cutlery, drinks anything we needed was no hassle at all, easily the best place we have ever stayed and will be back again soon once everything is back up and open! Cant remember the receptionists name, Flynn I think (apologies if I'm wrong) but he was superb and really made our stay perfect"," Nothing, everything was perfect! Only wish our stay could have been longer!",10,5 star!!!! Incredible!
14,United Kingdom,Premium Room,1 night ,February 2021,Solo traveler, I was upgraded to a suite! What's not to like. Breakfast with all social distancing protocols in place. I appreciate the 12noon checkout time especially as the alternative would be almost 2 hour wait on a cold station as trains running on my route home only cleared of cancellations after midday.,,10,Saved by last minute booking
15,United Kingdom,Premium Room,1 night ,February 2021,Couple," Room looked very nice, comfortable, once it warmed up we were very happy, reception staff were very kind and nothing was any trouble to them"," Room took 4 hours to heat up, understandable with hotel being so quiet, and there were stains on our bed sheets",8.0,Very Good
16,United Kingdom,Premium Room,2 nights ,December 2020,Couple, Everything was perfect staff friendly had a great stay, N/a,10,Great hotel
17,United Kingdom,Superior Room with Hill View,1 night ,December 2020,Couple, Friendly, Beautiful and clean,10,"Hotel was beautiful and food was lovely, Staff where fantastic, amazing Hotel."
18,United Kingdom,Standard Room,1 night ,December 2020,Family,, that the swimming pool was closed due to pandemic,8.0,Very Good
19,United Kingdom,Premium Room,2 nights ,December 2020,Couple," This is such a fantastic hotel. We parked in the adjacent car park. Got the lift straight to hotel lobby. As it was raining this was a godsend. 
On check in the staff were very friendly and gave us a voucher for 2 drinks as it was my husbands birthday. 
Our room was clean and very comfortable .
The food in the restaurant and at breakfast was of fantastic quality and still a great variety given the current restrictions.
We had treatments in the hotel spa. All I can say is wow well worth the money. 
Overall I loved our stay and will definitely be back.", Nothing,10,Fantastic hotel
20,United Kingdom,Superior Room,1 night ,December 2020,Couple, Staff where great food was good and great for money and location, That the pool was shut due to covid not hotels fault,10,Great
21,United Kingdom,Superior Room,1 night ,December 2020,Group, We were getting married and the staff were very helpful and attentive., No complaints  at all great location and staff exceptional,10,Exceptional
22,United Kingdom,Premium Room,1 night ,December 2020,Couple," the man who checked us in was so polite, room was very comfortable", breakfast wasn't the best,9.0,Wonderful
23,Macau,Superior Room with Hill View,1 night ,December 2020,Family, A very nice essential stay for one night in Edinburgh during this Covid period,,8.0,Very Good
24,United Kingdom,Standard Room,2 nights ,December 2020,Couple," great hotel and excellent staff, very friendly and helpful", some communal areas were quite cold,10,"thanks for having us,"
25,United Kingdom,Family Room,2 nights ,December 2020,Family, Fabulous family break. Very well looked after hotel staff exceptional. Will definitely return,,10,Very well looked after hotel staff exceptional. Will definitely return
26,United States of America,Superior Room with Hill View,1 night ,December 2020,Couple, Bed uncomfortable, Bed,8.0,Very Good
