,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Singapore,Executive Room with Lounge Access,2 nights ,December 2019,Couple," Clean and large room.
Extremely helpful and friendly staff.", Nothing,10,Excellent! Fantastic staff. Relatively new building with large and clean room.
1,United Arab Emirates,Standard Room,2 nights ,March 2021,Family," Location is amazing 
Staff very helpful",,8.0,Very Good
2,Serbia,Standard Room with Burj Khalifa View,6 nights ,March 2021,Couple," The staff was super helpfull around the clock, and the room was cleaned everyday. Location is great if you're here for the Dubai Mall, or shopping in general, or to go to great restaurants in DIFC. The Burj Khalifa view from the room is also nice touch.", Well the payment was kind of awkward they sent me a link to pay even though they have my card on booking and I believe that was the reason why I couldn't order room service and pool drinks on my room which was annoying.,10,Exceptional
3,United Arab Emirates,Superior Room with Balcony,2 nights ,March 2021,Family," Staff 
Clean 
Food", Nothing,10,Exceptional
4,United Arab Emirates,Standard Room with Burj Khalifa View,2 nights ,March 2021,Solo traveler," I would like to thank Hamdy especially for his good attitude and perfect welcoming, he was so supportive to get for me the best room.",,10,Clean Room and staff was very friendly
5,Netherlands,Standard Room with Burj Khalifa View,6 nights ,March 2021,Couple," This hotel.. I have never experienced something like this. The personnel was so friendly. It has a multicultural environment and everyone is so genuine. The room cleaning was also outstanding. A few guys I would like to thank in special, Bilal Muhammad, Derek, thank you guys. You have been great.",,10,Exceptional
6,Bulgaria,Premium Room with Balcony and Burj Khalifa View,2 nights ,February 2021,Solo traveler, Nice view at Burj Khalifa. Nice terrace with bar., everything was fine.,8.0,good hotel
7,France,Premium Room with Balcony and Burj Khalifa View,2 nights ,March 2021,Couple," Good view, good room, bathroom and shower separate. Good services."," Fire alarme ring at 8 am, march 25. Device problem.",8.0,Very Good
8,United Arab Emirates,Standard Room with Burj Khalifa View,1 night ,March 2021,Solo traveler," Friendly staff
Great location",,10,Very nice experience
9,United Arab Emirates,Suite with Burj Khalifa View and Lounge Access,2 nights ,March 2021,Family," The Egyptian Chef Ahmed served us with most comfort and helpful he was also very quick in serving and supervising ...
A very special thank you to him and waitress Pooja",,8.0,Keep going
10,Singapore,Executive Room with Lounge Access,2 nights ,December 2019,Couple," Clean and large room.
Extremely helpful and friendly staff.", Nothing,10,Excellent! Fantastic staff. Relatively new building with large and clean room.
11,United Arab Emirates,Standard Room,2 nights ,March 2021,Family," Location is amazing 
Staff very helpful",,8.0,Very Good
12,Serbia,Standard Room with Burj Khalifa View,6 nights ,March 2021,Couple," The staff was super helpfull around the clock, and the room was cleaned everyday. Location is great if you're here for the Dubai Mall, or shopping in general, or to go to great restaurants in DIFC. The Burj Khalifa view from the room is also nice touch.", Well the payment was kind of awkward they sent me a link to pay even though they have my card on booking and I believe that was the reason why I couldn't order room service and pool drinks on my room which was annoying.,10,Exceptional
13,United Arab Emirates,Superior Room with Balcony,2 nights ,March 2021,Family," Staff 
Clean 
Food", Nothing,10,Exceptional
14,United Arab Emirates,Standard Room with Burj Khalifa View,2 nights ,March 2021,Solo traveler," I would like to thank Hamdy especially for his good attitude and perfect welcoming, he was so supportive to get for me the best room.",,10,Clean Room and staff was very friendly
15,Netherlands,Standard Room with Burj Khalifa View,6 nights ,March 2021,Couple," This hotel.. I have never experienced something like this. The personnel was so friendly. It has a multicultural environment and everyone is so genuine. The room cleaning was also outstanding. A few guys I would like to thank in special, Bilal Muhammad, Derek, thank you guys. You have been great.",,10,Exceptional
16,Bulgaria,Premium Room with Balcony and Burj Khalifa View,2 nights ,February 2021,Solo traveler, Nice view at Burj Khalifa. Nice terrace with bar., everything was fine.,8.0,good hotel
17,France,Premium Room with Balcony and Burj Khalifa View,2 nights ,March 2021,Couple," Good view, good room, bathroom and shower separate. Good services."," Fire alarme ring at 8 am, march 25. Device problem.",8.0,Very Good
18,United Arab Emirates,Standard Room with Burj Khalifa View,1 night ,March 2021,Solo traveler," Friendly staff
Great location",,10,Very nice experience
19,United Arab Emirates,Suite with Burj Khalifa View and Lounge Access,2 nights ,March 2021,Family," The Egyptian Chef Ahmed served us with most comfort and helpful he was also very quick in serving and supervising ...
A very special thank you to him and waitress Pooja",,8.0,Keep going
20,United Arab Emirates,Premium Room with Balcony and Burj Khalifa View,2 nights ,January 2021,Couple, Cleaning, N thing,10,Perfect
21,Saudi Arabia,Standard Room with Burj Khalifa View,3 nights ,March 2021,Solo traveler," Location is very good and view was very nice.
Nice welcoming restaurant staff specially Abahou"," On booking.com the price of the same room for single occupancy and for two adults was the same, when I asked them while checking in to make it for two adults instead of one they assumed that this mistake was in booking.com and they couldn’t do it from their side.
The bathroom should have had more towels and toiletries!",8.8,A nice stay
22,United States of America,Standard Room,1 night ,March 2021,Group, The food and the atention, Some issues with the bathroom of the room and the connection of chargers,8.0,Very Good
23,Morocco,Premium Room with Balcony and Burj Khalifa View,1 night ,February 2021,Couple, Evereything was perfect exept  room service team i was calling to much to get ice but no one respond and no one care reseption was busy but in general thanks for reseption team and for Mooh  ye was very helpful 👍,  Perfect,10,Amazing experience
24,Russia,Superior Room with Balcony,4 nights ,January 2021,Couple," The staff is nice, the breakfast is good, great location.", The restaurant’s telephone line is always busy,8.0,Overall good
25,United States of America,Executive Room with Lounge Access,8 nights ,March 2021,Family," Stayed here for a week..breakfast was the best part of our stay.  Everyone including Loriemay, Veronicah, Gyan, Jhonson provided great customer service. Food was delicious..enjoyed the Indian dishes on the menu!!!!",,10,Exceptional
26,Germany,Standard Room with Burj Khalifa View,14 nights ,February 2021,Couple," It was a cozy place. Great for the price. 
Restaurant on P2 Floor was amazing specially in the evening."," Taxi drivers try to rip you off as a tourist. 
The gym was quite small",10,Exceptional
27,Netherlands,Standard Room,2 nights ,March 2021,Solo traveler," Alles is wel goed aan het hotel, ligging is perfect in de stad.",,10,Exceptional
28,Italy,Standard Room with Burj Khalifa View,5 nights ,March 2021,Solo traveler," Everything is very good, the rooms with amazing view, the cleaning, the strategic position of the hotel a 10 min walk to the Burj Khalifa and good staff. In particular i liked the food that is also amazing and the beautiful restaurant."," Make me pay 15 EUR for 2 espresso (badly done) in the pool was not honest for my opinion,. Especially because in this hotel i paid 25 EUR for a very good dinner in the restaurant, and this price for just 2 coffees doesn’t have seance.",9.0,"Everything perfect, but..."
29,Sweden,Standard Room,8 nights ,March 2021,Family, Mm, Mm,10,Wonderful service and hammou and rod were excellent in their work
30,Iraq,Superior Room with Balcony,3 nights ,March 2021,Group, The room was perfect..the breakfast was delicious and the staff was cooperative specially the lady loriemay she is the key of arrangement and  offering a very smiley face to me . ..LORIEMAY really doing her job with full responsibility and respect.., It is far away from Dubai touristic places,9.0,Golden stay
31,Romania,Premium Room with Balcony and Burj Khalifa View,7 nights ,March 2021,Solo traveler," People are AMAZING and very customer oriented. Initially I have received a superior room with balcony and Burj Khalifa view. It was terrible the room, not maintained properly, very old and with some damage inside. Personnel was supportive and offered me another room, an upgraded one. View is amazing, close to Burj. Food is very tasty, people very nice and welcoming. They offer the possibility to do a PCR test in the hotel if you organise in time. Again, people service is amazing", Hotel needs serios refurbishment. Rooms needs repairing and mainainance. They look old and smell old.,7.0,People are amazing and very customer oriented; hotel needs serious refurbishing.
32,South Sudan,Standard Room,5 nights ,March 2021,Solo traveler," Excellent services, clean rooms except there was no bath robes in the standard rooms but all the staff were very good. Thanks to Filo he was very kind. Will definitely recommend",,8.0,Very Good
33,Maldives,Standard Room,1 night ,March 2021,Solo traveler," Great stay and very welcoming team. 
The room was spacious and the bed very comfortable. 
Mr Ran, from Mauritius, at the front desk was exceptionally helpful. He is a true gentleman and a clear asset to the company.",,10,Exceptional
34,Turkey,Standard Room with Burj Khalifa View,4 nights ,March 2021,Solo traveler," First of all, staff were very helpfull and ready to assist you when needed. Easly completed check in/out. My room was at 16th floor with burj khalifa view. The room was quite enough to feel comfy. Bathroom was clean as rest of the room. The purpose of my visit to dubai was to celebrate my bday. The sincere gift prepeared by hotel made me suprised and balloons and bday cake made me very happy.  Btw there is a medical service that you can done covid19 test at your room, medics comes and you gonna receive the result in a day via email) 👌 Thank you Radisson team ... Francis, Ran, Loyd and all of you 💖 surely will back and again wish to stay in Radisson.", The decoration of rooms can be improved.,10,Exceptional
