,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Isle of Man,Standard Room,1 night ,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.", Nothing,10,Loved our short stay and would highly recommend and will return again.
1,Ireland,Standard Room,1 night ,March 2021,Family, Room with the view of the runway, Charged for room service even though there were no other options,10,Fantastic hotel ... loved the closed walkway to the airport as it was raining in the morning
2,Ireland,Standard Room,1 night ,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",,9.0,Wonderful
3,United Kingdom,Standard Room,1 night ,March 2021,Couple, Comfortable and great location, Unable to use bars and restaurants due to COVID...not hotel’s fault,9.0,Wonderful
4,United Kingdom,Superior Room with Runway View,1 night ,March 2021,Couple, room was lovely and clean," was told i could have an alarm call which never arrived, gfrab to go breakfast was disgusting for the money threw in bin totally not right.",8.0,was ok served a purpose
5,United Kingdom,Standard Room,1 night ,March 2021,Couple, The location is excellent and the room and Bed were amazing. Also excellent staff on reception,,10,Faultless. Couldn't have expected more
6,United Kingdom,Standard Room,1 night ,March 2021,Family," After a stressful change of flight to the next morning, got booked in at Raddison Blue, just what was needed, staff so considerate and helpful. Location great easy access to T1",,10,Exceptional
7,United Kingdom,Standard Room,3 nights ,March 2021,Solo traveler," The location is fantastic when flying. I arrived by train and needed a PCR test before flying. All very easy to access from this hotel. 
Some staff very pleasant others rather cool and unwelcoming."," Some of the staff. 
Also lists stuck on mirrors in lifts relating to other guests. Made me feel as though I was intruding",8.0,Great location
8,United Kingdom,Standard Room,1 night ,March 2021,Couple, with recent covid times etc - felt very safe as room was very clean & all facilities well cared/catered for i.e room service etc, nothing as all was well done,9.0,great overnight location/stay
9,United Kingdom,Standard Room,1 night ,March 2021,Solo traveler, Customer service was excellent from the receptionist to the staff member who arrived at my room with my breakfast which was on time and delicious, Nothing,10,Exceptional
10,Isle of Man,Standard Room,1 night ,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.", Nothing,10,Loved our short stay and would highly recommend and will return again.
11,Ireland,Standard Room,1 night ,March 2021,Family, Room with the view of the runway, Charged for room service even though there were no other options,10,Fantastic hotel ... loved the closed walkway to the airport as it was raining in the morning
12,Ireland,Standard Room,1 night ,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",,9.0,Wonderful
13,United Kingdom,Standard Room,1 night ,March 2021,Couple, Comfortable and great location, Unable to use bars and restaurants due to COVID...not hotel’s fault,9.0,Wonderful
14,United Kingdom,Superior Room with Runway View,1 night ,March 2021,Couple, room was lovely and clean," was told i could have an alarm call which never arrived, gfrab to go breakfast was disgusting for the money threw in bin totally not right.",8.0,was ok served a purpose
15,United Kingdom,Standard Room,1 night ,March 2021,Couple, The location is excellent and the room and Bed were amazing. Also excellent staff on reception,,10,Faultless. Couldn't have expected more
16,United Kingdom,Standard Room,1 night ,March 2021,Family," After a stressful change of flight to the next morning, got booked in at Raddison Blue, just what was needed, staff so considerate and helpful. Location great easy access to T1",,10,Exceptional
17,United Kingdom,Standard Room,3 nights ,March 2021,Solo traveler," The location is fantastic when flying. I arrived by train and needed a PCR test before flying. All very easy to access from this hotel. 
Some staff very pleasant others rather cool and unwelcoming."," Some of the staff. 
Also lists stuck on mirrors in lifts relating to other guests. Made me feel as though I was intruding",8.0,Great location
18,United Kingdom,Standard Room,1 night ,March 2021,Couple, with recent covid times etc - felt very safe as room was very clean & all facilities well cared/catered for i.e room service etc, nothing as all was well done,9.0,great overnight location/stay
19,United Kingdom,Standard Room,1 night ,March 2021,Solo traveler, Customer service was excellent from the receptionist to the staff member who arrived at my room with my breakfast which was on time and delicious, Nothing,10,Exceptional
20,Isle of Man,Standard Room,1 night ,March 2021,Couple,, Cause of Covid restrictions could not use facilities.,8.0,Good
