,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Ireland,Standard Double Room - Atrium View,2 nights ,February 2020,Couple, The staff were beyond friendly and the whole experience was so enjoyable. Beautiful hotel with all the facilities you need. I would go back in a heartbeat if I was travelling to Sydney again.,,10,Exceptional
1,Australia,Superior Double Room,1 night ,August 2020,Group," In a perfect spot in the middle of the CBD, close the the rocks and wynard train station. Helpful staff (thanks for the free room upgrade !).
Rooms are nice and modern, nice big shower and bath, and even a little peek-a-boo window from the bathroom to the bedroom which is a nice touch. Good size gym and indoor pool as well. What you expect from a 5 star hotel.",,9.0,5 star service for a 5 star hotel.
2,Australia,Superior Double Room,1 night ,August 2020,Couple, Great stay as always, WiFi password didn’t work. Tv signal kept cutting out.,10,Fantastic
3,Australia,Superior Double Room,1 night ,August 2020,Solo traveler, Very clean and spacious room; staff very polite., The cable TV kept on dropping out every 5 mins.,10,Exceptional
4,Australia,Superior Twin Room,1 night ,August 2020,Group," Little considerations are lovely. The clock dims when the lights are off, you can cast from your device to the tv.", Bathroom floor had water stains. Not a big deal just unsightly.,8.0,Was perfect from start to finish. Ended with luxurious spa treatment.
5,Australia,Superior Double Room,1 night ,August 2020,Group," Free room upgrade on arrival, clean, quiet, excellently located, great bar staff!!", Nothing,8.0,"Excellent location, superby comfortable bed"
6,Australia,Standard Double Room - Atrium View,1 night ,July 2020,Couple," Room space, bed , bathroom excellent", TV poor—apparently due to upgrade of wifi in train. There was no indication of this during the booking process.,8.0,Generally enjoyable subject to TV comments
7,Australia,Superior Twin Room,1 night ,July 2020,Couple, The amazing bathroom beautiful full-size bath tub Excellent,,10,Very happy with the service great location and would thoroughly recommend it to anybody staying in S
8,Australia,Superior Double Room,1 night ,July 2020,Couple, Loved the history of the building and preserved features within the hotel.,,9.0,Wonderful
9,Australia,Superior Twin Room,1 night ,July 2020,Family, Great location and polite staff. Thank you, N/a,10,Exceptional
10,Ireland,Standard Double Room - Atrium View,2 nights ,February 2020,Couple, The staff were beyond friendly and the whole experience was so enjoyable. Beautiful hotel with all the facilities you need. I would go back in a heartbeat if I was travelling to Sydney again.,,10,Exceptional
