,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Saudi Arabia,Standard Room,4 nights ,July 2019,Couple, Location great. Stafs are freindly and services are super.fast check in/out, Breakfast is expensive and limited,10,Exceptional
1,United Kingdom,Junior Suite,2 nights ,March 2021,Couple, I couldn’t fault anything, Nothing everything was brilliant staff etc,10,Totally satisfied
2,United Kingdom,Junior Suite,2 nights ,March 2021,Couple," We were travelling for a medical procedure in a nearby clinic. The thing that stands out most was how lovely the staff were, nothing was too much trouble.  The room was perfect with everything you could need. The WiFi was good."," The breakfast was a continental style delivered to your door in a bag (due to covid which is entirely fair). The only thing was, It was all sweet things except for one piece of cheese which had nothing to go with it, a plane bread roll would have been perfect.",8.0,"Would love to visit the hotel and city again, when things get back to normal"
3,United Kingdom,Standard Room,1 night ,March 2021,Couple, Everything, All good,9.0,Wonderful
4,United Kingdom,Junior Suite,1 night ,February 2021,Couple, Very friendly and helpful font desk staff, Need to go out for food. Understandable given lockdown,8.0,Excellant given lockdown issues
5,United Kingdom,Standard Room,1 night ,February 2021,Group, All was great very pleasant reception staff a very nice stay all round, Nothing to unlike,10,Very nice and will recommend to anyone looking for a hotel to stay in Glasgow
6,United Kingdom,Standard Room,1 night ,February 2021,Solo traveler," Everything is perfect and excellent 
Very clean and calm
The stuff were very helpful", Nothing,10,Excellent!
7,United Kingdom,Standard Room,2 nights ,January 2021,Solo traveler," Breakfast ok. Location good. Hotel simple, comfortable, you always know what to get.", Nothing,8.0,Comfortable. What I expected.  Worst thing that can happen when travelling is to not get what you ex
8,United Kingdom,Standard Room,2 nights ,January 2021,Family," The customer service from the Radisson staff was exceptional, they could not do enough for us. I booked to stay with my young daughter and we had some specific needs for our stay, but nothing was a problem. The communication in the lead up to our stay was excellent, so I knew everything was sorted and I did not need to worry. Our room was beautiful (received a free upgrade), very spacious and immaculate. The hotel is in a central location too, which was important for us. In those very strange times, when Glasgow was in lockdown, we had a very pleasant stay. Highly recommend, would definitely stay again."," It was unfortunate that the restaurant was not open, due to the Covid-19 pandemic, but we still received a good quality continental breakfast to have in our room and were able to order food in, so it didn’t take away from our stay.",10,"Excellent service, lovely hotel"
9,United Kingdom,Standard Room,1 night ,December 2020,Couple," The staff were really helpful and went above and beyond to make our stay enjoyable,",,10,Great hotel with excellent staff
10,Saudi Arabia,Standard Room,4 nights ,July 2019,Couple, Location great. Stafs are freindly and services are super.fast check in/out, Breakfast is expensive and limited,10,Exceptional
