,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Cyprus,Standard Room,1 night ,February 2019,Couple, What I liked more was how easy was to get a late check out until 6pm without any charge and actually promote it on their customer website.,,10,Excellent Service and value overall.  Well Done!
1,United Kingdom,Superior Room with River view,3 nights ,March 2021,Solo traveler, Very quiet with good customer service," Nothing, all was fine",9.0,"Very good, thank you very much"
2,United Kingdom,Standard Room,2 nights ,March 2021,Solo traveler, Ice machine on each floor was good,,8.0,Very Good
3,United Kingdom,Superior Room with River view,4 nights ,March 2021,Solo traveler," very helpful staff, excellent city centre position and lovely views of the river!
complimentary breakfast bag was a nice touch during difficult times with many places not open at the moment"," room is starting to show its age and could do with refurbishment 
some of the fixtures and fittings are showing signs of age and the room definitely needs more electrical outlets ( non near bed ) which can be an issue to most people nowadays!",8.0,Very Good
4,United Kingdom,Superior Room with River view,3 nights ,March 2021,Solo traveler," Nice hotel, nice room, massive comfortable bed. Even though it is not directly on the river front, it is set back a bit, and has a main road next to it (no street noises though)  the views were stunning."," Everything was fine, only thing I can think of was the ice machines in the hallway were not working, but I  am guessing that they were turned of because of covid restrictions.",8.8,Just booked again
5,United Kingdom,Superior Room with River view,4 nights ,March 2021,Group, Nice central hotel, No,8.0,"Nice friendly hotel, looked after us during difficult times"
6,United Kingdom,Standard Room,1 night ,March 2021,Solo traveler, Location to project I’m currently working on, Not a great selection on menu,7.0,Did want it needed
7,United Kingdom,Standard Room,1 night ,March 2021,Solo traveler, Location and price was excellent, N/A,9.0,Last minute booking
8,United Kingdom,Standard Room,1 night ,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.", A few of the channels (good ones) on the t.v. didn't have a signal.,9.0,Wonderful
9,United Kingdom,Superior Room with River view,1 night ,February 2021,Couple," The stay here was great for what we needed. Lots of additional extras in the room and it had everything we needed. Only complaint was the bed mattress was hard but I guess it’s what your use too. 
We had a superior room with river view and the view was great to wake up too!", Mattress was hard and maybe could have had a fridge but realise it was during national lockdown and this may be as a result of the virus and safety restrictions!,8.0,"Nice hotel, could do with some new mattresses!"
10,Cyprus,Standard Room,1 night ,February 2019,Couple, What I liked more was how easy was to get a late check out until 6pm without any charge and actually promote it on their customer website.,,10,Excellent Service and value overall.  Well Done!
11,United Kingdom,Superior Room with River view,3 nights ,March 2021,Solo traveler, Very quiet with good customer service," Nothing, all was fine",9.0,"Very good, thank you very much"
12,United Kingdom,Standard Room,2 nights ,March 2021,Solo traveler, Ice machine on each floor was good,,8.0,Very Good
13,United Kingdom,Superior Room with River view,4 nights ,March 2021,Solo traveler," very helpful staff, excellent city centre position and lovely views of the river!
complimentary breakfast bag was a nice touch during difficult times with many places not open at the moment"," room is starting to show its age and could do with refurbishment 
some of the fixtures and fittings are showing signs of age and the room definitely needs more electrical outlets ( non near bed ) which can be an issue to most people nowadays!",8.0,Very Good
14,United Kingdom,Superior Room with River view,3 nights ,March 2021,Solo traveler," Nice hotel, nice room, massive comfortable bed. Even though it is not directly on the river front, it is set back a bit, and has a main road next to it (no street noises though)  the views were stunning."," Everything was fine, only thing I can think of was the ice machines in the hallway were not working, but I  am guessing that they were turned of because of covid restrictions.",8.8,Just booked again
15,United Kingdom,Superior Room with River view,4 nights ,March 2021,Group, Nice central hotel, No,8.0,"Nice friendly hotel, looked after us during difficult times"
16,United Kingdom,Standard Room,1 night ,March 2021,Solo traveler, Location to project I’m currently working on, Not a great selection on menu,7.0,Did want it needed
17,United Kingdom,Standard Room,1 night ,March 2021,Solo traveler, Location and price was excellent, N/A,9.0,Last minute booking
18,United Kingdom,Standard Room,1 night ,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.", A few of the channels (good ones) on the t.v. didn't have a signal.,9.0,Wonderful
19,United Kingdom,Superior Room with River view,1 night ,February 2021,Couple," The stay here was great for what we needed. Lots of additional extras in the room and it had everything we needed. Only complaint was the bed mattress was hard but I guess it’s what your use too. 
We had a superior room with river view and the view was great to wake up too!", Mattress was hard and maybe could have had a fridge but realise it was during national lockdown and this may be as a result of the virus and safety restrictions!,8.0,"Nice hotel, could do with some new mattresses!"
20,United Kingdom,Standard Room,1 night ,February 2021,Group, The room was fine but could do with additional wall sockets., The breakfast was inadequate for the price charged.,8.0,Very Good
21,United Kingdom,Superior Room with River view,2 nights ,January 2021,Solo traveler, Bathroom and large bed., Because of covid no facilities were offered and breakfast was very poor and not as described,7.0,Uninspired to return
22,United Kingdom,Standard Room,1 night ,December 2020,Family, Lovely hotel, Requested twins but when I arrived it was a double. Also an awkward little step to the bathroom which I kept stubbing my toe on lol. But other then that it was a very nice stay.,7.0,Good
23,United Kingdom,Standard Room,1 night ,December 2020,Couple,," We rang to order room service, waited long enough for someone to pick up, we ordered a pizza and chips once they finally answered and it never turned up it was pay on arrival so we didn’t get charged but that’s not the point.",8.0,Very Good
24,United Kingdom,Junior Suite,1 night ,December 2020,Couple," accommodating staff,would return", Good location,7.0,Good
25,United Kingdom,Superior Room with River view,1 night ,December 2020,Couple, Cleanliness, Missed our time slot for breakfast so told to come back half an hour later but no big deal,8.0,Great
26,United Kingdom,Premium Room with River View,1 night ,December 2020,Family, Disappointed with breakfast it was cold, Hand sanitizers were empty by door and lift and not all guests wore masks,8.0,Room was lovely very comfortable
27,United Kingdom,Standard Room,1 night ,December 2020,Family, Great, Great location great hotel,8.0,"Perfect apart from the fact leisure centre closed,  son disappointed"
28,United Kingdom,Standard Room,1 night ,December 2020,Couple," Very nice, spacious rooms, Lovely decor. Comfortable bed and felt very comfortable in the room generally. The staff were very nice and helpful in the main.", Only two small elevators ( for the size of the hotel ) a lot of waiting to use them. No mini bar. Leisure facilities weren't open in the hotel? In tier 2 at the time so nothing to with covid restrictions.,8.0,"All in all , a good stay had I  Liverpool and in the radisson."
29,United Kingdom,Standard Room,1 night ,December 2020,Couple, Location," Breakfast, staff could have been friendlier",7.0,Good
30,United Kingdom,Standard Room,1 night ,December 2020,Couple, Nice breakfast but due to covid reduced offer. Gr8 food in the restaurant and brilliant staff., Hotel in parts is looking tired.,7.0,Good value short stay.
31,United Kingdom,Superior Room with River view,1 night ,December 2020,Couple, Good social Distancing. Fab breakfast. Good value for money,,9.0,Liverpool overnight stay
32,United Kingdom,Standard Room,1 night ,December 2020,Couple, Everything,,8.0,Good
33,United Kingdom,Superior Room with River view,2 nights ,December 2020,Solo traveler, Breakfast - very good & plenty to choose from. Also nice to enjoy a view of the River Mersey from the breakfast room., Nothing to comment on here.,9.0,Excellent & very good value stay with very friendly & helpful staff members.
