,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Kuwait,Superior Double Room,2 nights ,August 2018,Family," Everything you needed was there: iron, microwave, kettle, plates, silverware and wifi. Spacious rooms. Comfortable beds. underground station is close by and There’s space for cabs to park. Will definitely stay here again.", Some bed sheets smelled like wet laundry. Everything else was perfect.,10,THE place to be in london.
1,United Kingdom,Penthouse Suite (Family),1 night ,March 2021,Solo traveler," Had the penthouse, initially tv didn’t work but technician came and tv was fixed after 15 minutes, he was very friendly, cleanliness of room seemed a 7/10.. not too sure why there was a board room table in the room, but staff were more than accommodating and extremely friendly, they couldn’t do enough to help. Customer service was definitely a 10/10 though. Views were as promised, beautiful view of the London eye."," The big board room table in penthouse, dated wooden decor in room.",7.0,Lovely staff & service 5*
2,United Kingdom,Penthouse Suite,1 night ,March 2021,Solo traveler," The property and the penthouse of the hotel 
Was fantastic grate views of the city and can’t wait to come back ☺️", Can’t say anything wrong about the place everything was just right,10,Location is key
3,United Kingdom,Studio Double Room,2 nights ,February 2021,Couple, Staff were nice and friendly. Room was spacious and very clean. Would defo stay again, Only thing I can say was that menus were limited due to Covid.,9.0,Perfect stay
4,United Kingdom,Executive Studio with London Eye View,1 night ,February 2021,Solo traveler," The view and room are stunning. To top it off the staff are incredible, extremely friendly and hospitable.",,10,Amazing stay
5,United Kingdom,Executive Studio-City View (Family),2 nights ,February 2021,Family," View, very clean rooms, very delicious breakfast",,10,Exceptional
6,United Kingdom,Superior Double Room with London Eye View,1 night ,February 2021,Solo traveler," as always the staffs friendliness, at all times of the Evening 
.
The Food and the room."," it would have been nice to have a small bottle of water in the fridge, But again fantastic every time i stay",10,"perfect get away,"
7,Albania,Superior Double Room with London Eye View,1 night ,February 2021,Couple," The room was very clean,the location could not be better, the view from the room was the best ( London Eye view), very good breakfast included in price, nice staff, room service was great, could not recommend it enough 😁 and all this for a great great deal !!!",,10,Best hotel and best view ever !!!
8,United Kingdom,Superior Double Room,1 night ,February 2021,Couple,, The view,8.0,Very Good
9,United Kingdom,Studio Double Room,1 night ,February 2021,Family," As always friendly staff, great location, always a great experience",,10,Exceptional
10,Kuwait,Superior Double Room,2 nights ,August 2018,Family," Everything you needed was there: iron, microwave, kettle, plates, silverware and wifi. Spacious rooms. Comfortable beds. underground station is close by and There’s space for cabs to park. Will definitely stay here again.", Some bed sheets smelled like wet laundry. Everything else was perfect.,10,THE place to be in london.
11,United Kingdom,Penthouse Suite (Family),1 night ,March 2021,Solo traveler," Had the penthouse, initially tv didn’t work but technician came and tv was fixed after 15 minutes, he was very friendly, cleanliness of room seemed a 7/10.. not too sure why there was a board room table in the room, but staff were more than accommodating and extremely friendly, they couldn’t do enough to help. Customer service was definitely a 10/10 though. Views were as promised, beautiful view of the London eye."," The big board room table in penthouse, dated wooden decor in room.",7.0,Lovely staff & service 5*
12,United Kingdom,Penthouse Suite,1 night ,March 2021,Solo traveler," The property and the penthouse of the hotel 
Was fantastic grate views of the city and can’t wait to come back ☺️", Can’t say anything wrong about the place everything was just right,10,Location is key
13,United Kingdom,Studio Double Room,2 nights ,February 2021,Couple, Staff were nice and friendly. Room was spacious and very clean. Would defo stay again, Only thing I can say was that menus were limited due to Covid.,9.0,Perfect stay
14,United Kingdom,Executive Studio with London Eye View,1 night ,February 2021,Solo traveler," The view and room are stunning. To top it off the staff are incredible, extremely friendly and hospitable.",,10,Amazing stay
15,United Kingdom,Executive Studio-City View (Family),2 nights ,February 2021,Family," View, very clean rooms, very delicious breakfast",,10,Exceptional
16,United Kingdom,Superior Double Room with London Eye View,1 night ,February 2021,Solo traveler," as always the staffs friendliness, at all times of the Evening 
.
The Food and the room."," it would have been nice to have a small bottle of water in the fridge, But again fantastic every time i stay",10,"perfect get away,"
17,Albania,Superior Double Room with London Eye View,1 night ,February 2021,Couple," The room was very clean,the location could not be better, the view from the room was the best ( London Eye view), very good breakfast included in price, nice staff, room service was great, could not recommend it enough 😁 and all this for a great great deal !!!",,10,Best hotel and best view ever !!!
18,United Kingdom,Superior Double Room,1 night ,February 2021,Couple,, The view,8.0,Very Good
19,United Kingdom,Studio Double Room,1 night ,February 2021,Family," As always friendly staff, great location, always a great experience",,10,Exceptional
20,United Kingdom,Superior Double Room with London Eye View,1 night ,February 2021,Couple, The staff were very nice, The heating didnt seem to work and it was cold,10,Excellent staff
21,United Kingdom,Superior Double Room,1 night ,January 2021,Family," I’ve stayed here many times in the past but not in lockdown, it was exactly as I remember, professional staff and amazing service, can’t fault them at all!
If you’re looking for somewhere to stay in London this hotel is the place to be, much better before lockdown but working with what they have is difficult but they make it look easy to adapt,
Thanks again team, you’re amazing!"," Nothing to dislike, amazing hotel!",10,Amazing as always
22,United Kingdom,Penthouse Suite,2 nights ,February 2021,Couple, The penthouse view was the most outstanding view we’ve seen yet.," There wasn’t really much that we didn’t like about the property, in fact there isn’t a single thing we can say we didn’t like about Park plaza county hall",10,Exceptional
23,United Kingdom,Studio Double Room,1 night ,January 2021,Group," Friendly staff as always great place to stay, this is the only hotel would highly recommend, room service was very smooth an view was also not to bad. This is the only hotel I book, the stay is comfortable an location is great for night walks.",,10,Great location & hotel for Sight seeing.
24,United Kingdom,Executive Family Studio with London Eye View,1 night ,January 2021,Couple, Staff were very nice and welcoming,,8.0,Would recommend
25,United Kingdom,Penthouse Suite (Family),1 night ,January 2021,Solo traveler," Park Plaza Country Hall is situated in a perfect central location and as always, even in COVID lockdown conditions, it was very enjoyable and safe stay. The staff are extremely helpful and will always go an extra mile to to make sure you feel at home. The cleanliness of the hotel was exceptional, so was the view from the penthouse suite. Thank you everyone, especially William at the reception desk, for looking after me. I will back very soon. Please keep your doors open, so people like me who need to travel and stay overnight, can do it in safe and relaxing environment.",,10,Lockdown stay
26,United Kingdom,Superior Double Room,2 nights ,December 2020,Couple," Location was great, staff were extremely helpful and professional. We had a slight issue with our shower which they fixed as soon as possible.",,10,Fantastic location and great staff
27,United Kingdom,Studio Double (Family),1 night ,December 2020,Family," The location was excellent 5 mins away from Westminster bridge. 
The breakfast was delicious and the choice was endless.", Wouldn’t change anything. I’d definitely stay there again 100%. The staff where amazing they couldn’t do enough for us.,10,Fabulous fabulous fabulous can’t wait to come back
28,United Kingdom,Superior Twin Room,1 night ,December 2020,Group, The room was lovely, Had no reply about refund on unused room,9.0,Wonderful
29,New Zealand,Studio Double Room,4 nights ,December 2020,Couple, My stay was fantastic. During such an uncertain time I felt completely safe and was very impressed with the measures that had been put in place. The staff were all exceptional. The room was great with a view of the London eye., N/A,10,Perfect stay
30,United Kingdom,Studio Double Room,1 night ,January 2021,Solo traveler," I’ve had the pleasure of staying at this hotel, due to work, on yet another occasion and the reason for my continued return is the staff! The hotel is central, incredibly clean, well equipped and offers great views of London but the staff are exceptional! Thanks to all the front of house team for making this place a home away from home, for remembering the little things without having to be asked and for always wearing a bright smile (behind their face masks). Your dedication does not go unnoticed and I truly look forward to my next visit.", Nothing!,10,Home from home
31,Jersey,Studio Double Room,1 night ,October 2020,Couple," Comfortable Rooms, clean with Covid regulations in place.  Friendly and helpfull staff
Reasonsbly priced in heart of London", There is nothing not to like,10,Clean and Efficient
