,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,United Arab Emirates,Superior Double Room,1 night ,January 2021,Couple," Excellent service as we had a very late check in. A very well organised hotel in the current situation. Breakfast was chosen at check in and presented in a takeout bag. With tea or coffee. The selection was excellent too. 
Highly recommended hotel.", Nothing it was all very good,10,Excellent service and hotel
1,Bahrain,Superior Twin Room,5 nights ,November 2020,Family, Location and value of price," No concierge service,,,, I had lots of luggage and I have to take it myself to the room,, trolly is Available though",8.0,Excellent choice
2,United Kingdom,Superior Double Room,9 nights ,December 2020,Solo traveler," Approachable and helpful staff.
Housekeeping was very good.",,9.0,Wonderful
3,United Kingdom,Executive Double Room,2 nights ,December 2020,Solo traveler, The extra large bed and big tv with all sky channels., Room could have been a bit cleaner.,9.0,Wonderful
4,United Kingdom,Superior Double Room,1 night ,December 2020,Couple," Staff very friendly and room very spacious, good service under the current circumstances.", N/A,8.0,"Clean central hotel with lovely warm rooms, will definitely use again"
5,United Kingdom,Superior Double Room,1 night ,October 2020,Couple, Everything, Nothing really,9.0,Incredible
6,United Kingdom,Superior Double Room,1 night ,December 2020,Solo traveler," Central 
Good grab and go breakfast",,8.0,Did the job
7,United Kingdom,Executive Double Room,2 nights ,December 2020,Family," The staff were amazing. I travelled with my little boy who was undergoing treatment at a local hospital and the staff at the hotel were amazing. They got us fresh towels at 3 am, they let us check out later as we couldn’t take all our things to hospital. We will stay again when we’re back in Leeds.", I could not work the bath/shower taps,9.0,Really friendly and thoughtful
8,United Kingdom,Executive Triple Room,1 night ,November 2020,Group," Loved the location of the hotel, so central you cannot go wrong! The room was great, with plenty of space for the three of us. Requested a high up room for the views which were really great to look over Leeds."," The sofa bed provided was not very comfortable, one of my party woke up with back ache. The beds were slightly too close together with difficult getting between them but nothing of massive inconvenience.",9.0,Comfortable and lovely stay
9,United Kingdom,Superior Double Room,1 night ,December 2020,Solo traveler, Very comfy bed and very quiet room, Nothing,9.0,Wonderful
10,United Arab Emirates,Superior Double Room,1 night ,January 2021,Couple," Excellent service as we had a very late check in. A very well organised hotel in the current situation. Breakfast was chosen at check in and presented in a takeout bag. With tea or coffee. The selection was excellent too. 
Highly recommended hotel.", Nothing it was all very good,10,Excellent service and hotel
11,Bahrain,Superior Twin Room,5 nights ,November 2020,Family, Location and value of price," No concierge service,,,, I had lots of luggage and I have to take it myself to the room,, trolly is Available though",8.0,Excellent choice
12,United Kingdom,Superior Double Room,9 nights ,December 2020,Solo traveler," Approachable and helpful staff.
Housekeeping was very good.",,9.0,Wonderful
13,United Kingdom,Executive Double Room,2 nights ,December 2020,Solo traveler, The extra large bed and big tv with all sky channels., Room could have been a bit cleaner.,9.0,Wonderful
14,United Kingdom,Superior Double Room,1 night ,December 2020,Couple," Staff very friendly and room very spacious, good service under the current circumstances.", N/A,8.0,"Clean central hotel with lovely warm rooms, will definitely use again"
15,United Kingdom,Superior Double Room,1 night ,October 2020,Couple, Everything, Nothing really,9.0,Incredible
16,United Kingdom,Superior Double Room,1 night ,December 2020,Solo traveler," Central 
Good grab and go breakfast",,8.0,Did the job
17,United Kingdom,Executive Double Room,2 nights ,December 2020,Family," The staff were amazing. I travelled with my little boy who was undergoing treatment at a local hospital and the staff at the hotel were amazing. They got us fresh towels at 3 am, they let us check out later as we couldn’t take all our things to hospital. We will stay again when we’re back in Leeds.", I could not work the bath/shower taps,9.0,Really friendly and thoughtful
