,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,France,Superior King Room,4 nights ,August 2019,Family," Everything was amazing: the staff, the room, the food, a great hotel overall. Next to an underground station, it's easy to get to London's main attractions without getting lost.",,10,Exceptional
1,United Kingdom,Superior King Room,1 night ,March 2021,Solo traveler, I always use this hotel when I’m in London on business. I wouldn’t stay anywhere else.,,10,Excellent stop over
2,United Kingdom,Superior King Room,2 nights ,March 2021,Couple, Very good,,10,Exceptional
3,United Kingdom,Superior King Room,1 night ,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too., No complaints.,10,Great location and place to stay
4,United Kingdom,Superior King Room,1 night ,March 2021,Couple, Everything really., Wish it had a bath but the shower is really nice aswell.,10,Excellent. Enjoyed my stay.
5,United Kingdom,Superior King Room,3 nights ,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,,10,Exceptional
6,United Kingdom,Superior King Room,2 nights ,February 2021,Couple, Rooms soundproofing was excellent, Everything was just fine considering all the restrictions there was nothing not to like.,10,Exceptional
7,United Kingdom,King Studio,1 night ,February 2021,Couple,, Microwave,9.0,Wonderful
8,United Kingdom,Superior King Room,1 night ,February 2021,Solo traveler, Good for value, Fantastic place Good service,10,Exceptional
9,United Kingdom,Superior King Room,7 nights ,February 2021,Family, All staff very friendly. Luigi was specially helpful and made this experience even more pleasurable. I definitely recommend Park Plaza London,,10,Exceptional
10,France,Superior King Room,4 nights ,August 2019,Family," Everything was amazing: the staff, the room, the food, a great hotel overall. Next to an underground station, it's easy to get to London's main attractions without getting lost.",,10,Exceptional
11,United Kingdom,Superior King Room,1 night ,March 2021,Solo traveler, I always use this hotel when I’m in London on business. I wouldn’t stay anywhere else.,,10,Excellent stop over
12,United Kingdom,Superior King Room,2 nights ,March 2021,Couple, Very good,,10,Exceptional
13,United Kingdom,Superior King Room,1 night ,March 2021,Couple, The staff were pleasant and the room was perfect. Very comfy and loved the bathroom as well as the bed. I would definitely recommend and stay here again. Clean too., No complaints.,10,Great location and place to stay
14,United Kingdom,Superior King Room,1 night ,March 2021,Couple, Everything really., Wish it had a bath but the shower is really nice aswell.,10,Excellent. Enjoyed my stay.
15,United Kingdom,Superior King Room,3 nights ,January 2021,Solo traveler, Luxurious room and bathroom;  Modern and clean hotel; Staff were great and went out of their way to assist;  Good location; Easy to find; Spacious car park bays; Nice and quiet so got a great night’s sleep; Great breakfast.,,10,Exceptional
16,United Kingdom,Superior King Room,2 nights ,February 2021,Couple, Rooms soundproofing was excellent, Everything was just fine considering all the restrictions there was nothing not to like.,10,Exceptional
17,United Kingdom,King Studio,1 night ,February 2021,Couple,, Microwave,9.0,Wonderful
18,United Kingdom,Superior King Room,1 night ,February 2021,Solo traveler, Good for value, Fantastic place Good service,10,Exceptional
19,United Kingdom,Superior King Room,7 nights ,February 2021,Family, All staff very friendly. Luigi was specially helpful and made this experience even more pleasurable. I definitely recommend Park Plaza London,,10,Exceptional
20,United Kingdom,Superior King Room,1 night ,November 2020,Couple," Clean, friendly staff, quiet, when brought broken toilet issue to staffs", We had to change rooms as problem with the toilet,8.0,Very Good
21,United Kingdom,Superior King Room,1 night ,February 2021,Couple," I love your hotel. 
I’m so happy , staff is amazing. Hotel is amazing.", N/A,10,Exceptional
22,United Kingdom,King Studio,2 nights ,February 2021,Solo traveler," Really like the breakfast, the selection was varied and the portions were great. Would recommend adding breakfast in if you are planning to stay here"," I really disliked the fact that parking is not included with the stay, it has put me off from retuning. The cost is a little steep and Park and Pay do not allow you to select a varied stay amount, so you end up paying the full £12.50 per day, even if you are onside less than 24hours. Please factor this additional cost in if you are planning to stay here
Also, I asked reception to arrange for my bedsheets to be changed and for new towels and returned to my room to find them just left on my bed. Never before have I had to change my own sheets at a hotel",7.0,Pleasant
23,United Kingdom,Superior King Room,1 night ,January 2021,Couple,," toilet wasnt working in room but hotel changed room as soon as we told them about the problem only thing is , that it was an access room we had been changed to...overall good stay just the access room really could have been a better room",9.0,Wonderful
24,United Kingdom,King Studio,1 night ,January 2021,Couple," Stayed here 1 night
As you walk into the hotel there was a automatic hand sanitizer machine and the Track & Trace scan before reaching the reception desk. Behind the sanitizer was a trendy bar and seating area with tables, bar stools and mood lighting but it was roped out of use until collecting breakfast which had to collected at a chosen time. Breakfast was hot and cold food served in individual containers in a grab bag but they should have at least provided a plate to eat off instead of out of the separated containers. The reception was to the left on entry and consisted of a desk oppositie the lifts. Check-in staff was friendly but I was taken by surprise when they insisted on photo ID which I don't usually walk with. Luckily I had my work ID with me as I was on-call as a keyworker. There was also another seating area to the left of the reception desk that seemed part of a café area with tall backed arm chairs and coffee tables. Next to the lift was 2 tall fridges holding alcoholic and non alcoholic beverages and chocolates plus another tall cupboard of snacks and freezer with ice-cream below a travel essentials cupboard all for sell and purchasing at reception.There was signs for the fitness centre but I didn't visit it due to the COVID restrictions.
The carpeted corridors leading to the bedrooms had strip lighing lining each wall between the doors giving it a trendy look. The bedroom was very modern with digital panels to set the lighting in room & bathroom and also set the heating, air conditioning and mood lighting. There was a lovely blue & aqua neon lighting within one side of a patterned wide and full length mirror.The king size bed had a single shelf either side of the bed with a large bed settee next to one of the bedside shelves. Opposite the bed was a long desk with a fridge as one of the drawers and a glass coffee table between the bed settee and d", Had to pay £12.50 via a phone App for the car park although there is a telephone number to call too,8.0,Pleasant stay in a big trendy room
25,United Kingdom,Superior King Room,1 night ,January 2021,Solo traveler, Room and bed it’s comfortable., Paid car park . Think it was over £15 . Too much !!!,10,Exceptional
26,United Kingdom,Superior King Room,5 nights ,January 2021,Couple, Elegant and beautiful from the outside and luxurious on the inside, Not much to say just that not many plastic cup for hot drinks,9.0,Wonderful
27,United Kingdom,Superior King Room,1 night ,January 2021,Solo traveler, All went well. Obviously with Covid restrictions facilities are limited but overall excellent, The bar could have been open,10,Great place to stay
28,United Kingdom,Superior King Room,1 night ,January 2021,Solo traveler, Very relaxing and clean, Everything was great,10,Amazing service
29,United Kingdom,Superior King Room,1 night ,December 2020,Couple, The rooms were very clean and well presented and the staff are extremely friendly., The rooms are not soundproof even though they state that it is online.,7.0,Good
30,United Kingdom,Superior King Room,1 night ,October 2020,Couple," The place was really beautiful, the rooms looked very luxury, super comfy beds! I just love this hotel, will come here everytime I’m in the area",,10,Absolutely amazing!
31,United Kingdom,Superior King Room,2 nights ,December 2020,Group, Room was amazing as always... Massive windows so feels so spacious in the room. Also the bed was huge! We love staying here, Given a twin room on arrival so had to wait to change to a different room.,8.0,Very Good
32,Ireland,Superior King Room,1 night ,December 2020,Group, Very modern," The Netflix was hard to use, the tv wouldn’t pair to my iPhone",8.0,Very Good
33,United Kingdom,Superior King Room,2 nights ,January 2021,Solo traveler, Very helpful staff in regards to where to go for food and directions due to nowhere’s open due to covid.,,10,Exceptional
34,United Kingdom,Superior King Room,1 night ,December 2020,Family,, Parking charges... for disabled badge holder......alternative access by underpass with stairs.!!,10,Exceptional
35,United Kingdom,Superior King Room,1 night ,October 2020,Couple, The room was good, The bathroom didn’t have a door or anything,9.0,Always a good spot
36,United Kingdom,Superior King Room,2 nights ,December 2020,Couple, Everything. Perfect every stay., N/A,10,Exceptional
37,United Kingdom,Superior King Room,1 night ,December 2020,Couple, Everything, Nothing,10,Exceptional
38,United Kingdom,Superior King Room,5 nights ,December 2020,Solo traveler, Staff was helpful," Twice I got a room with bloodstains on my bedsheet, when informed it was changed immediately but still something uncomfortable.",7.0,Good
39,United Kingdom,Superior King Room,1 night ,December 2020,Couple," Everything, the staff the ambiance and room everything was amazing. The staff were very friendly and helpful, the vibe of the hotel was very welcoming and stylish and everything in the room was beautiful, the bed was very comfortable, the bathroom was very clean, shower was a amazing and the mood in the room was perfect. I love that everything was sanitised prior to us arriving"," The fridge space in our room could've been a bit bigger, but otherwise everything was perfect.",10,Amazing Stay
40,United Kingdom,Superior King Room,1 night ,December 2020,Solo traveler, It was just how it was advertised, Could do a bath,10,The staff were quite friendly
41,United Kingdom,Superior King Room,1 night ,November 2020,Couple, My stay was really good. I like how everything was modern compared to other hotels. Was breakfast was great during a pandemic in comparison to other hotels. Overall I really enjoyed my stay. Will definitely go back, The bathroom was just a bit small but it was ok,10,Very good
42,United Kingdom,Superior King Room,1 night ,October 2020,Couple, Big clean rooms, Nothing,10,Amazing service
43,United Kingdom,Superior King Room,1 night ,November 2020,Solo traveler, Clean tidy, All good,8.0,Business Trip
44,United Kingdom,Superior King Room,2 nights ,December 2020,Couple, This is my third time to be at the hotel and each time I come I get more in love with it staff are amazing and helpful and respectable the room very clean and sanitisers all the room before you get there., Due to coronavirus there was no breakfast must get breakfast box and it’s fair anyway but I haven’t used to this before was very strange but the world is changed so no a big issue. Also parking first half hour free then you must pay 24hrs each day and I think it’s not fair no hourly at all must be 24hrs payment of £12.50,7.0,Good and amazing
45,United Kingdom,Superior King Room,1 night ,December 2020,Couple," stayed here before, nice hotel but can hear what goes on in the corridors",,8.0,Very Good
46,United Kingdom,King Studio,5 nights ,December 2020,Group," Loved the location of the hotel with fantastic links to the underground. Plus local shops nearby incase you need anything.
The room I booked said there is a kitchen in the room which is very misleading because only a kettle and disposable cups. 
There was a fridge in the room which was not cold enough and spoiled the food I put in there. 
Everything else was okay. Staff are friendly and very accommodating.", Fridge could have been cold as it supposed to be and the website should not say there is anootchen I  the room.,7.0,Great Stay
47,United Kingdom,Superior King Room,1 night ,December 2020,Couple, Bed, Id,7.0,Coolio
48,United Kingdom,Superior King Room,1 night ,November 2020,Group, I loved the Blue lighting design in the room and the Glass.  Bathroom was decent and room was reasonably sized.," I didn’t like the fact that I was charged an extra amount for having a guest. When I booked on bookings I was charged a fee. On arrival I informed the receptionist that I might be having a guest as we are colleagues and we had a patient to see in the area in the morning and he was my reason for booking a night over. Subsequently I was told that if am having a guest that I would have to be charged. In all my history of booking hotels, I have never come across anything of this nature so on that note I was disappointed.",10,REVIEW
49,United Kingdom,Superior King Room,1 night ,December 2020,Couple,, The wifi isn’t great and i can never seem to cast my devices to the in room chromecast,7.0,Good
50,United Kingdom,Superior King Room,1 night ,December 2020,Couple, Good location n good facilities... friendly staff too, The parking should be free for customers only.,7.0,All good
51,India,Superior King Room,1 night ,October 2020,Group," Location 
Luxury services", Nothing,8.0,Very Good
52,United Kingdom,Superior King Room,1 night ,December 2020,Solo traveler,, Parking too expensive,10,Exceptional
53,United Kingdom,Superior King Room,1 night ,October 2020,Solo traveler, Awesome hotel and very comfortable all round. Great locations., Nothing!,10,Exceptional
54,United Kingdom,Superior King Room,1 night ,November 2020,Couple, Everything, The parking facilities,10,Exceptional
55,United Kingdom,Superior King Room,1 night ,December 2020,Couple," It was modern, contemporary and we enjoyed our stay there.", I didn’t like the location.,9.0,Wonderful
56,United Kingdom,Superior King Room,1 night ,November 2020,Couple, The tv. Lighting control pads. The staff was very friendly, The room was too small and bathroom leaked,8.0,Lovely
57,United Kingdom,Superior King Room,2 nights ,December 2020,Solo traveler," The staff were polite but seemed very busy.
They were helpful and Giza assisted in moving my room for me."," I ordered a bottle of water and did not receive it.
I was simply forgotten. I didn't bother to address this as it was busy on reception.
I stayed in the same room back in August and it was much neater then (ofcourse).
The toilet area needs to be cleaned better, there was a slight scent that I found off putting.",8.0,Great.
58,United Kingdom,Superior King Room,2 nights ,November 2020,Couple, Modern decor in rooms, Parking facilities,10,Great stay
59,United Kingdom,Superior King Room,1 night ,November 2020,Couple, Everything, N/a,9.0,Never disappoints
60,United Kingdom,Superior King Room,1 night ,September 2020,Couple, I loved the smart TV and the style of the room! The vibe was amazing and it makes for a great getaway place,,9.0,Wonderful
61,United Kingdom,King Studio,1 night ,November 2020,Family, everything is impeccable, I don't think there would be anything to object to,10,Exceptional
62,United Kingdom,Superior King Room,1 night ,October 2020,Couple, A lovely staff and warm and comfortable, Location and comfortability and accessibility,9.6,Exceptional
63,United Kingdom,Superior King Room,2 nights ,November 2020,Solo traveler," Smooth check in, quiet and comfortable room, helpful staff."," Only disappointment they were unable to bring a hair dryer to my room, I had to go to reception to collect it!",9.0,"Friendly reception, smooth check in, comfortable and quiet room."
64,United Kingdom,Superior King Room,1 night ,November 2020,Group, Location close to Wembley, All good,10,Exceptional
65,United Kingdom,King Studio,1 night ,November 2020,Group, The room was so clean the bed was comfortable... the bathroom was on point love the shower head, Nothing,9.0,Happy happy happy
66,United Kingdom,Superior King Room,1 night ,November 2020,Solo traveler," It's my regular hotel stay for work, perfect for me. Staff, location, even the breakfast is good even though its a takeaway.", nothing to say,10,Its my go to hotel !
67,United Kingdom,Superior King Room,1 night ,November 2020,Solo traveler, comfortable room., not having room service was a huge disappointment. they suggested uber eats which did not go well although the hotel staff were amazingly helpful in sorting out my lost order. But I ate very late and it consumed all my evening which was super annoying.,8.0,Room service needs to be back on! Hotel was great . Wish rooms had a bath not just shower
68,United Kingdom,Superior King Room,1 night ,November 2020,Solo traveler," Lovely and clean, polite efficient staff, comfortable bed. Perfect one night stay for myself.", N-A,10,Exceptional
69,United Kingdom,Superior King Room,1 night ,November 2020,Family, Na, Na,9.0,Excellent
70,United Kingdom,Superior King Room,2 nights ,November 2020,Solo traveler," Checkin, the room, and parking were excellent, but unfortunately, due to Covid restrictions, there was no restaurant or bar service available.
I have stayed in other hotels during the latest lockdown period where the hotel bar and kitchens remained open, allowing guests to collect takeaway food and drinks for consumption in their rooms", No availability of food and drinks on a takeway basis,8.0,Very Good
71,United Kingdom,Superior King Room,1 night ,October 2020,Couple, Everything, The only thing is I don't think you should have to for parking if your staying there,10,Very beautiful
72,United Kingdom,Superior King Room,1 night ,November 2020,Couple, I stop here regularly for work and it is a great hotel with very polite and helpful staff. It is also great value for money.,,9.0,Wonderful
73,Malta,Superior Twin Room,4 nights ,November 2020,Couple, It’s lean affordable, If someone come to meet the guest and park the for less an hour in the parking. They charge for 24 hour (£12+). It ridiculous.,9.0,Wonderful
