,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Poland,Superior King Room,1 night ,January 2020,Couple," Great breakfast, nice swimingpool and sauna🙂
Everything was perfect👍",,10,Very nice time at this Hotel and place
1,Italy,Executive King Room with Iconic View,1 night ,February 2021,Group, Very nice and comfortable hotel. Despite the kitchen was closing they prepared a tasty dinner. Good breakfast, Nothing,9.0,Wonderful
2,Bulgaria,Superior King Room with Iconic View,1 night ,January 2021,Couple," The staff is extremely friendly, the rooms are clean and cozy, location is great."," The bathroom doors are very uncomfortable, sliding, do not close nicely and you have practically no privacy.",9.0,"Nice location, kindly staff"
3,United Kingdom,Executive King Room,1 night ,December 2020,Solo traveler," I loved the split level Dutch style room. The room was well equipped and very comfortable.  The swimming pool in the basement is fantastic.  I stay in many Amsterdam hotels, this is my favourite.",,8.0,Favourite Hotel in Amsterdam
4,Curaçao,Superior King Room with Iconic View,1 night ,January 2021,Couple," The property is beautiful, clean and perfectly located. The staff was friendly and helpful.", There is nothing that I didn’t like.,9.0,"Classy, clean and friendly staff"
5,United Kingdom,Executive King Room with Iconic View (3 Adults),4 nights ,December 2020,Family," We loved the hotel, and the overall feel! It was was great!"," The only issue we had was the tv connection, sometimes it didn’t come on! Other than that our stay was great!",9.0,Loved this hotel! Can’t wait to go back!
6,Poland,Superior King Room with Iconic View,1 night ,December 2020,Couple," The location, room cleanliness and swimming pool"," I’ve booked the birthday room decoration service, it costs 15 euros and I have got only few balloons on the bed so I think it’s over priced.",8.0,Very Good
7,United Kingdom,Superior Twin Room,3 nights ,December 2020,Couple, Great location lovely room and brilliant staff., Very slow to clean the room and change towels.,8.0,Beautiful place and location. Staff were slow to clean the room.
8,United Kingdom,Superior King Room,2 nights ,November 2020,Solo traveler," I asked for a quiet room, which it turned out not to be (rm101), but it was changed and upgraded very efficiently.  Breakfast was good and very efficient, room was very well sanitised.  Room had everything I needed, it was the perfect location for me."," hand sanitisers had run out by the lift, 2nd night dinner steak was lovely but veg was cold.  No enforcement of mask wearing in public areas, or too many people trying to squeeze into the lift.",8.0,comfortable and convinient
9,United Kingdom,Executive King Room with Iconic View,2 nights ,September 2020,Couple, Location & stay, Nothing all good!,7.0,Good
10,Poland,Superior King Room,1 night ,January 2020,Couple," Great breakfast, nice swimingpool and sauna🙂
Everything was perfect👍",,10,Very nice time at this Hotel and place
11,Italy,Executive King Room with Iconic View,1 night ,February 2021,Group, Very nice and comfortable hotel. Despite the kitchen was closing they prepared a tasty dinner. Good breakfast, Nothing,9.0,Wonderful
12,Bulgaria,Superior King Room with Iconic View,1 night ,January 2021,Couple," The staff is extremely friendly, the rooms are clean and cozy, location is great."," The bathroom doors are very uncomfortable, sliding, do not close nicely and you have practically no privacy.",9.0,"Nice location, kindly staff"
13,United Kingdom,Executive King Room,1 night ,December 2020,Solo traveler," I loved the split level Dutch style room. The room was well equipped and very comfortable.  The swimming pool in the basement is fantastic.  I stay in many Amsterdam hotels, this is my favourite.",,8.0,Favourite Hotel in Amsterdam
14,Curaçao,Superior King Room with Iconic View,1 night ,January 2021,Couple," The property is beautiful, clean and perfectly located. The staff was friendly and helpful.", There is nothing that I didn’t like.,9.0,"Classy, clean and friendly staff"
15,United Kingdom,Executive King Room with Iconic View (3 Adults),4 nights ,December 2020,Family," We loved the hotel, and the overall feel! It was was great!"," The only issue we had was the tv connection, sometimes it didn’t come on! Other than that our stay was great!",9.0,Loved this hotel! Can’t wait to go back!
16,Poland,Superior King Room with Iconic View,1 night ,December 2020,Couple," The location, room cleanliness and swimming pool"," I’ve booked the birthday room decoration service, it costs 15 euros and I have got only few balloons on the bed so I think it’s over priced.",8.0,Very Good
17,United Kingdom,Superior Twin Room,3 nights ,December 2020,Couple, Great location lovely room and brilliant staff., Very slow to clean the room and change towels.,8.0,Beautiful place and location. Staff were slow to clean the room.
18,United Kingdom,Superior King Room,2 nights ,November 2020,Solo traveler," I asked for a quiet room, which it turned out not to be (rm101), but it was changed and upgraded very efficiently.  Breakfast was good and very efficient, room was very well sanitised.  Room had everything I needed, it was the perfect location for me."," hand sanitisers had run out by the lift, 2nd night dinner steak was lovely but veg was cold.  No enforcement of mask wearing in public areas, or too many people trying to squeeze into the lift.",8.0,comfortable and convinient
19,United Kingdom,Executive King Room with Iconic View,2 nights ,September 2020,Couple, Location & stay, Nothing all good!,7.0,Good
20,Netherlands,Executive King Room,1 night ,November 2020,Couple," the hotel is quiet close to the train station, which is really convenient. the staff was really professional, the hotel has the hand sanitizer at the entrance. the hotel looks really clean. 
I was really happy with the room, it had a personalized welcome messaged and rose petals over the bed. in the room we had the hand sanitizer as well. And not to forget, the room is smart room with the device to commend the heating system to closing/opening the curtains.", we had some trouble with the tv remote to switch on/off,9.0,perfect stay
21,Belgium,Superior Twin Room,1 night ,October 2020,Solo traveler," Very nice, comfi, beautiful! Pool is super, sauna huge and location great.", The quality of the food in Carsten restaurant is not super high.,8.0,Very Good
22,Australia,Superior King Room,2 nights ,October 2020,Solo traveler, Very comfortable  room. Tasty breakfast. Central location, Room service little pricey. No view from window,8.0,Very comfortable stay in great central location
23,Hong Kong,Executive King Room with Iconic View (3 Adults),2 nights ,October 2020,Family, We enjoyed our stay at Park Plaza - perfect for a city break. The staff were friendly and helpful - Covid has made some things difficult (breakfast buffet for example) but the hotel has found ways to accommodate the distancing rules and yet still provide a friendly service. The room was comfortable and a pleasure to return to each evening.,,8.0,Lovely hotel and very well located.
24,United States of America,Superior King Room,5 nights ,October 2020,Solo traveler,, The gym needs a complete overhaul! ASAP no equipment at all.,8.0,Was wonderful will visit again
