,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Romania,Superior Double Room,3 nights ,September 2019,Solo traveler," Great location (close to Victoria station), excellent breakfast and dinner (Tozi restaurant). Clean, large rooms, friendly and helpful staff.",,10,Good value for money
1,United Kingdom,Superior Double Room,4 nights ,February 2021,Group, Felt that the hotel was clean and only residents could access the building as the doors were locked. The staff were friendly and helpful.," Nothing, the hotel was excellent.",10,Exceptional
2,United Kingdom,Superior Double Room,1 night ,January 2021,Solo traveler, Staff on reception very friendly and helpful. I needed extra time in the room for work reasons and they provided this.,,9.0,Good quality. I will use the hotel again.
3,Saudi Arabia,One Bedroom Apartment,10 nights ,December 2020,Family, every thing was amazing staff rooms place. ..thank you alot alot alot for all staff from my hart i will not forget all....., nothing. ..nothing. ..everything was amazing,10,big and millions thank you for all staff there
4,United Kingdom,Superior Double Room,1 night ,January 2021,Couple," Lovely stay, exceptional staff", Main room controls didn’t work,10,Exceptional
5,United States of America,Executive Double Room,1 night ,September 2020,Couple, Staff can’t help enough.  Fabulous., Nothing.,8.0,Never a bad stay here.
6,Switzerland,Executive Double Room,2 nights ,December 2020,Solo traveler," Clean, well maintained",,8.0,Very Good
7,United Kingdom,Superior Double Room,2 nights ,December 2020,Couple," In a strange time the hotel was pretty good, a great location but the room service breakfast was apparently", Location amd staff,7.5,Good
8,United Kingdom,Executive King Room with Sofa Bed,1 night ,December 2020,Family," Lovely, helpful and professional staff, particularly Emiliana ❤️ nice and clean room, felt very safe, comfy beds just perfect!", Cannot say a thing,9.0,Beyond and above
9,United Kingdom,Executive Studio (3 Adults),2 nights ,December 2020,Couple, Great location and friendly staff, Nothing,10,Exceptional
10,Romania,Superior Double Room,3 nights ,September 2019,Solo traveler," Great location (close to Victoria station), excellent breakfast and dinner (Tozi restaurant). Clean, large rooms, friendly and helpful staff.",,10,Good value for money
11,United Kingdom,Superior Double Room,4 nights ,February 2021,Group, Felt that the hotel was clean and only residents could access the building as the doors were locked. The staff were friendly and helpful.," Nothing, the hotel was excellent.",10,Exceptional
12,United Kingdom,Superior Double Room,1 night ,January 2021,Solo traveler, Staff on reception very friendly and helpful. I needed extra time in the room for work reasons and they provided this.,,9.0,Good quality. I will use the hotel again.
13,Saudi Arabia,One Bedroom Apartment,10 nights ,December 2020,Family, every thing was amazing staff rooms place. ..thank you alot alot alot for all staff from my hart i will not forget all....., nothing. ..nothing. ..everything was amazing,10,big and millions thank you for all staff there
14,United Kingdom,Superior Double Room,1 night ,January 2021,Couple," Lovely stay, exceptional staff", Main room controls didn’t work,10,Exceptional
15,United States of America,Executive Double Room,1 night ,September 2020,Couple, Staff can’t help enough.  Fabulous., Nothing.,8.0,Never a bad stay here.
16,Switzerland,Executive Double Room,2 nights ,December 2020,Solo traveler," Clean, well maintained",,8.0,Very Good
17,United Kingdom,Superior Double Room,2 nights ,December 2020,Couple," In a strange time the hotel was pretty good, a great location but the room service breakfast was apparently", Location amd staff,7.5,Good
18,United Kingdom,Executive King Room with Sofa Bed,1 night ,December 2020,Family," Lovely, helpful and professional staff, particularly Emiliana ❤️ nice and clean room, felt very safe, comfy beds just perfect!", Cannot say a thing,9.0,Beyond and above
19,United Kingdom,Executive Studio (3 Adults),2 nights ,December 2020,Couple, Great location and friendly staff, Nothing,10,Exceptional
20,United Kingdom,Superior Twin Room,1 night ,December 2020,Family," So many food choices 
Brilliant staff 
They even collected and held a cake for me!", The bathroom was dirty,8.0,Very Good
21,United Kingdom,Superior Double Room,3 nights ,December 2020,Couple, Really good location. Comfortable bed and spacious room. Staff very friendly. Hotel impeccabley clean, Tea / coffee making facilities could have been better only enough tea /  coffee for one per day in a small paper cup. Never given enough towels & no face cloths. Elemis toiletries were a nice touch.,8.0,Comfortable enjoyable stay but with a few minor tweaks could have been an excellent stay.
22,United Kingdom,Executive King Room with Sofa Bed,1 night ,December 2020,Couple, Every single member of staff were so helpful and friendly. The hotel is stunning and rooms are comfortable., Breakfast is a little basic but was tasty. The coffee at breakfast is not good though.,9.0,Lovely stay
23,United Kingdom,Superior Double Room,1 night ,December 2020,Couple, room was perfect everything was great, nothing to complain about,10,absolutly perfect time
24,United Kingdom,Superior Queen Room,1 night ,December 2020,Solo traveler," Room was larger and more comfortable than I had envisaged, the parking at the hotel was cheaper than I had expected and the breakfast was included in an already very competitive price", My only niggle was there was tea and coffee in the room but no bottled water.,9.0,Above my expectation
25,New Zealand,Executive Double Room,1 night ,December 2020,Couple, Excellent breakfast delivered to room . Location was perfect lots of restaurants near by will definitely stay again on our next visit to London.,,10,Excellent staff on front desk early check was much appreciated after a long flight .
26,United Kingdom,One Bedroom Apartment,1 night ,September 2020,Couple," Another great stay, still our location of choice for overnights in London :-)",,10,"Great location, perfect stay!"
27,United Kingdom,Superior Queen Room,1 night ,December 2020,Couple," Location ,breakfast excellent it was our mini moon as we got married and didn't want to travel we were given complimentary champagne it was a lovely touch", Heating was not working.... so we were cold..they provided a little heater,9.0,Excellent
28,Australia,Superior Double Room,7 nights ,November 2020,Solo traveler," Fantastic hotel, staff were brilliant and friendly, always so willing to help.  This will definitely be the hotel of choice any time I am London again."," N/A, impossible to find a fault even through the tough times of lockdown.",10,Really enjoyable
29,United Kingdom,Executive Studio,3 nights ,November 2020,Solo traveler," Great stay, excellent staff. Planning to return again next week.",,9.0,"Great stay, excellent staff. Planning to return again next week."
30,United Kingdom,Executive King Room with Sofa Bed,2 nights ,November 2020,Family," Great location, room spacious and clean",,8.0,Very Good
31,United Kingdom,Superior Double Room,3 nights ,November 2020,Solo traveler," The room was a good size, clean and well furnished, with great desk space to work from. The hotel staff who are currently working in an exceptionally difficult time during a second lock down in London provided great customer service.",,8.0,Very Good
32,Latvia,Executive Studio (3 Adults),3 nights ,October 2020,Family, Best staff and comfort a traveler can expect., N/A,10,Exceptional
33,United Kingdom,Superior Double Room,3 nights ,November 2020,Couple, We felt good., The fridge is not cold.,9.0,Wonderful
34,United Kingdom,Superior Twin Room,1 night ,August 2020,Solo traveler," Well located, clean and tidy place. Courteous staff, couldn’t ask for more", Parking a little expansive,8.0,Pleasant Stay
35,Saudi Arabia,Executive King Room with Sofa Bed,3 nights ,November 2020,Family, Every thing was very good,,10,Exceptional
36,United Kingdom,Executive Twin Room,4 nights ,October 2020,Solo traveler, The room was spacious and clean and the hotel location is excellent,,9.0,A very enjoyable stay and I look forward to my next visit
37,United Kingdom,Executive Studio (3 Adults),1 night ,November 2020,Family, We arrived with a car with a broken window due to a theft. The staff both at night and during the day did everything they could to help us including taping up the window so we could get home. Their kindness was beyond all expectations., The staff deserve more customers in these difficult times.,10,Could not help us more
38,United Kingdom,Executive King Room with Sofa Bed,2 nights ,November 2020,Group, Staff made us feel very welcome. Lovely ballons Prosecco and cake to help celebrate my birthday . Had a lovely time will definitely be back,,10,Birthday trip
39,United Kingdom,Executive Studio,2 nights ,October 2020,Family," Staff were really friendly, breakfast was very good"," It was a little cold in the room, I put the heating on put didn’t really warm the room up",9.0,"It was a great stay, my kids loved it"
40,United Kingdom,One Bedroom Apartment,2 nights ,October 2020,Couple," Great location, very nice and polite staff, comfortable beds, great view of London eye from the room."," One bedroom apartment with balcony was blocked for us over the phone due to available for our days of stay. On arrival we have been told by receptionist Ana-Maria that it's not available due to other guest who stayed in the hotel through loyalty programme wanted to stay extra night. We were suggested to pay extra and stay in 2 bedroom apartment instead. I did say that we have payed already for one bedroom apartment so it should be one available at least without view (must admit we have booked this hotel based on conversation over the phone that this type of appartment is available for our stay). We have been offered to switch the apartment next day if this guest will leave. We have done this, but the room had no balcony as the one that we stayed the night before, so I believe receptionist had herself confused as to which appartments have balconies and which not. General experience of the hotel was good, staff are very nice and polite, clean rooms, comfortable beds, apartments are good for family to stay, car park is a bit pricey £30p/n., but this hotel had one so we have used it, good location. London eye and Buckingham palace within walking distance, Sainsbury's shop nearby. Good bars and restaurants nearby.",8.0,Very Good
41,United Kingdom,Superior Double Room,2 nights ,October 2020,Family," Definitely recommend! Everything was in order, Covid secure environment. Will definitely use again on our next visit to London", Comfort and cleanliness,10,Exceptional
42,United Kingdom,Executive Studio,1 night ,October 2020,Family, Friendly and welcoming. Spacious room. Very comfy bed. Nice shower and toiletries. Powerful hairdryer. Good choice of television channels. Quiet in the evening. Very clean., The breakfast options were very limited.,9.0,Favourite hotel to stay at in London
43,United Kingdom,One Bedroom Apartment,2 nights ,October 2020,Couple, The amazing view from our apartment, A little more variety on the cooked breakfast would have been nice,10,"Lovely place to stay, very good location"
44,United Kingdom,Executive Studio,1 night ,October 2020,Family," Room was good, the lobby, restaurant, bar were lovely. A really nice chilled atmosphere."," Room was noisy, could hear traffic outside.",9.0,Wonderful
45,United Kingdom,Executive Studio (3 Adults),1 night ,October 2020,Solo traveler," Aside from the flat being a little chilly, it was very well appointed; comfortable beds, very nice space to relax in, two toilets, kitchen facilities and plenty of natural light.", Just that the heating wasn't adequate or sufficient to warm the kitchen/living/dining area.,9.0,Great value stay in London
46,Italy,Superior Double Room,1 night ,October 2020,Couple," Nice room, nice services, nice staff, nice everything"," Haven't got hairdryer, but is only a small thing",10,Fantastic
47,United Kingdom,Executive Studio,1 night ,October 2020,Family, Staff were extremely friendly and helpful. Lovely breakfast., Nothing,10,Lovely central location
48,United Kingdom,Executive Studio,1 night ,October 2020,Family," Appreciated the surprise cake and tea offered for my Mum's birthday, nice presentation. The bath was an added bonus. Late check out. Breakfast was lovely.", The room was on the corner of the hotel and we  could hear people's noise from outside on the street at night.,8.0,Very Good
49,United Kingdom,Executive King Room with Sofa Bed,1 night ,October 2020,Family," Great location, lovely staff. Clean and fresh.", Sofa bed was uncomfortable.,8.0,Very Good
50,United Kingdom,One Bedroom Apartment,2 nights ,October 2020,Family, Big apartment room," An apartment room with kitchen booked. There was no crockery, cutlery or glasses, supposedly due to Covid, just two paper cups. It was then annoying to remember each time we needed something to have to ask so eventually we stopped asking.",8.0,Nice room
51,United Kingdom,Executive Studio,1 night ,October 2020,Family," It was my son's bday and the staff left cakes and balloons in the room, a lovely gesture that made his weekend - so very kind of the front of house staff to organise this. I too was upgraded for a discounted rate. It's a shame London is fairly quiet during Covid but it's a good time now to sightsee, shop etc - as it's a bit calmer.  Loads of shops and places to eat only mins from hotel. You're kind of 10 mins in a cab from everywhere - covent garden etc. Defo recommend this hotel, we will be back 100%. The parking too was a great addition also, so not carrying of bags across London. The staff are a credit to the hotel, and it was always cleaned and the staff ensured those staying adhered to rules (i.e. masks). Great hotel!!! Great Staff!! Great Location!!", Nothing.,10,Staff are awesome! Just a great spacious hotel! Very clean! Great location!
52,Romania,Executive King Room with Sofa Bed,2 nights ,October 2020,Family, The staff was excellent., All was brilliant,10,Best London experience
53,United Kingdom,Superior Double Room,1 night ,October 2020,Solo traveler," Stylish but not precious about it. Staff welcome good and made the stay safe and as near normal as you can get at the moment. Nice size room, good bathroom. Would definitely stay here again",,8.0,Very Good
54,United Kingdom,Executive Double Room,4 nights ,October 2020,Family,, I paid online for an upgrade but I had to ask reception to upgrade me after I was given a standard room.,8.0,Very Good
55,United Kingdom,Superior Double Room,2 nights ,October 2020,Couple, The brain and armchair, Little breakfast,9.0,Wonderful
56,United Kingdom,Superior Double Room,1 night ,October 2020,Solo traveler, Convenient location. Staff are always very welcoming and go the extra mile.,,8.0,Very Good
57,United Kingdom,Superior Twin Room,2 nights ,October 2020,Group, Great customer service and attentive staff.     Location was fab.   Tube station a short walk or easy walk to Buckingham palace.,,9.0,Wonderful
58,United Kingdom,One Bedroom Apartment,1 night ,October 2020,Couple, Value for money., Couple Broken Cupboards and draws. Aircon cold only. (Heaters were provided).,8.0,Lovely place. Great value.
59,United Kingdom,Superior Queen Room,1 night ,October 2020,Solo traveler," The team are always extremley friendly and helpful. The covid precautions are good and are respcted by the team (unlike other places I have satyed at recently). The breakfast is always frehly prepared and tasting, although a greater choice of cooked food would be appreacited :)",,10,Exceptional
60,United Kingdom,Executive King Room with Sofa Bed,2 nights ,October 2020,Family," The lady in the reception is very warm and welcoming. She even upgraded our room.
Breakfast was ok given the COVID situation", Little away from the attractions. Nothing else,10,Exceptional
61,United Kingdom,Superior Queen Room,2 nights ,October 2020,Solo traveler, Excellent customer service with the few problems I had.,,9.0,Wonderful
