,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Bahrain,Superior Queen Room,4 nights ,March 2020,Couple," Room, facilities, breakfast, location",,10,Exceptional
1,Italy,Deluxe King Room,2 nights ,December 2020,Solo traveler, Very clean,,8.0,Good stay considering nothing was open
2,Netherlands,Superior Queen Room,2 nights ,February 2021,Couple," Great location, wonderful to walk through the park (especially now since not much else is open)! The staff was very helpful, and we really liked the design of the room. Lovely breakfast, brought to our room (no buffet because of corona). Lots of different food items even though we only mentioned our dietary preferences (vegetarian) the evening before (croissant, sandwiches, muffin, egg, yoghurt, fruit, juice, etc!). All in all a great experience.", We couldn't figure out how to connect our phones to the tv (which was given as an option).,9.0,"Great location, room, and service"
3,Netherlands,Deluxe King Room,1 night ,February 2021,Couple," Location, interior"," Pillows are too high and firm. Breakfast to pickup at reception and eat in the room. I’d better get it delivered on request. The food is very mediocre, I’d get less items but better quality. Half backed egg was a failure and a mess. Sandwich with cheap bread from supermarket? C’mon.",9.0,Nice and posh
4,Belgium,Deluxe King Room,1 night ,December 2020,Couple, Wonderfully decorated. Extremely functional. Friendly staff. Serene location.,,10,Exceptional
5,Netherlands,Superior Queen Room,1 night ,November 2020,Couple," The room looked nice and clean, also the rest of the hotel was modern and clean.
The restaurant was fantastic.", The beds were quite hard and uncomfortable. The rooms are very noisy.,8.0,Very Good
6,Netherlands,Deluxe King Room,1 night ,November 2020,Couple, Excellent location; room and bathroom are super clean with great facilities, Wish there could be slippers in the room too,10,Amazing and good value
7,Ireland,Junior Suite,2 nights ,October 2020,Couple, Beautiful area to be located in and staff were so friendly and accommodating!.,,10,Exceptional
8,United Kingdom,Superior Queen Room,3 nights ,October 2020,Couple," On arrival to the hotel we were greeted with friendly staff who went above and beyond to ensure we were happy and had everything we needed. They provided us with a map of amsterdam whilst letting us know the closest tram routes into central. Throughout our stay the staff were pleasant, helpful and were more than happy to help us with any issues. Room service was nice however options are limited which is the only drawback. Everything else was perfect and I would definitely stay here again when visiting amsterdam.",,10,Exceptional stay
9,Luxembourg,Deluxe King Room,2 nights ,August 2020,Couple," The room was very cosy and all the measures relating to covid were in place without it being too excessive. I really appreciated the comfort of the bed and cushions and we enjoyed a varied and good quality breakfast. Located next to vonderlpark, the location of the hotel is perfect.",,8.0,A little nest
