,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
0,Australia,Studio King (Family),3 nights ,July 2019,Family, Perfect location. Convenient to everywhere.," Good breakfast ,but always the same menu..",10,Exceptional
1,United Kingdom,Superior Double Room - Disability Access,2 nights ,March 2021,Couple, The view was very nice. The presentation of the breakfast was also very good., If the breakfast eggs was a little better maybe this can be done through providing us with salt and pepper to season it.,10,Overall it’s a very good place with great staff
2,United Kingdom,Two-Bedroom Suite with Terrace,1 night ,February 2021,Family, From start to finish they hotel was happy to help with any problem perfect place to stay and I will stay here every time I need to stay in London, The only thing I don’t like about this hotel is not being able to stay at this hotel more often,10,Exceptional
3,United Kingdom,Studio King (Family),1 night ,March 2021,Family, The staff were great,,10,Exceptional
4,United Kingdom,Superior Twin Room with Internal View,1 night ,March 2021,Solo traveler, This is a fabulous hotel at the best of times but yesterday I arrived to be told I was VIP guest of the day and was upgraded free to their penthouse suites. It was fantastic and I just wanted to say thank you so much. It was really appreciated. Mike Farrar,,10,Exceptional
5,United Kingdom,Studio Double Room with Big Ben View,3 nights ,March 2021,Solo traveler," The staff were pleasant and helpful. It was certainly strange to be staying in lockdown, but they made it as pleasant as it could be. Room service was excellent and the standard of food for room service was particularly good: I had very good meals delivered to my room with drinks each evening. All in all a very good stay, although under strange circumstances. Location also excellent with a taxi rank right outside.", Very noisy neighbours on my first night's stay. For 'critical workers' they seemed to have a fair bit of partying to do.,8.0,Good location; pleasant staff; great food and room service.
6,United Kingdom,Superior Double Room - Disability Access,1 night ,March 2021,Solo traveler," It’s location, polite staff, easy check in and out and overall ambiance of the place.  Excellent", Didn’t get quite what I ordered for breakfast but still very nice.  Attention to detail there.,9.0,Wonderful
7,United Kingdom,Superior Double Room with Internal View,2 nights ,March 2021,Solo traveler," I liked the Park Plaza in Park Royal much better, it is more modern. The shower in the Park Plaza Westminster Bridge is small and uncomfortable and the scary face of the lady, which you see when waking up",,8.0,Very Good
8,United Kingdom,Studio Double Room with Big Ben View,1 night ,March 2021,Couple," The location was fantastic was up on 12th floor so the view was very nice, bathroom was nice and relaxing aswell."," The bed seemed to be in an awkward position in the room, where simply swapping the Position of the bed and the tv could offer a nicer experience. By being able to enjoy the view from the comfort of the bed would be very nice",7.0,Very good stay overall will definitely be back when everything is open
9,United Kingdom,Superior Twin Room with Internal View,1 night ,December 2020,Couple, Everything, The view wasn’t much to look at from the room,10,Exceptional
10,Australia,Studio King (Family),3 nights ,July 2019,Family, Perfect location. Convenient to everywhere.," Good breakfast ,but always the same menu..",10,Exceptional
11,United Kingdom,Superior Double Room - Disability Access,2 nights ,March 2021,Couple, The view was very nice. The presentation of the breakfast was also very good., If the breakfast eggs was a little better maybe this can be done through providing us with salt and pepper to season it.,10,Overall it’s a very good place with great staff
12,United Kingdom,Two-Bedroom Suite with Terrace,1 night ,February 2021,Family, From start to finish they hotel was happy to help with any problem perfect place to stay and I will stay here every time I need to stay in London, The only thing I don’t like about this hotel is not being able to stay at this hotel more often,10,Exceptional
13,United Kingdom,Studio King (Family),1 night ,March 2021,Family, The staff were great,,10,Exceptional
14,United Kingdom,Superior Twin Room with Internal View,1 night ,March 2021,Solo traveler, This is a fabulous hotel at the best of times but yesterday I arrived to be told I was VIP guest of the day and was upgraded free to their penthouse suites. It was fantastic and I just wanted to say thank you so much. It was really appreciated. Mike Farrar,,10,Exceptional
