Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities
Cyprus,Standard Room,1  ,February 2019,Couple, What I liked more was how easy was to get a late check out until 6pm without any charge and actually promote it on their customer website.,10.0,Excellent Service and value overall.  Well Done!,1,staff|
United Kingdom,Superior Room with River view,3  ,March 2021,Solo traveler, Very quiet with good customer service,9.0,"Very good, thank you very much",1,noisiness|staff|
United Kingdom,Standard Room,2  ,March 2021,Solo traveler, Ice machine on each floor was good,8.0,Very Good,1,
United Kingdom,Superior Room with River view,4  ,March 2021,Solo traveler," very helpful staff, excellent city centre position and lovely views of the river!
complimentary breakfast bag was a nice touch during difficult times with many places not open at the moment",8.0,Very Good,1,staff|location|price|food/drink|
United Kingdom,Superior Room with River view,3  ,March 2021,Solo traveler," Nice hotel, nice room, massive comfortable bed. Even though it is not directly on the river front, it is set back a bit, and has a main road next to it (no street noises though)  the views were stunning.",8.8,Just booked again,1,comfort|bed|noisiness|location|
United Kingdom,Superior Room with River view,4  ,March 2021,Group, Nice central hotel,8.0,"Nice friendly hotel, looked after us during difficult times",1,location|
United Kingdom,Standard Room,1  ,March 2021,Solo traveler, Location to project I’m currently working on,7.0,Did want it needed,1,location|
United Kingdom,Standard Room,1  ,March 2021,Solo traveler, Location and price was excellent,9.0,Last minute booking,1,location|price|
United Kingdom,Standard Room,1  ,February 2021,Family," The upgrading to a river view was a fantastic gesture and much appreciated. The bath, my son loved. The bed was about as comfortable as possible. Even a complimentary breakfast left outside room in morning! Great room. Even greater value.",9.0,Wonderful,1,location|bathroom|bed|comfort|price|food/drink|
United Kingdom,Superior Room with River view,1  ,February 2021,Couple," The stay here was great for what we needed. Lots of additional extras in the room and it had everything we needed. Only complaint was the bed mattress was hard but I guess it’s what your use too. 
We had a superior room with river view and the view was great to wake up too!",8.0,"Nice hotel, could do with some new mattresses!",1,bed|location|
United Kingdom,Standard Room,1  ,February 2021,Group, The room was fine but could do with additional wall sockets.,8.0,Very Good,1,
United Kingdom,Superior Room with River view,2  ,January 2021,Solo traveler, Bathroom and large bed.,7.0,Uninspired to return,1,bathroom|bed|
United Kingdom,Standard Room,1  ,December 2020,Family, Lovely hotel,7.0,Good,1,
United Kingdom,Junior Suite,1  ,December 2020,Couple," accommodating staff,would return",7.0,Good,1,staff|
United Kingdom,Superior Room with River view,1  ,December 2020,Couple, Cleanliness,8.0,Great,1,dirty|
United Kingdom,Premium Room with River View,1  ,December 2020,Family, Disappointed with breakfast it was cold,8.0,Room was lovely very comfortable,1,food/drink|
United Kingdom,Standard Room,1  ,December 2020,Family, Great,8.0,"Perfect apart from the fact leisure centre closed,  son disappointed",1,
United Kingdom,Standard Room,1  ,December 2020,Couple," Very nice, spacious rooms, Lovely decor. Comfortable bed and felt very comfortable in the room generally. The staff were very nice and helpful in the main.",8.0,"All in all , a good stay had I  Liverpool and in the radisson.",1,comfort|bed|staff|
United Kingdom,Standard Room,1  ,December 2020,Couple, Location,7.0,Good,1,location|
United Kingdom,Standard Room,1  ,December 2020,Couple, Nice breakfast but due to covid reduced offer. Gr8 food in the restaurant and brilliant staff.,7.0,Good value short stay.,1,food/drink|covid|restaurant|staff|
United Kingdom,Superior Room with River view,1  ,December 2020,Couple, Good social Distancing. Fab breakfast. Good value for money,9.0,Liverpool overnight stay,1,food/drink|price|
United Kingdom,Standard Room,1  ,December 2020,Couple, Everything,8.0,Good,1,
United Kingdom,Superior Room with River view,2  ,December 2020,Solo traveler, Breakfast - very good & plenty to choose from. Also nice to enjoy a view of the River Mersey from the breakfast room.,9.0,Excellent & very good value stay with very friendly & helpful staff members.,1,food/drink|location|
United Kingdom,Standard Room,1  ,December 2020,Couple, On arrival seemed decent.,7.0,Great stay but too warm in the room,1,
United Kingdom,Standard Room,1  ,December 2020,Couple," The staff were all amazing and made us very welcome. Everyone we spoke to was professional and well organised. The whole hotel was spotlessly clean and the room was too. 
Bar area was very good and the food there was hot and tasty.",7.0,Weekend escape!,1,staff|dirty|restaurant|location|food/drink|
United Kingdom,Standard Room,1  ,December 2020,Family," Good breakfast , good location. Overall good hotel",9.0,Great night away,1,food/drink|location|
United Kingdom,Superior Room with River view,1  ,December 2020,Couple," It was modern, breakfast/diner area was clean",9.0,Wonderful,1,comfort|food/drink|location|dirty|
United Kingdom,Standard Room,1  ,December 2020,Family, the 3 members of staff I dealt with were terrible...check in girl was officious..the room service took an hour to come ..it was water ..and when I decided to get breakfast the woman was proper rude..staff need training!!!,9.0,sack the staff,1,staff|bathroom|dirty|food/drink|
United Kingdom,Standard Room,1  ,December 2020,Couple, Rooms were spotless. Check in process was quick and straightforward.,9.0,Wonderful,1,
Ireland,Standard Room,2  ,December 2020,Group, Not as far from the City Centre as it looks. Chef was excellent both mornings.,7.0,Staff excellent,1,location|restaurant|
United Kingdom,Standard Room,1  ,December 2020,Family, The hotel is a nice hotel throughout the bar staff was good but I ordered room service at 12:30 at night and it didn’t arrive I then called at 7:30 in the morning and it came 20 minutes later,8.0,My stay,1,restaurant|staff|
United Kingdom,Standard Room,2  ,December 2020,Couple," It was very comfortable and amazing view , right near the train station and only 20-30mins to the city centre",9.0,Wonderful,1,comfort|location|
United Kingdom,Premium Room with River View,1  ,December 2020,Couple," The room was really comfy, nice large bed and clean bedding.",8.0,Very Good,1,comfort|bed|dirty|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple, Always a pleasant stay at this city centre hotel. It is in the business district but only a very short walk to nightlife & shopping so the best of both worlds.,9.0,Liverpool favourite!,1,noisiness|location|
United Kingdom,Standard Room,1  ,November 2020,Solo traveler, Covid restrictions so a complimentary grab go bag delivered to the room,9.0,"Arrived late after due to work commitments, receptionist promptly checked me in.",1,covid|price|
United Kingdom,Standard Room,2  ,October 2020,Family, Breakfast really good having a buffet in the current circumstances .,8.0,Value for money,1,food/drink|
United Kingdom,Superior Room with River view,2  ,October 2020,Group, Comfortable bed and good breakfast,9.0,Wonderful,1,comfort|bed|food/drink|
United Kingdom,Standard Room,1  ,October 2020,Couple, Great location perfect for exploring city and Albert dock. Very clean all round. Staff very nice and helpful.,9.0,Wonderful,1,location|dirty|staff|
United Kingdom,Standard Room,3  ,October 2020,Couple," Room was very clean and nice, breakfast service was also very good.",8.0,Very Good,1,dirty|food/drink|staff|
United Kingdom,Standard Room,2  ,October 2020,Couple," Comfy beds, friendly staff, nice interior of hotel",7.0,Nice short break,1,comfort|bed|staff|
United Kingdom,Superior Room with River view,2  ,October 2020,Couple," It was clean and the room had been deep cleaned before we went in. It was spacious and light. The staff were fantastic, couldn’t do enough for you. Also so friendly that you could chat like you had known them years. Also it was quiet even from outside it didn’t effect us.",9.0,Bad breakfast,1,dirty|staff|noisiness|location|
United Kingdom,Premium Room with River View,4  ,October 2020,Couple, Very clean and friendly staff,9.0,Wonderful,1,dirty|staff|
United Kingdom,Premium Room with River View,1  ,October 2020,Couple, Breakfast was good plenty of selection staff were helpful and polite room comfortable especially the bed ordered flowers as surprise for my fiancée and were in room when we arrived all in all really enjoyed our stay and would definitely stay again,9.0,Wonderful,1,food/drink|staff|comfort|bed|
United Kingdom,Superior Room with River view,2  ,October 2020,Group, Everything except no fridge in the rooms,7.0,Great,1,
China,Standard Room,2  ,October 2020,Solo traveler, The bed was incredible comfy and all the staff were very friendly. In the lobby and the lift are things we're continually being sanitised.,7.0,"Comfy, but don't go just for the spa experience",1,bed|comfort|staff|
United Kingdom,Superior Room with River view,3  ,October 2020,Couple, Ladies on reception was nice  and helpful,7.0,Good,1,staff|
United Kingdom,Premium Room with River View,1  ,August 2020,Solo traveler, Big comfy bed,7.0,Good,1,comfort|bed|
United Kingdom,Standard Room,2  ,September 2020,Solo traveler," Good location, great view from the room. Very comfortable bed and plenty of space. Modern features and lovely pool.",8.0,Very Good,1,location|comfort|bed|fitness|
United Kingdom,Standard Room,1  ,September 2020,Solo traveler," Breakfast was spot on ,staff friendly lots of variety",7.0,"Lovely stay,staff fab,great location",1,food/drink|location|staff|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple, Lovely beds and lovely set out of the hotel,8.0,Very Good,1,bed|
United Kingdom,Standard Room,2  ,September 2020,Couple, Nice,8.0,Very Good,1,
United Kingdom,Standard Room,2  ,September 2020,Couple," It was in a great location, very close to lots of things to go see / do. The bed was extremely comfy & very spacious, the room itself was also very roomy, curtains blocked out a lot of light so great if you wanted an extra hour of sleep!",8.0,Very Good,1,location|bed|comfort|
United Kingdom,Premium Room with River View,3  ,September 2020,Couple, Very nice modern classy look,7.0,The room just wasn’t clean very dusty and crisp packets from previous guests under the bed other than that it was good,1,comfort|
United Kingdom,Standard Room,1  ,September 2020,Couple, Easy and clean,8.0,Comfortable,1,dirty|
United Kingdom,Standard Room,1  ,September 2020,Couple," Everything other than parking was great, hubby loved the shoe polish station and ice station",8.0,Very Good,1,parking|
United Kingdom,Superior Room with River view,2  ,September 2020,Couple, Very large comfy bed and brilliant views. Lots of hot water. Very quiet room once you got used to air conditioning. Breakfast was good and very well organised. Staff very courteous,9.0,A good experience,1,comfort|bed|location|bathroom|dirty|noisiness|temperature|food/drink|staff|
United Kingdom,Standard Room,2  ,September 2020,Couple," Really clean, lovely hotel and friendly staff",8.0,Very Good,1,dirty|staff|
United Kingdom,Superior Room with River view,1  ,September 2020,Group, Good location and staff very good,7.0,Good,1,location|staff|
United Kingdom,Superior Room with River view,1  ,September 2020,Group, Comfy clean room. Bath and shower,7.0,"Comfy stay, clean hotel but very dated",1,comfort|dirty|bathroom|
United Kingdom,Premium Room with River View,2  ,August 2020,Solo traveler," Bedding lovely, great view, quiet, breakfast good",9.0,Wonderful,1,bed|location|noisiness|food/drink|
United Kingdom,Superior Room with River view,3  ,September 2020,Family," Location, room view",7.0,Bed was ok if you compare with Marriott or Sheraton,1,location|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple," The hotel is great, location is fantastic and the river view was lovely. The beds are comfortable and the black out curtains really are blackout! Checkout being at 12, with breakfast served until then is a bonus. The hotel was very good with sanitizer and masks etc. with the current COVID restrictions.",8.0,"Great hotel, great location",1,location|bed|comfort|food/drink|covid|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple, Beautiful view. Lovely place and well situated.,8.0,Very Good,1,location|
United Kingdom,Standard Room,1  ,September 2020,Solo traveler," Very clean room, large comfortable bed, convenient location",9.0,"Clean and convenient, no parking",1,dirty|comfort|bed|location|
United Kingdom,Standard Room,1  ,September 2020,Couple, It was very clean and the bed was really comfortable,7.0,Great city,1,dirty|bed|comfort|
United Kingdom,Premium Room with River View,1  ,September 2020,Couple, Room was beautifully clean large and spacious bed was to die for.  View of the Mersey was great,9.0,Enjoyed apart from the food,1,dirty|bed|location|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple," Lovely comfy bed. 
Great bath 
Nice view 
Really helpful staff. 
Good location for attractions",7.9,One night stay,1,comfort|bed|bathroom|location|staff|
United Kingdom,Standard Room,2  ,September 2020,Couple, Loved how you would just walk from room and have straight access down the hall to a lift that bring you straight to changing rooms and pool so you could use the robes and not have to stress about bringing anything,9.0,Amazing,1,fitness|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple, Liked the hotel lobby and bar but the room was bit outdated and need stuff fixing in the room we had a broken shower head and paint chipped away from ceiling plus but overall was a good experience,8.0,Very Good,1,restaurant|bathroom|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple," The location was lovely, the view from our room was gorgeous, and a short walk to the shops/train station once you know where your going. 
The rooms where lovely, and the pool and spa area are worth a visit!",9.0,Great!,1,location|restaurant|fitness|
United Kingdom,Standard Room,1  ,September 2020,Solo traveler, We had a lovely stay defo be staying again staff was very helpful. Beds was so comfy and the breakfast was very fresh and delicious. :),9.0,Wonderful,1,staff|bed|comfort|food/drink|
Ireland,Superior Room with River view,2  ,September 2020,Family," Lovely spacious rooms ,, bed was very comfortable",8.0,Very Good,1,bed|comfort|
United Kingdom,Superior Room with River view,1  ,August 2020,Couple, Excellent breakfast - gorgeous facilities,9.0,Wonderful,1,food/drink|
United Kingdom,Superior Room with River view,1  ,September 2020,Couple, All fresh and plenty of it thankyou,8.0,Very Good,1,
United Kingdom,Superior Room with River view,4  ,September 2020,Couple," The room and view very nice.
Swimming pool excellent.",8.3,Very Good,1,location|fitness|
United Kingdom,Superior Room with River view,2  ,September 2020,Couple, Break fast was just ok. The hashbrowns were cold and hard. The bacon had stood too long and was also hard. The toast was cold. The staff were very nice though.,7.0,It was ok,1,staff|
United Kingdom,Standard Room,2  ,August 2020,Group," Breakfast was excellent. Location was a little further out than I thought it would be. The staff was extremely polite and helpful, we were upgraded to Mersey view rooms at no extra cost. I will certainly stay here again.",9.0,A fabulous few days away with a lovely hotel stay,1,food/drink|location|staff|
Jersey,Standard Room,1  ,September 2020,Group," Good position, clean and nice breakfast.",7.0,Sheila’s 50th Celebration,1,dirty|food/drink|
United Kingdom,Standard Room,2  ,September 2020,Group, It was comfortable and felt friendly,8.0,Very Good,1,comfort|staff|
United Kingdom,Superior Room with River view,1  ,September 2020,Solo traveler, Staff very helpful and friendly,9.0,Very friendly and helpful staff. Shame it wasn’t clear the parking is an additional cost,1,staff|
United Kingdom,Premium Room with River View,2  ,August 2020,Family," Very clean, more facilities available than expected. Great breakfast included and the lobby looks amazing.",9.0,Wonderful,1,dirty|food/drink|
United Kingdom,Junior Suite,2  ,September 2020,Couple," Good location and the staff were great, the disappointment was the price of the bar and quality of room Vs how much we paid....don’t upgrade to a suit a is not worth it.",7.0,Good,1,location|staff|price|restaurant|
United Kingdom,Standard Room,2  ,September 2020,Couple," Nice room good facilities, slightly dated",7.0,Good,1,
