Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities
Ireland,Standard Double Room - Atrium View,2  ,February 2020,Couple, The staff were beyond friendly and the whole experience was so enjoyable. Beautiful hotel with all the facilities you need. I would go back in a heartbeat if I was travelling to Sydney again.,10.0,Exceptional,1,staff|location|
Australia,Superior Double Room,1  ,August 2020,Group," In a perfect spot in the middle of the CBD, close the the rocks and wynard train station. Helpful staff (thanks for the free room upgrade !).
Rooms are nice and modern, nice big shower and bath, and even a little peek-a-boo window from the bathroom to the bedroom which is a nice touch. Good size gym and indoor pool as well. What you expect from a 5 star hotel.",9.0,5 star service for a 5 star hotel.,1,location|staff|comfort|bathroom|fitness|
Australia,Superior Double Room,1  ,August 2020,Couple, Great stay as always,10.0,Fantastic,1,
Australia,Superior Double Room,1  ,August 2020,Solo traveler, Very clean and spacious room; staff very polite.,10.0,Exceptional,1,dirty|staff|
Australia,Superior Twin Room,1  ,August 2020,Group," Little considerations are lovely. The clock dims when the lights are off, you can cast from your device to the tv.",8.0,Was perfect from start to finish. Ended with luxurious spa treatment.,1,tv|
Australia,Superior Double Room,1  ,August 2020,Group," Free room upgrade on arrival, clean, quiet, excellently located, great bar staff!!",8.0,"Excellent location, superby comfortable bed",1,dirty|noisiness|location|restaurant|staff|
Australia,Standard Double Room - Atrium View,1  ,July 2020,Couple," Room space, bed , bathroom excellent",8.0,Generally enjoyable subject to TV comments,1,bed|bathroom|
Australia,Superior Twin Room,1  ,July 2020,Couple, The amazing bathroom beautiful full-size bath tub Excellent,10.0,Very happy with the service great location and would thoroughly recommend it to anybody staying in S,1,bathroom|
Australia,Superior Double Room,1  ,July 2020,Couple, Loved the history of the building and preserved features within the hotel.,9.0,Wonderful,1,
Australia,Superior Twin Room,1  ,July 2020,Family, Great location and polite staff. Thank you,10.0,Exceptional,1,location|staff|
Australia,Superior Twin Room,1  ,July 2020,Family," Wonderful staff 
Extremely comfortable beds 
Lovely clean room",10.0,Exceptional,1,staff|comfort|bed|dirty|
Australia,Standard Double Room - Atrium View,1  ,July 2020,Couple, Very impressed with how clean it was and the extremely comfortable bed,10.0,fantastic,1,dirty|comfort|bed|
Australia,Superior Twin Room,3  ,July 2020,Family," Room was comfortable and well Serviced 
Kids liked the indoor pool 
Good location , 5 minutes walk to circular quay",8.0,Weekend city break,1,comfort|fitness|location|
Australia,Superior Double Room,1  ,July 2020,Couple," Large room and bathroom. Both we’re very clean. The bed was large and comfortable. I really liked all the USB ports to charge the phone. 
Location was excellent. Walking distance to Wynyard and Martin Place stations.
Considering the exceptional circumstances presented by COVID-19, and the fact that the hotel was used, as many others, to quarantine returning Australians, the service provided by staff was fantastic and gave me peace of mind as to my own security.",9.0,Comfortable Stay in the Heart of Sydney,1,bathroom|dirty|bed|comfort|location|covid|staff|
Australia,Superior Double Room,1  ,July 2020,Couple, Location and staff,8.0,Very Good,1,location|staff|
Australia,Superior Twin Room,1  ,July 2020,Family," Location, facilities and staff",9.0,Wonderful,1,location|staff|
