Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities
United Arab Emirates,Superior Double Room,1  ,January 2021,Couple," Excellent service as we had a very late check in. A very well organised hotel in the current situation. Breakfast was chosen at check in and presented in a takeout bag. With tea or coffee. The selection was excellent too. 
Highly recommended hotel.",10.0,Excellent service and hotel,0,1,staff|food|drink|
Bahrain,Superior Twin Room,5  ,November 2020,Family, Location and value of price,8.0,Excellent choice,0,1,location|price|
United Kingdom,Superior Double Room,9  ,December 2020,Solo traveler," Approachable and helpful staff.
Housekeeping was very good.",9.0,Wonderful,0,1,staff|
United Kingdom,Executive Double Room,2  ,December 2020,Solo traveler, The extra large bed and big tv with all sky channels.,9.0,Wonderful,0,1,bed|tv|wifi|
United Kingdom,Superior Double Room,1  ,December 2020,Couple," Staff very friendly and room very spacious, good service under the current circumstances.",8.0,"Clean central hotel with lovely warm rooms, will definitely use again",0,1,staff|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Everything,9.0,Incredible,0,1,
United Kingdom,Superior Double Room,1  ,December 2020,Solo traveler," Central 
Good grab and go breakfast",8.0,Did the job,0,1,location|food|
United Kingdom,Executive Double Room,2  ,December 2020,Family," The staff were amazing. I travelled with my little boy who was undergoing treatment at a local hospital and the staff at the hotel were amazing. They got us fresh towels at 3 am, they let us check out later as we couldn’t take all our things to hospital. We will stay again when we’re back in Leeds.",9.0,Really friendly and thoughtful,0,1,staff|bathroom|
United Kingdom,Executive Triple Room,1  ,November 2020,Group," Loved the location of the hotel, so central you cannot go wrong! The room was great, with plenty of space for the three of us. Requested a high up room for the views which were really great to look over Leeds.",9.0,Comfortable and lovely stay,0,1,location|
United Kingdom,Superior Double Room,1  ,December 2020,Solo traveler, Very comfy bed and very quiet room,9.0,Wonderful,0,1,comfort|bed|noisiness|
United Kingdom,Superior Double Room,1  ,December 2020,Solo traveler," Convenient, clean, great service",8.0,Very Good,0,1,dirty|staff|
Bahrain,Superior Twin Room,5  ,November 2020,Family," Excellent place in the heart of the city Centre of Leeds, welcoming staff, good value, helpful reception, due to Covid- 19 could not utilize the gym or the reception area, but over all we have enjoyed our staying.",9.0,Excellent choice 👍🏼,0,1,location|staff|price|covid|fitness|
United Kingdom,Superior Double Room,1  ,September 2020,Solo traveler, Booked for my husband to stay overnight when returning daughter to Uni. Usually use other hotels with nearby car parks to park vehicle securely but thought we’d give the Plaza a try as a good price was offered. We often walk past it when out and about in Leeds and it looks luxurious. Obviously very quiet as in Covid restrictions so hard to comment about ambience or dining experience.  Will have to sample an overnight stay again when less restrictions are granted. Rooms were clean and comfortable,7.0,Good price for a little bit of luxury,0,1,location|parking|price|noisiness|covid|comfort|restaurant|dirty|
United Kingdom,Superior Double Room,1  ,November 2020,Couple, View and location,9.0,Wonderful,0,1,location|
United Kingdom,Executive Triple Room,1  ,November 2020,Group, Location was great and staff were friendly,7.0,Fab Location,0,1,location|staff|
United Kingdom,Superior Double Room,2  ,November 2020,Solo traveler, The hotel felt very clean and comfortable. The staff were very friendly.,8.0,Very good - would definitely stay again.,0,1,dirty|comfort|staff|
United Kingdom,Superior Twin Room,1  ,October 2020,Family," Because of the current covid restrictions breakfast was ""to go."" The hotel made a big effort to provide a reasonable choice, including cooked sandwiches.",9.0,Attending a medical appointment in Leeds with my elderly mum - staff were extremely kind and helpful,0,1,covid|food|
United Kingdom,Executive Double Room,1  ,November 2020,Family, Good service and polite staff. Room was good . Great view.,9.0,Wonderful,0,1,staff|location|
United Kingdom,Superior Double Room,1  ,November 2020,Solo traveler, check-in was handled really well considering the circumstances. Room was lovely and a great view.,8.0,Very Good,0,1,location|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Room good prime location didn’t have any food in hotel.,8.0,Very good,0,1,location|drink|food|
United Kingdom,Superior Double Room,2  ,October 2020,Couple," Rooms very good and clean. Staff very helpful. Excellent breakfast served by really attentive and happy staff. 
Good location for shops just 1 minute away.",8.0,Excellent city centre hotel byt parking is an issue.,0,1,dirty|staff|food|location|restaurant|
United Kingdom,Superior Double Room,5  ,October 2020,Solo traveler, Friendly and helpful staff.,9.0,Wonderful,0,1,staff|
United Kingdom,Executive Double Room,4  ,November 2020,Family, Very friendly and helpful staff.,9.0,Wonderful,0,1,staff|
United Kingdom,Superior Double Room,1  ,November 2020,Couple, The location is really good.  Close to the railway station and the shops.,9.0,Nice overnight stay in Leeds.,0,1,location|restaurant|
United Kingdom,Superior Double Room,1  ,November 2020,Couple," The room its self was amazing, great views of the city, very clean, the beds were so so comfy, all staff were lovely and I love the fact we were provided with things to make a coffee with.",7.0,"Great room, but no hot water",0,1,location|dirty|bed|comfort|staff|drink|
United Kingdom,Superior Double Room,2  ,November 2020,Family," Great location, quick check in very helpful staff",9.0,Wonderful,0,1,location|staff|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Good size room for a City centre & a fab location 👌,8.0,Nice stay right in the centre,0,1,location|
United Kingdom,Executive Double Room,1  ,October 2020,Couple," Friendly, organised.",9.0,Wonderful,0,1,staff|
United Kingdom,Superior Double Room,1  ,October 2020,Family," Location was excellent, opposite the train station and next to main shopping centre",9.0,Wonderful,0,1,location|
United Kingdom,Executive Triple Room,1  ,October 2020,Family," Location, facilities and views",9.0,Great central location and very comfortable,0,1,location|
United Kingdom,Executive Double Room,1  ,September 2020,Couple, the room was ready early and was very spacious with very large bed,8.0,satisfied with our stay in current climate hotel procedures were well with in goverment guide lines,0,1,bed|
United Kingdom,Superior Double Room,1  ,October 2020,Solo traveler, Location spot on.viewith from my 19th floor rooms. Bed very good.,8.0,Only there one night but the atmosphereel spot on.,0,1,location|bed|
United Kingdom,Executive Double Room,1  ,October 2020,Family, Central location,8.0,Very Good,0,1,location|
United Kingdom,Superior Twin Room,1  ,October 2020,Family, Breakfast was very nice. We had a lovely bottle of prosecco waiting for us on arrival for my daughters birthday with a card too. Staff were very helpful and the luggage holding was very useful.,9.0,Very nice i would stay here again.,0,1,food|drink|staff|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Great location. Breakfast good,7.0,Good,0,1,location|food|
United Kingdom,Superior Double Room,1  ,October 2020,Couple, Ana especially was amazing with us sorted everything we needed.,9.0,Ana leeds,0,1,
