Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities
Germany,Superior Twin Room,3  ,February 2020,Couple," Clean and modern, staff was friendly and Accommodating. Very good breakfast and Restaurant.Good security I felt very safe.",10.0,Very comfortable stay,0,1,dirty|comfort|staff|food|restaurant|
United Kingdom,Executive Double Room - River View,4  ,December 2020,Couple," Everything about the room was brilliant, it was clean, comfortable and spacious. The view was fantastic too. I have every intention on using this hotel as many times as possible, absolutely loved my room.",10.0,Exceptional,0,1,dirty|comfort|location|
United Kingdom,Executive Double Room - River View,1  ,December 2020,Couple, Great location and ultra modern interior,8.0,Great place to stay in London,0,1,location|comfort|
United Kingdom,One-Bedroom Suite with Balcony and River View,1  ,December 2020,Couple," The space and quality of our top floor suite with terrace, the view, the welcome and friendliness of staff when checking in and out",10.0,Exceptional,0,1,location|staff|
United Kingdom,Executive Double Room - River View,4  ,December 2020,Couple," room, location breakfast all Excellent, staff very professionally",10.0,'Excellent',0,1,location|food|staff|
United Kingdom,Executive Double Room,2  ,December 2020,Couple, Cleanliness,10.0,Short city break,0,1,dirty|
United Kingdom,Studio Double Room with Sofa Bed,2  ,December 2020,Family, Rooms were good lovely view of London eye everything was spotless nice breakfast good location,9.0,Park plaza great location,0,1,location|food|
United Kingdom,Executive Double Room - River View,1  ,December 2020,Family, Great location and views,10.0,Great stay,0,1,location|
United Kingdom,Executive Double Room - River View,1  ,December 2020,Couple, The room,10.0,Great hotel amazing weekend,0,1,
Australia,One-Bedroom Suite with Balcony and River View,1  ,December 2020,Couple, Everything,10.0,Exceptional,0,1,
United Kingdom,One-Bedroom Suite with Kitchenette and River View,6  ,October 2020,Family, Central location,10.0,Exceptional,0,1,location|
United Kingdom,Superior Twin Room,2  ,October 2020,Family," The staff were incredibly friendly and helpful, an absolute credit to the company",9.0,Weekend away with my daughter,0,1,staff|
United Kingdom,Studio Double Room with Sofa Bed,2  ,October 2020,Family, Staff were really attentive despite covid restriction,10.0,Exceptional,0,1,staff|covid|
United Kingdom,Superior Twin Room,2  ,October 2020,Family, Clean and helpful friendly staff.,8.0,Very Good,0,1,dirty|staff|
United Kingdom,Executive Double Room,1  ,October 2020,Group, Excellent customer service. Very clean and laid out well,10.0,One night get away,0,1,staff|dirty|
United Kingdom,Executive Twin Room,2  ,October 2020,Couple, Tv lounge in the room a great addition,10.0,Exceptional,0,1,tv|
United Kingdom,Executive Double Room - River View,1  ,October 2020,Family, So we actually stayed in the Westminster one as the riverside hotel is shut and they only told us at check in. But I wasn’t a fan of the check in lady but apart from her all the staff were lovely. Especially Konrad the bar man ( in the restaurant/bar ),7.0,Good,0,1,staff|drink|restaurant|
United Kingdom,Executive Double Room,2  ,October 2020,Couple, Breakfast was really good. Location was perfect lots of activities close by to do.,8.0,Great experience for two nights. Hotel was decent,0,1,food|location|
United Kingdom,Superior Twin Room,1  ,August 2020,Family, Beds comfortable. Good facilities in room. Very central location.,9.0,Wonderful,0,1,bed|comfort|location|
United Kingdom,Studio Double Room with Sofa Bed,1  ,October 2020,Family, Staff very nice and location was excellent,8.0,Very Good,0,1,staff|location|
United Kingdom,Superior Twin Room,1  ,October 2020,Couple, The service was good.They attend to you quickly,10.0,Was good,0,1,staff|
United Kingdom,Superior Double Room,2  ,October 2020,Couple, Everything but breakfast,9.0,Wonderful,0,1,food|
