Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities
Poland,Superior King Room,1  ,January 2020,Couple," Great breakfast, nice swimingpool and sauna🙂
Everything was perfect👍",10.0,Very nice time at this Hotel and place,0,1,food|
Italy,Executive King Room with Iconic View,1  ,February 2021,Group, Very nice and comfortable hotel. Despite the kitchen was closing they prepared a tasty dinner. Good breakfast,9.0,Wonderful,0,1,comfort|bathroom|food|
Bulgaria,Superior King Room with Iconic View,1  ,January 2021,Couple," The staff is extremely friendly, the rooms are clean and cozy, location is great.",9.0,"Nice location, kindly staff",0,1,staff|dirty|comfort|location|
United Kingdom,Executive King Room,1  ,December 2020,Solo traveler," I loved the split level Dutch style room. The room was well equipped and very comfortable.  The swimming pool in the basement is fantastic.  I stay in many Amsterdam hotels, this is my favourite.",8.0,Favourite Hotel in Amsterdam,0,1,comfort|fitness|
Curaçao,Superior King Room with Iconic View,1  ,January 2021,Couple," The property is beautiful, clean and perfectly located. The staff was friendly and helpful.",9.0,"Classy, clean and friendly staff",0,1,dirty|location|staff|
United Kingdom,Executive King Room with Iconic View (3 Adults),4  ,December 2020,Family," We loved the hotel, and the overall feel! It was was great!",9.0,Loved this hotel! Can’t wait to go back!,0,1,
Poland,Superior King Room with Iconic View,1  ,December 2020,Couple," The location, room cleanliness and swimming pool",8.0,Very Good,0,1,location|dirty|fitness|
United Kingdom,Superior Twin Room,3  ,December 2020,Couple, Great location lovely room and brilliant staff.,8.0,Beautiful place and location. Staff were slow to clean the room.,0,1,location|staff|
United Kingdom,Superior King Room,2  ,November 2020,Solo traveler," I asked for a quiet room, which it turned out not to be (rm101), but it was changed and upgraded very efficiently.  Breakfast was good and very efficient, room was very well sanitised.  Room had everything I needed, it was the perfect location for me.",8.0,comfortable and convinient,0,1,noisiness|food|location|
United Kingdom,Executive King Room with Iconic View,2  ,September 2020,Couple, Location & stay,7.0,Good,0,1,location|
Netherlands,Executive King Room,1  ,November 2020,Couple," the hotel is quiet close to the train station, which is really convenient. the staff was really professional, the hotel has the hand sanitizer at the entrance. the hotel looks really clean. 
I was really happy with the room, it had a personalized welcome messaged and rose petals over the bed. in the room we had the hand sanitizer as well. And not to forget, the room is smart room with the device to commend the heating system to closing/opening the curtains.",9.0,perfect stay,0,1,noisiness|staff|dirty|bed|temperature|
Belgium,Superior Twin Room,1  ,October 2020,Solo traveler," Very nice, comfi, beautiful! Pool is super, sauna huge and location great.",8.0,Very Good,0,1,fitness|location|
Australia,Superior King Room,2  ,October 2020,Solo traveler, Very comfortable  room. Tasty breakfast. Central location,8.0,Very comfortable stay in great central location,0,1,comfort|food|location|
Hong Kong,Executive King Room with Iconic View (3 Adults),2  ,October 2020,Family, We enjoyed our stay at Park Plaza - perfect for a city break. The staff were friendly and helpful - Covid has made some things difficult (breakfast buffet for example) but the hotel has found ways to accommodate the distancing rules and yet still provide a friendly service. The room was comfortable and a pleasure to return to each evening.,8.0,Lovely hotel and very well located.,0,1,location|staff|covid|food|comfort|
Netherlands,Superior King Room with Iconic View,1  ,October 2020,Group," Good location, the room had a great view as was promised in the booking. The facilities were good as well.",7.0,Good,0,1,location|
Netherlands,Superior King Room,2  ,August 2020,Couple," The room was in a great location, on the doorstep of central train station and main shopping streets.
The room itself was comfortable unfortunately the air conditioning did stop working during our stay but when it did work was great.
Staff were very friendly and helpful, despite staying during covid times - we still were able to use the swimming facilities under some restrictions.",8.0,Great location and great facilities,0,1,location|comfort|temperature|staff|covid|fitness|
United Kingdom,Superior Twin Room,2  ,October 2020,Group," The room was large and the decor was lovely and modern, breakfast was lovely and the location is magnificent.",9.0,Wonderful,0,1,comfort|food|location|
India,Superior Twin Room,2  ,September 2020,Group, Staff was a disappointment. Rest everything was good,7.0,Average,0,1,staff|
Ireland,Superior King Room,3  ,September 2020,Couple, Great location and staff very helpful and food in Victoria bar was gorgeous,8.0,Very Good,0,1,location|staff|drink|food|restaurant|
Netherlands,Superior King Room,1  ,September 2020,Couple," Ligging, comfortabel",8.0,Very Good,0,1,
Netherlands,Superior King Room,1  ,September 2020,Couple," Clean Room but Small Space , near of everything .",7.0,Near Amsterdam Central Station,0,1,dirty|location|
United Kingdom,Superior King Room,3  ,August 2020,Solo traveler," The hotel is in the best location in the whole of Amsterdam , everything is walking distance and the hotel is in the city centre opposite the station. The rooms are a generous size and breakfast was good. I really enjoyed my stay here and will definitely be returning.",9.6,Great experience,0,1,location|food|
Germany,Superior King Room,1  ,September 2020,Group, The Breakfast was really good inspite of Corona. We were satisfied with everything,8.0,We will come back at the same hotel again,0,1,food|
United Kingdom,Superior King Room,1  ,August 2020,Couple, Location,7.0,Great location nice room,0,1,location|
Switzerland,Superior King Room,1  ,September 2020,Couple," Stylish, clean and conveniently located hotel. Very friendly and helpful staff!",9.0,Wonderful,0,1,dirty|location|staff|
United Kingdom,Superior King Room with Iconic View,3  ,September 2020,Couple," Comfy beds, mini bar.",8.0,Very Good,0,1,comfort|bed|drink|restaurant|
Belgium,Superior King Room,2  ,August 2020,Couple," Great location
Got upgraded and different room after the chrome cast and tv didn’t work after intervention of the technical staff",7.0,Liked the upgrade,0,1,location|tv|staff|
Netherlands,Superior King Room,1  ,September 2020,Couple," Perfect location, close to city center and train station",8.0,Excellent location for tasting Amsterdam,0,1,location|
France,Superior King Room,2  ,August 2020,Couple," The hotel is ideally located in the city centre. Most activities are within walking distances, and the hotel’s facilities are amazing",8.0,Very Good,0,1,location|
Germany,Superior King Room with Iconic View,1  ,September 2020,Group," Strategical position, just a 3-minutes-walk from the Central Train Station. Nice, modernised rooms. Friendly staff!",9.0,Wonderful,0,1,location|staff|
Germany,Superior King Room with Iconic View,7  ,September 2020,Couple," Very helpful concierge staff, good breakfast, good rooms, overall good cleanliness",8.0,Overall a good experience with minor room for improvement,0,1,staff|food|dirty|
Ireland,Superior King Room,1  ,September 2020,Couple, Location is perfect i have stayed here 4 times since christmas .,9.0,Wonderful,0,1,location|
