Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities
Australia,Studio King (Family),3  ,July 2019,Family, Perfect location. Convenient to everywhere.,10.0,Exceptional,0,1,location|
United Kingdom,Superior Double Room - Disability Access,2  ,March 2021,Couple, The view was very nice. The presentation of the breakfast was also very good.,10.0,Overall it’s a very good place with great staff,0,1,location|food|
United Kingdom,Two-Bedroom Suite with Terrace,1  ,February 2021,Family, From start to finish they hotel was happy to help with any problem perfect place to stay and I will stay here every time I need to stay in London,10.0,Exceptional,0,1,location|
United Kingdom,Studio King (Family),1  ,March 2021,Family, The staff were great,10.0,Exceptional,0,1,staff|
United Kingdom,Superior Twin Room with Internal View,1  ,March 2021,Solo traveler, This is a fabulous hotel at the best of times but yesterday I arrived to be told I was VIP guest of the day and was upgraded free to their penthouse suites. It was fantastic and I just wanted to say thank you so much. It was really appreciated. Mike Farrar,10.0,Exceptional,0,1,staff|
United Kingdom,Studio Double Room with Big Ben View,3  ,March 2021,Solo traveler," The staff were pleasant and helpful. It was certainly strange to be staying in lockdown, but they made it as pleasant as it could be. Room service was excellent and the standard of food for room service was particularly good: I had very good meals delivered to my room with drinks each evening. All in all a very good stay, although under strange circumstances. Location also excellent with a taxi rank right outside.",8.0,Good location; pleasant staff; great food and room service.,0,1,staff|noisiness|drink|food|location|
United Kingdom,Superior Double Room - Disability Access,1  ,March 2021,Solo traveler," It’s location, polite staff, easy check in and out and overall ambiance of the place.  Excellent",9.0,Wonderful,0,1,location|staff|
United Kingdom,Superior Double Room with Internal View,2  ,March 2021,Solo traveler," I liked the Park Plaza in Park Royal much better, it is more modern. The shower in the Park Plaza Westminster Bridge is small and uncomfortable and the scary face of the lady, which you see when waking up",8.0,Very Good,0,1,comfort|bathroom|
United Kingdom,Studio Double Room with Big Ben View,1  ,March 2021,Couple," The location was fantastic was up on 12th floor so the view was very nice, bathroom was nice and relaxing aswell.",7.0,Very good stay overall will definitely be back when everything is open,0,1,location|bathroom|
United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Couple, Everything,10.0,Exceptional,0,1,
United Kingdom,Studio Double Room with London Eye View,1  ,January 2021,Couple, Excellent location. Very clean and well presented. Looks exactly as it does in advertised pictures. Met all expectations,9.0,Excellent value for money,0,1,location|dirty|tv|
United Kingdom,Studio King (Family),1  ,February 2021,Family," Food from room service utterly delicious.  Amazing location, all the sights right there in front of you!",10.0,Even the sun came up for our wonderful relaxing family break!,0,1,drink|food|staff|location|
United Kingdom,One-Bedroom Suite with Big Ben View,1  ,February 2021,Couple," The location, bedroom and bathroom were fantastic",8.0,Lovely!,0,1,location|bathroom|
United Kingdom,Studio Double Room with London Eye View,1  ,February 2021,Couple, Loved everything about it! Was a great overnight stay for my hospital appointment opposite in the morning. Will definitely be returning after Covid to get full use of services as it was amazing just the room,10.0,Exceptional,0,1,covid|staff|
United Kingdom,Superior Double Room with Internal View,2  ,February 2021,Couple, I’ve had the pleasure of staying here several times over the last six months. I honestly can’t fault the experience I have had at the Plaza Westminster. It’s the warm welcome and lovely customer service that stands out each time.,10.0,"Always a friendly, reliable, comfortable stay!",0,1,comfort|staff|
United Kingdom,Studio King (Family),1  ,February 2021,Family, Love the staff,10.0,Exceptional,0,1,staff|
United Kingdom,Superior Double Room,1  ,December 2020,Couple," Lovely view, excellent room service, friendly staff.",8.0,Very Good,0,1,location|staff|
United Kingdom,Superior Double Room - Disability Access,2  ,November 2020,Solo traveler, Good location,10.0,Exceptional,0,1,location|
United Kingdom,Studio King (Family),1  ,January 2021,Family, Comfortable,7.0,Great Hotel but unfortunate receptionist,0,1,comfort|
United Kingdom,Studio King (Family),1  ,February 2021,Solo traveler, Excellent stay! I was upgraded to a Big Ben view! And delicious full English breakfast.,10.0,Excellent!,0,1,location|food|
United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Solo traveler, Nice view,9.0,Fantastic view,0,1,location|
United Kingdom,Studio King (Family),1  ,January 2021,Couple," I’ve stayed here several times now, this last stay was a lovely room that overlooked the train station and had the most comfortable bed ever!",10.0,Best bed ever!,0,1,comfort|bed|
United Kingdom,Superior Double Room with Internal View,1  ,January 2021,Solo traveler, Everything,10.0,Exceptional,0,1,
Australia,Superior Double Room with Internal View,1  ,January 2021,Solo traveler," Well presented and decorated. 
Comfortable bed.
Nice room service.
Staff were wonderful.",9.0,Great location and wonderful staff,0,1,comfort|bed|staff|
United Kingdom,Studio King (Family),1  ,February 2021,Solo traveler, What a great stay! Enrico at Reception was as friendly and professional as ever and he upgraded me to a beautiful room on the 11th floor. He even remembered me from my previous stay and the check in process took just over a minute. Very impressed! I had a delicious full English breakfast delivered to my room. An absolute feast!  I even got to watch a few episodes of Columbo. The young man who checked me out was very polite and professional. Fantastic stay!,10.0,Excellent stay - upgraded by Enrico!,0,1,staff|food|
United Kingdom,Studio King (Family),1  ,January 2021,Solo traveler, I had such a great stay. The bed was super  comfortable and I had a very restful sleep. The bathroom was luxurious - so much so that I had two baths during my one day stay. Enrico at Reception was as professional and friendly as ever and upgraded me to a room with a better view. The room service food was delicious. I will certainly be returning.,10.0,One of my favourite hotels!,0,1,bed|comfort|bathroom|price|staff|location|drink|food|
United Kingdom,Superior Double Room with Internal View,3  ,January 2021,Solo traveler," Easy check in - super clean, used the room service for dinner each night, arrived quickly and was lovely - good choice on the menu.  Breakfast served each day was great - first morning the order was wrong, but changed and correct items served within 15 mins.  Only point would have been additional paper cups in the room for coffee each day.",9.0,Great - will definitely be back!,0,1,dirty|staff|food|restaurant|bed|drink|
United Kingdom,Superior Double Room with Internal View,1  ,January 2021,Couple," View, quality of services, professional stuff included receptionist, clean, location, very large room, dinner, and more...
Thank you.",10.0,Fantastic place,0,1,location|staff|dirty|food|
United Kingdom,Studio Double Room with Big Ben View,2  ,January 2021,Couple, Location was great,8.0,Great friendly staff very nice security by the door great all round hotel food was good,0,1,location|
United Kingdom,One-Bedroom Family Suite with Big Ben View,1  ,December 2020,Couple, The view from the room was amazing. Room was clean and comfortable and there was a.lot of space in the dinning area. The breakfast was delicious.,10.0,Exceptional,0,1,location|dirty|comfort|food|
United Kingdom,Studio Double Room with London Eye View,1  ,January 2021,Couple, Location was lovely,9.0,"Very nice views, had issues with tv but sorted in minutes. Very nice staff & very clean.",0,1,location|
United Kingdom,Studio King (Family),1  ,January 2021,Solo traveler, The atmosphere and staff were very friendly,7.0,Good,0,1,staff|
United Kingdom,Studio Double Room with London Eye View,2  ,January 2021,Couple, Fantastic location and great views. Very comfortable and spacious room.,10.0,Fantastic location and great views. Very comfortable and spacious room.,0,1,location|comfort|
United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Couple, Everything,10.0,"Excellent,second stay",0,1,
United Kingdom,Studio King (Family),1  ,January 2021,Solo traveler, I had a superb stay! From the moment I was checked in by the young lad who upgraded me to a suite.  And another young lad with blonde hair who checked me out - I think his name was Lassi (sorry if I got his name wrong). Both were very professional and polite and demonstrated excellent customer service. The room service food was delicious and the waiter who delivered it was both professional and very funny.The bathroom was luxurious and the bed was very comfortable. There was a great view of the Houses of Parliament. Even better I was given a free bar of Toblerone.  One of the best stays I've had in any hotel!,10.0,Amazing stay!,0,1,staff|drink|food|bathroom|price|bed|comfort|location|restaurant|
United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, Nice big room. Nice TVs,10.0,Exceptional,0,1,tv|
United Kingdom,Superior Double Room with Internal View,2  ,December 2020,Couple, Loved everything. Highly recommend.,9.0,Wonderful,0,1,
United Kingdom,Studio King (Family),1  ,December 2020,Family," Cleaning and sanitary measures were great. The bathroom was sparkling clean.
The room was great. 
The view from our room on the fourth floor was superb.
The views from the lobby on the fourth floor were to-die-for.
The Christmas themes in the ground-floor lobby were great for the children.
The location is superb, and several English heritage lessons were within a short walk of the hotel.
Staff were extremely professional and courteous.
The buffet breakfast was a great deal.
We took a short walk from Waterloo station to the hotel.
Westminster tube station was nearby.
We checked-in before noon.",8.0,A wonderful place to stay,0,1,dirty|bathroom|location|staff|food|
United Kingdom,Studio King (Family),1  ,December 2020,Family," Very cosy. Manager Chris was amazing helped us change rooms so our baby was more comfortable and we had an even better view! Really good customer service, safe guidelines in place due to Covid and could order room service at no extra cost! Amazing and perfect for a lazy couple or family with kids who want to chill in the room. So close to London landmarks too. Definitely be returning !",10.0,Exceptional,0,1,comfort|location|staff|covid|
United Kingdom,Studio King (Family),1  ,December 2020,Family, The staff were amazing,9.0,Great staff great facilities,0,1,staff|
United Kingdom,Studio Double Room with London Eye View,2  ,December 2020,Couple, The room was smaller than I imagined,10.0,Exceptional,0,1,
United Kingdom,Studio King (Family),2  ,January 2021,Family, Clean and comfortable,10.0,The staff was friendly and kind,0,1,dirty|comfort|
United Kingdom,Superior Double Room with Internal View,2  ,October 2020,Couple," Stayed in the property just before the lockdown in October, and it was amazing. Would 100% stay here again, and it will be my go to when I'm London!!",10.0,Absolutely amazing!!,0,1,
United Kingdom,Superior Double Room with Internal View,1  ,January 2021,Solo traveler, The view,10.0,It was excellent I will go again for sure,0,1,location|
United Kingdom,Studio King (Family),12  ,January 2021,Solo traveler, The calmness,8.0,My stay what brief and lovely,0,1,
United Kingdom,Studio King (Family),2  ,November 2020,Family, Great location,8.0,Very Good,0,1,location|
United Kingdom,Studio King (Family),2  ,December 2020,Family, Perfect for a family trip,8.0,Very Good,0,1,
