Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities
Switzerland,Twin Room,1  ,July 2020,Solo traveler, Uniquely designed rooms. Excellent breakfast,10.0,Exceptional,1,food/drink|
Poland,Twin Room,2  ,February 2021,Solo traveler," - Very good location.
- Nice, clean rooms, a bath tube in the bathroom (if you like that).
- Polite staff.
- Comfy beds.
- Good WiFi.
- Smoking cabin inside the hotel so no smokers next to the entrance.",8.0,Good hotel in a great location!,1,location|dirty|bathroom|staff|comfort|bed|internet|
Poland,Double Room,1  ,December 2020,Couple, Beds are extremely comfortable and the view of the city from room is gorgeous. Worthy,10.0,Perfect view and super comfy bed!,1,bed|comfort|location|
Poland,Twin Room,1  ,November 2020,Solo traveler," Very kind and proffesional persone;. I could only tell  that I booked it for one night, when I realized that I need to stay in Wrocław for additional overnight my first choice was HP  Park Plaza",9.0,I will be back here.,1,
Ireland,Double Room,3  ,November 2020,Couple, The Hotel is in perfect location. Lovely view and great price for the stay 3 nights. Thank you very much for over all. See you next time...,10.0,Exceptional,1,location|price|
Netherlands,Double Room Plus River View,3  ,October 2020,Couple, The front desk clerk and the staff in general were simply amazing.,10.0,Exceptional,1,staff|
Turkey,Double Room,2  ,October 2020,Couple, Room was super clean and disinfected everyday. Bed was extremely comfortable nice river view. Everything was great highly recommended,10.0,Exceptional,1,dirty|bed|comfort|location|
Poland,Double Room,1  ,July 2020,Group," good location, great stay",9.0,Wonderful,1,location|
Netherlands,Double Room Plus River View,1  ,September 2020,Couple, How the room looks like and the view,10.0,Exceptional,1,location|
United Kingdom,Double Room,4  ,September 2020,Solo traveler," A very nice hotel 
Very comfortable 
Formal business like 
Good service",8.0,Very comfortable,1,comfort|staff|
Poland,Double Room,1  ,September 2020,Couple," Location, cleanliness , comfort and breakfast. Friendliness of staff",10.0,Comfy hotel in the heart of Wroclaw,1,location|dirty|comfort|food/drink|staff|
United Kingdom,Double Room,6  ,July 2020,Family, Great location in the city.  Nice rooms.  Good food.  There’s a large playground for children just over the bridge.,8.0,Mostly good,1,location|food/drink|fitness|
Czech Republic,Single Room,1  ,August 2020,Solo traveler," Perfect stay, very comfortable.",9.0,Wonderful,1,comfort|
United Kingdom,Double Room,1  ,September 2020,Family, Quietness!!!! Lovely views. Responsive and kind staff.,8.0,Will come back again,1,location|staff|
Poland,Double Room,2  ,August 2020,Couple," Location - super
Easy to find
Comfortable.",9.0,A great place for a visit to Wrocław.,1,location|comfort|
