Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities
Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,comfort
Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,bed
Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,staff
Isle of Man,Standard Room,1,June 2019,Couple," Great sized room, big comfy bed. Very helpful staff and so friendly. Brill location, which gave us extra time to relax before going for a flight.",10.0,Loved our short stay and would highly recommend and will return again.,1,location
Ireland,Standard Room,1,March 2021,Family, Room with the view of the runway,10.0,Fantastic hotel ... loved the closed walkway to the airport as it was raining in the morning,1,location
Ireland,Standard Room,1,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",9.0,Wonderful,1,staff
Ireland,Standard Room,1,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",9.0,Wonderful,1,dirty
Ireland,Standard Room,1,March 2021,Couple," Loved the room, fast room service and prompt responses 
Cleanliness and Hygiene - 100% 
Over all - amazing stay 
Was staying over to catch an early morning flight, love the connection from the hotel to manchester airport",9.0,Wonderful,1,location
United Kingdom,Standard Room,1,March 2021,Couple, Comfortable and great location,9.0,Wonderful,1,comfort
United Kingdom,Standard Room,1,March 2021,Couple, Comfortable and great location,9.0,Wonderful,1,location
United Kingdom,Superior Room with Runway View,1,March 2021,Couple, room was lovely and clean,8.0,was ok served a purpose,1,dirty
United Kingdom,Standard Room,1,March 2021,Couple, The location is excellent and the room and Bed were amazing. Also excellent staff on reception,10.0,Faultless. Couldn't have expected more,1,location
United Kingdom,Standard Room,1,March 2021,Couple, The location is excellent and the room and Bed were amazing. Also excellent staff on reception,10.0,Faultless. Couldn't have expected more,1,bed
United Kingdom,Standard Room,1,March 2021,Couple, The location is excellent and the room and Bed were amazing. Also excellent staff on reception,10.0,Faultless. Couldn't have expected more,1,staff
United Kingdom,Standard Room,1,March 2021,Family," After a stressful change of flight to the next morning, got booked in at Raddison Blue, just what was needed, staff so considerate and helpful. Location great easy access to T1",10.0,Exceptional,1,staff
United Kingdom,Standard Room,1,March 2021,Family," After a stressful change of flight to the next morning, got booked in at Raddison Blue, just what was needed, staff so considerate and helpful. Location great easy access to T1",10.0,Exceptional,1,location
United Kingdom,Standard Room,3,March 2021,Solo traveler," The location is fantastic when flying. I arrived by train and needed a PCR test before flying. All very easy to access from this hotel. 
Some staff very pleasant others rather cool and unwelcoming.",8.0,Great location,1,location
United Kingdom,Standard Room,3,March 2021,Solo traveler," The location is fantastic when flying. I arrived by train and needed a PCR test before flying. All very easy to access from this hotel. 
Some staff very pleasant others rather cool and unwelcoming.",8.0,Great location,1,staff
