Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,staff,location,food/drink,dirty,bed,comfort,price,bathroom,parking,restaurant,noisiness,tv,internet,fitness,covid,temperature
France,Standard Double or Twin Room,1,November 2019,Couple," The staff is really smily, friendly and professional. The check-in and welcoming was really nice.",10.0,All good,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2021,Solo traveler, Excellent service from the reception desk. Arranged taxi for me and later checkout.,8.0,Very hospitable hotel. Well located! Excellent service. Very friendly staff.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,1,December 2020,Couple, Comfortable room and bed a bit basic for the money. No milk or biscuits! Expected s bit more Luxe,8.0,Enjoyable stay for our purpose but expected a little.more luxe factor,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
United Kingdom,Superior Single Room,1,October 2020,Solo traveler, the bed and toilet,9.0,It is my faviorte hotel,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Botswana,Single Room,4,October 2020,Solo traveler," The place was amazing, multi cultural and really really good",9.0,Wonderful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,October 2020,Couple, Central,9.0,Wonderful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Single Room,6,September 2020,Solo traveler," Very nice and helpful staff, very respectful of COVID 19- hygiene’s requirements.",8.0,Very Good,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
United Kingdom,Standard Double or Twin Room,2,March 2020,Couple," Fabulous breakfast, comfy bed and pillows.",8.0,Confortable and convenient with excellent breakfast.,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Belgium,Superior Single Room,2,March 2020,Family, Staff was really very kind,9.0,Good value for money,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Central location was ideal. The room was amazing.,8.8,Excellent,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Premium Triple Room,2,March 2020,Family," The staff, the location",8.0,Right next to the station,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Location suited us for a leisure weekend with a visit to Mere restaurant-which was excellent.  Steak and Lobster restaurant within the hotel was excellent for an evening meal.,7.9,Good,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,March 2020,Couple, Location,7.5,Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Good location, really close to Everything.
Good surrounding shops.",9.6,Jay,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,March 2020,Group," Breakfast excellent Coffee little on strong side. Radison Staff helpful and polite. Hotel very nice and Clean.
Would stay at Radison Again No Problem
London itself to much litter and very dirty in around bars ,tube station areas etc Compared with Rome , Paris and other cities very dirty etc.",8.0,Very Good,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Portugal,Standard Double or Twin Room,2,March 2020,Couple, Accessibility to public transports.,7.1,Good,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,1,February 2020,Family, Upgraded to a suite.  Very clean and polite staff,9.0,Home from Home,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Cleanliness
Staff
Comfortable",8.0,Very Good,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,1,February 2020,Couple," Location perfect for UCLH. Easy to get to by car and availability of off-site secure parking. Reception process very easy and efficient. Breakfast was fantastic again. Concierge, Edgar was outstanding",8.0,Functional and convenient,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Couple, Very nice room and good location,9.2,Wonderful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, It was central to everything we were doing which was good. Facilities and cleanliness were great also,7.5,Good,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Family, Breakfast selection very good,9.0,"Nice , comfortable rooms",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Couple," Good location for west end, reasonable pricing, decent room for the cost/location. Good staff, valet parking",7.9,Good city break venue,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Solo traveler, Comfort,8.0,Great,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,2,February 2020,Couple," Good location, not far from train station and close to underground,",9.0,Wonderful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Superior Single Room,1,February 2020,Solo traveler," Easy check in, small but comfortable single room. The bed was amazing! Good variety of healthy foods at breakfast.",9.0,Very comfortable room,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
Netherlands,Standard Double or Twin Room,2,February 2020,Couple, Clean,7.5,Good,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Israel,Superior Single Room,1,January 2020,Solo traveler," I love this place, and return several times a year. The breakfast is amazing",8.0,Fabulously great!,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Superior Single Room,2,January 2020,Solo traveler," Fantastic location right by Warren Street tube station, perfect for my journey to and from Kings Cross station and also for exploring central London. Fabulous breakfast and communal areas.",7.0,"Great location, breakfast and communal areas but poorly designed and tiny bedroom.",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,1,December 2019,Couple," Convenient location, room was OK. Room was clean and tidy. Staff friendly and helpful.",8.0,Very Good,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,1,February 2020,Couple," Clean rooms, friendly and accommodating staff. Massive comfy bed. Plenty of plug sockets.",9.6,Exceptional,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,January 2020,Solo traveler, The room was very comfortable and the location was excellent.,7.0,Good,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Bed very comfortable,8.0,Very Good,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Clean and comfortable room.
Nice and quiet - location of room meant minimal noise from outside. 
Excellent location very close to tube station. 
Staff very helpful and friendly.",8.0,Very Good,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Netherlands,Standard Double or Twin Room,2,January 2020,Family," Perfect location, excellent for connecting to different parts of London. Great breakfast, with a few à la carte options. Smallish room but okay for London standards, cleanliness was decent.",9.0,"Slightly pricy but comfortable stay. Excellent location, breakfast and friendly service.",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Family, We really enjoyed the breakfast. It had a great variety of good quality things for us to have.  Very pleasant and helpful staff. Plus our really comfy bed for a good nights sleep.,9.0,"We though the hotel was a really good choice, easy to get to places and would stay again.",1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
United Kingdom,Single Room,1,January 2020,Group, Location,9.0,Great location and very good value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,3,January 2020,Couple, Location was ideal for meetings and also for Art Gallery and Theatres,8.0,Would use again,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Family," Very central location, spacious rooms. Super friendly staff.",9.2,Wonderful,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Couple, Breakfast excellent but no fried eggs as is common these days. Location superb. Excellent room and enough chairs,9.0,Very enjoyable but a bit too expensove,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Standard Double or Twin Room,2,January 2020,Group," Enjoyed my stay at Radisson Blu for its location, ambience, comfortable and clean room with modern clean bathroom, and superb breakfast. 
I would like to commend the staff Kayla for so kindly changing my room to one that has stairs-free access. Prior to my arrival, I chose my room on the hotel website and did not realise that there is a short flight of steps in that section. Thanks to Kayla's thoughtfulness, I was spared the trouble and hassle as we had two big luggage. In addition, she made an extra effort to check if the room was ready. I was very glad I decided to approach her to check on our room for the second time. 
Her colleague , Mr Cheok, who had checked us in 10 minutes earlier , on the other hand simply told us that the room was not ready and we could leave luggage here and return at 3 pm. He did not take the initiative to do more than necessary. Neither did he advise that the room I had booked had to be accessed via some steps. It was not a welcoming checkin.",9.0,Great stay,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Excellent central location, pleasant decor, small and compact but very clean and comfortable rooms, friendly and efficient staff. Would stay again!",8.0,An excellently placed hotel with great staff,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Location was brilliant,9.0,Wonderful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Room,1,February 2020,Couple," Room large and comfortable - loved the option to check in online and choose our own room. We were lucky that our room was available super early!
Great location - literally right next to Warren Street tube station, great connectivity. Handy to have shops nearby. Walked to the theatre for a show easily.
Staff were amazing, received an upgrade to get breakfast - thank you!
Great bathroom with robes and slippers in the room.",9.0,Great hotel for a theatre and city break,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0
United Kingdom,Standard Double or Twin Room,1,February 2020,Couple, Public area and staff very welcoming. Good size room for London and the price was reasonable.,9.0,"Great location, reasonably priced room and very nice staff.",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Indonesia,Standard Double or Twin Room,2,February 2020,Couple," Location is great, rooms are clean and spacious, toiletries provided are great and breakfast was good.",7.5,Good,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Superior Single Room,3,January 2020,Solo traveler, The staff are amazing and very friendly... location is very central ... lots of shops cafes and restaurants near by,9.0,Beautiful hotel,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United Kingdom,Superior Single Room,1,January 2020,Solo traveler, Friendly reception team. Comfortable and very clean. Delicious breakfast.,8.8,Great hotel,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Couple, I came for New Years celebrations with my partner now my fiancé and The staff were very helpful from the minute we walked in they couldn’t do enough to make our stay feel amazing,9.0,Superb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Premium Triple Room,1,January 2020,Family, Bar open until midnight,9.0,"Statyed her before, will stay here again",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United Kingdom,Single Room,1,January 2020,Solo traveler, Room service meal and breakfast excellent,7.0,Very comfortable and quiet room but very small and decor tired. Seemed expensive for size of room al,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,2,January 2020,Solo traveler," Quite a large room, with comfortable and large bed, nicely laid out and good lighting, not this silly mood lighting that means you can't see half the room! Location good - it is at the end of Tottenham Court Road, so accessibility to central London is fine, and next door to the tube station. The staff in reception were delightful.",8.0,Good position and good bed,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Couple, Great location close to Euston Station. Very nice well equipped bathroom. Friendly staff.,9.6,Exceptional,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United Kingdom,Standard Double or Twin Room,1,January 2020,Couple," The whole hotel was amazing, the staff very kind, room was great with a really comfy bed. Excellent location. All in all great value for money.",9.0,Vvvveery enjoyable night.,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
