,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,0
1,Romania,Superior Double Room,3  ,September 2019,Solo traveler," Great location (close to Victoria station), excellent breakfast and dinner (Tozi restaurant). Clean, large rooms, friendly and helpful staff.",10.0,Good value for money,0,1,location|food|restaurant|dirty|staff|,1
2,United Kingdom,Superior Double Room,4  ,February 2021,Group, Felt that the hotel was clean and only residents could access the building as the doors were locked. The staff were friendly and helpful.,10.0,Exceptional,0,1,dirty|staff|,0
3,United Kingdom,Superior Double Room,1  ,January 2021,Solo traveler, Staff on reception very friendly and helpful. I needed extra time in the room for work reasons and they provided this.,9.0,Good quality. I will use the hotel again.,0,1,staff|,0
4,Saudi Arabia,One Bedroom Apartment,10  ,December 2020,Family, every thing was amazing staff rooms place. ..thank you alot alot alot for all staff from my hart i will not forget all.....,10.0,big and millions thank you for all staff there,0,1,staff|location|,0
5,United Kingdom,Superior Double Room,1  ,January 2021,Couple," Lovely stay, exceptional staff",10.0,Exceptional,0,1,staff|,1
6,United States of America,Executive Double Room,1  ,September 2020,Couple, Staff can’t help enough.  Fabulous.,8.0,Never a bad stay here.,0,1,staff|,0
7,Switzerland,Executive Double Room,2  ,December 2020,Solo traveler," Clean, well maintained",8.0,Very Good,0,1,dirty|,0
8,United Kingdom,Superior Double Room,2  ,December 2020,Couple," In a strange time the hotel was pretty good, a great location but the room service breakfast was apparently",7.5,Good,0,1,location|staff|food|,0
9,United Kingdom,Executive King Room with Sofa Bed,1  ,December 2020,Family," Lovely, helpful and professional staff, particularly Emiliana ❤️ nice and clean room, felt very safe, comfy beds just perfect!",9.0,Beyond and above,0,1,staff|dirty|comfort|bed|,1
10,United Kingdom,Executive Studio (3 Adults),2  ,December 2020,Couple, Great location and friendly staff,10.0,Exceptional,0,1,location|staff|,0
11,United Kingdom,Superior Twin Room,1  ,December 2020,Family," So many food choices 
Brilliant staff 
They even collected and held a cake for me!",8.0,Very Good,0,1,drink|food|staff|location|,0
