,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,1
1,Australia,Studio King (Family),3  ,July 2019,Family, Perfect location. Convenient to everywhere.,10.0,Exceptional,0,1,location|,1
2,United Kingdom,Superior Double Room - Disability Access,2  ,March 2021,Couple, The view was very nice. The presentation of the breakfast was also very good.,10.0,Overall it’s a very good place with great staff,0,1,location|food|,1
3,United Kingdom,Two-Bedroom Suite with Terrace,1  ,February 2021,Family, From start to finish they hotel was happy to help with any problem perfect place to stay and I will stay here every time I need to stay in London,10.0,Exceptional,0,1,location|,1
4,United Kingdom,Studio King (Family),1  ,March 2021,Family, The staff were great,10.0,Exceptional,0,1,staff|,1
5,United Kingdom,Superior Twin Room with Internal View,1  ,March 2021,Solo traveler, This is a fabulous hotel at the best of times but yesterday I arrived to be told I was VIP guest of the day and was upgraded free to their penthouse suites. It was fantastic and I just wanted to say thank you so much. It was really appreciated. Mike Farrar,10.0,Exceptional,0,1,staff|,1
6,United Kingdom,Studio Double Room with Big Ben View,3  ,March 2021,Solo traveler," The staff were pleasant and helpful. It was certainly strange to be staying in lockdown, but they made it as pleasant as it could be. Room service was excellent and the standard of food for room service was particularly good: I had very good meals delivered to my room with drinks each evening. All in all a very good stay, although under strange circumstances. Location also excellent with a taxi rank right outside.",8.0,Good location; pleasant staff; great food and room service.,0,1,staff|noisiness|drink|food|location|,1
7,United Kingdom,Superior Double Room - Disability Access,1  ,March 2021,Solo traveler," It’s location, polite staff, easy check in and out and overall ambiance of the place.  Excellent",9.0,Wonderful,0,1,location|staff|,1
8,United Kingdom,Superior Double Room with Internal View,2  ,March 2021,Solo traveler," I liked the Park Plaza in Park Royal much better, it is more modern. The shower in the Park Plaza Westminster Bridge is small and uncomfortable and the scary face of the lady, which you see when waking up",8.0,Very Good,0,1,comfort|bathroom|,0
9,United Kingdom,Studio Double Room with Big Ben View,1  ,March 2021,Couple," The location was fantastic was up on 12th floor so the view was very nice, bathroom was nice and relaxing aswell.",7.0,Very good stay overall will definitely be back when everything is open,0,1,location|bathroom|,0
10,United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Couple, Everything,10.0,Exceptional,0,1,,1
11,United Kingdom,Studio Double Room with London Eye View,1  ,January 2021,Couple, Excellent location. Very clean and well presented. Looks exactly as it does in advertised pictures. Met all expectations,9.0,Excellent value for money,0,1,location|dirty|tv|,1
12,United Kingdom,Studio King (Family),1  ,February 2021,Family," Food from room service utterly delicious.  Amazing location, all the sights right there in front of you!",10.0,Even the sun came up for our wonderful relaxing family break!,0,1,drink|food|staff|location|,1
13,United Kingdom,One-Bedroom Suite with Big Ben View,1  ,February 2021,Couple," The location, bedroom and bathroom were fantastic",8.0,Lovely!,0,1,location|bathroom|,1
14,United Kingdom,Studio Double Room with London Eye View,1  ,February 2021,Couple, Loved everything about it! Was a great overnight stay for my hospital appointment opposite in the morning. Will definitely be returning after Covid to get full use of services as it was amazing just the room,10.0,Exceptional,0,1,covid|staff|,0
15,United Kingdom,Superior Double Room with Internal View,2  ,February 2021,Couple, I’ve had the pleasure of staying here several times over the last six months. I honestly can’t fault the experience I have had at the Plaza Westminster. It’s the warm welcome and lovely customer service that stands out each time.,10.0,"Always a friendly, reliable, comfortable stay!",0,1,comfort|staff|,1
16,United Kingdom,Studio King (Family),1  ,February 2021,Family, Love the staff,10.0,Exceptional,0,1,staff|,1
17,United Kingdom,Superior Double Room,1  ,December 2020,Couple," Lovely view, excellent room service, friendly staff.",8.0,Very Good,0,1,location|staff|,0
18,United Kingdom,Superior Double Room - Disability Access,2  ,November 2020,Solo traveler, Good location,10.0,Exceptional,0,1,location|,1
19,United Kingdom,Studio King (Family),1  ,January 2021,Family, Comfortable,7.0,Great Hotel but unfortunate receptionist,0,1,comfort|,1
20,United Kingdom,Studio King (Family),1  ,February 2021,Solo traveler, Excellent stay! I was upgraded to a Big Ben view! And delicious full English breakfast.,10.0,Excellent!,0,1,location|food|,1
21,United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Solo traveler, Nice view,9.0,Fantastic view,0,1,location|,1
22,United Kingdom,Studio King (Family),1  ,January 2021,Couple," I’ve stayed here several times now, this last stay was a lovely room that overlooked the train station and had the most comfortable bed ever!",10.0,Best bed ever!,0,1,comfort|bed|,1
23,United Kingdom,Superior Double Room with Internal View,1  ,January 2021,Solo traveler, Everything,10.0,Exceptional,0,1,,1
24,Australia,Superior Double Room with Internal View,1  ,January 2021,Solo traveler," Well presented and decorated. 
Comfortable bed.
Nice room service.
Staff were wonderful.",9.0,Great location and wonderful staff,0,1,comfort|bed|staff|,0
25,United Kingdom,Studio King (Family),1  ,February 2021,Solo traveler, What a great stay! Enrico at Reception was as friendly and professional as ever and he upgraded me to a beautiful room on the 11th floor. He even remembered me from my previous stay and the check in process took just over a minute. Very impressed! I had a delicious full English breakfast delivered to my room. An absolute feast!  I even got to watch a few episodes of Columbo. The young man who checked me out was very polite and professional. Fantastic stay!,10.0,Excellent stay - upgraded by Enrico!,0,1,staff|food|,1
26,United Kingdom,Studio King (Family),1  ,January 2021,Solo traveler, I had such a great stay. The bed was super  comfortable and I had a very restful sleep. The bathroom was luxurious - so much so that I had two baths during my one day stay. Enrico at Reception was as professional and friendly as ever and upgraded me to a room with a better view. The room service food was delicious. I will certainly be returning.,10.0,One of my favourite hotels!,0,1,bed|comfort|bathroom|price|staff|location|drink|food|,1
27,United Kingdom,Superior Double Room with Internal View,3  ,January 2021,Solo traveler," Easy check in - super clean, used the room service for dinner each night, arrived quickly and was lovely - good choice on the menu.  Breakfast served each day was great - first morning the order was wrong, but changed and correct items served within 15 mins.  Only point would have been additional paper cups in the room for coffee each day.",9.0,Great - will definitely be back!,0,1,dirty|staff|food|restaurant|bed|drink|,1
28,United Kingdom,Superior Double Room with Internal View,1  ,January 2021,Couple," View, quality of services, professional stuff included receptionist, clean, location, very large room, dinner, and more...
Thank you.",10.0,Fantastic place,0,1,location|staff|dirty|food|,1
29,United Kingdom,Studio Double Room with Big Ben View,2  ,January 2021,Couple, Location was great,8.0,Great friendly staff very nice security by the door great all round hotel food was good,0,1,location|,1
30,United Kingdom,One-Bedroom Family Suite with Big Ben View,1  ,December 2020,Couple, The view from the room was amazing. Room was clean and comfortable and there was a.lot of space in the dinning area. The breakfast was delicious.,10.0,Exceptional,0,1,location|dirty|comfort|food|,1
31,United Kingdom,Studio Double Room with London Eye View,1  ,January 2021,Couple, Location was lovely,9.0,"Very nice views, had issues with tv but sorted in minutes. Very nice staff & very clean.",0,1,location|,1
32,United Kingdom,Studio King (Family),1  ,January 2021,Solo traveler, The atmosphere and staff were very friendly,7.0,Good,0,1,staff|,1
33,United Kingdom,Studio Double Room with London Eye View,2  ,January 2021,Couple, Fantastic location and great views. Very comfortable and spacious room.,10.0,Fantastic location and great views. Very comfortable and spacious room.,0,1,location|comfort|,1
34,United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Couple, Everything,10.0,"Excellent,second stay",0,1,,1
35,United Kingdom,Studio King (Family),1  ,January 2021,Solo traveler, I had a superb stay! From the moment I was checked in by the young lad who upgraded me to a suite.  And another young lad with blonde hair who checked me out - I think his name was Lassi (sorry if I got his name wrong). Both were very professional and polite and demonstrated excellent customer service. The room service food was delicious and the waiter who delivered it was both professional and very funny.The bathroom was luxurious and the bed was very comfortable. There was a great view of the Houses of Parliament. Even better I was given a free bar of Toblerone.  One of the best stays I've had in any hotel!,10.0,Amazing stay!,0,1,staff|drink|food|bathroom|price|bed|comfort|location|restaurant|,1
36,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, Nice big room. Nice TVs,10.0,Exceptional,0,1,tv|,0
37,United Kingdom,Superior Double Room with Internal View,2  ,December 2020,Couple, Loved everything. Highly recommend.,9.0,Wonderful,0,1,,0
38,United Kingdom,Studio King (Family),1  ,December 2020,Family," Cleaning and sanitary measures were great. The bathroom was sparkling clean.
The room was great. 
The view from our room on the fourth floor was superb.
The views from the lobby on the fourth floor were to-die-for.
The Christmas themes in the ground-floor lobby were great for the children.
The location is superb, and several English heritage lessons were within a short walk of the hotel.
Staff were extremely professional and courteous.
The buffet breakfast was a great deal.
We took a short walk from Waterloo station to the hotel.
Westminster tube station was nearby.
We checked-in before noon.",8.0,A wonderful place to stay,0,1,dirty|bathroom|location|staff|food|,1
39,United Kingdom,Studio King (Family),1  ,December 2020,Family," Very cosy. Manager Chris was amazing helped us change rooms so our baby was more comfortable and we had an even better view! Really good customer service, safe guidelines in place due to Covid and could order room service at no extra cost! Amazing and perfect for a lazy couple or family with kids who want to chill in the room. So close to London landmarks too. Definitely be returning !",10.0,Exceptional,0,1,comfort|location|staff|covid|,0
40,United Kingdom,Studio King (Family),1  ,December 2020,Family, The staff were amazing,9.0,Great staff great facilities,0,1,staff|,1
41,United Kingdom,Studio Double Room with London Eye View,2  ,December 2020,Couple, The room was smaller than I imagined,10.0,Exceptional,0,1,,1
42,United Kingdom,Studio King (Family),2  ,January 2021,Family, Clean and comfortable,10.0,The staff was friendly and kind,0,1,dirty|comfort|,1
43,United Kingdom,Superior Double Room with Internal View,2  ,October 2020,Couple," Stayed in the property just before the lockdown in October, and it was amazing. Would 100% stay here again, and it will be my go to when I'm London!!",10.0,Absolutely amazing!!,0,1,,1
44,United Kingdom,Superior Double Room with Internal View,1  ,January 2021,Solo traveler, The view,10.0,It was excellent I will go again for sure,0,1,location|,1
45,United Kingdom,Studio King (Family),12  ,January 2021,Solo traveler, The calmness,8.0,My stay what brief and lovely,0,1,,1
46,United Kingdom,Studio King (Family),2  ,November 2020,Family, Great location,8.0,Very Good,0,1,location|,1
47,United Kingdom,Studio King (Family),2  ,December 2020,Family, Perfect for a family trip,8.0,Very Good,0,1,,1
48,United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Couple," It wasn’t our first stay at Westminster Plaza, and as usual staff were attentive and amazing, despite the situation regarding Covid. From security and Reception was faultless. 
My husband had breakfast and it was really good, I can only thank everyone at the Westminster Plaza. Looking forward to my next stay there.",10.0,Amazing stay,0,1,staff|covid|food|,1
49,United Kingdom,Superior Double Room with Internal View,2  ,January 2021,Couple, The reception were superb in promptly responding to our request.,9.0,Great Covid compliance and great staff!,0,1,staff|,0
50,United Kingdom,Studio King (Family),1  ,December 2020,Family, We asked if possible to have a room with a view of Big Ben as my 5yr old is London mad! Room was amazing and the view definitely had the wow factor. Thank you,10.0,Exceptional,0,1,location|,1
51,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple," The hotel was in a beautiful location and the staff was nice and helpful. I loved loved staying on the hotel, even that it was on Covid times.",10.0,"Beautiful view, helpful staff",0,1,location|staff|covid|,1
52,United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Couple, Beautiful,9.0,Amazing,0,1,,1
53,United Kingdom,Superior Double Room,1  ,December 2020,Couple, Location was fantastic. Staff friendly. Breakfast was delicious. Rooms were clean and tidy and very spacious.,9.0,Fabulous night away. Beautiful hotel,0,1,location|staff|food|dirty|,1
54,United Kingdom,Studio King (Family),2  ,December 2020,Solo traveler, Excellent stay! Beautiful room. The bath was great. One of my favourite hotels.,10.0,Excellent stay!,0,1,bathroom|,0
55,United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Couple, Everything!!! Really really lovely hotel we will be back great service everything was brilliant,8.0,Brilliant,0,1,staff|,1
56,United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Couple," The food was lovely, the staff were great and the view was amazing",9.0,Wonderful,0,1,drink|food|staff|location|,1
57,United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Family, Great location,10.0,Staff were amazing,0,1,location|,1
58,United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Group," Stunning view, very clean and professional, very accommodating!",10.0,Beautiful:),0,1,location|dirty|,1
59,United Kingdom,Superior Twin Room with Internal View,3  ,December 2020,Group, Lights room bathroom view location comfort,9.0,Wonderful,0,1,bathroom|location|comfort|,1
60,United Kingdom,Studio King (Family),3  ,November 2020,Family," Location, facilities, service",9.0,Wonderful,0,1,location|staff|,1
61,United Kingdom,Superior Double Room with Internal View,3  ,December 2020,Solo traveler," Clean, comfortable, staff absolutely wonderful! Room service excellent.",10.0,Excellent,0,1,dirty|comfort|staff|,0
62,Greece,Studio Double Room with Big Ben View,2  ,December 2020,Family," Location, rooms
The guy at the reception called Ben",8.0,Very Good,0,1,location|staff|,1
63,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple," The fact that our receptionist ubrgarded our stay, she was very attentive and  made our stay more memorable. Thank you and surely we will return.",10.0,Super service,0,1,,1
64,United Kingdom,Studio King (Family),1  ,December 2020,Couple," Convenient location, friendly staff, clean and comfortable room.",10.0,Returning guest,0,1,location|staff|dirty|comfort|,0
65,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, The juice which I ordered was not met with my expectations.,9.0,It was wonderful experience in staying there.,0,1,,1
66,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Solo traveler, Everything,10.0,Very Good,0,1,,1
67,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Family, English breakfast,10.0,So fantastic,0,1,food|,1
68,United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Couple, Cheerful staff made us feel welcome. The hotel was well organised in the circumstances and staff were helpful.,9.0,Wonderful,0,1,staff|,1
69,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Family," The security deposit wasn’t made clear before booking. Had to call people in reception and beg them to lend me some extra money, which meant I couldn’t afford diner for us both!  Travelled here with my 5 year old who was having surgery the next day,",7.0,Was alright but could have been better.,0,1,staff|price|,1
70,United Kingdom,Studio King (Family),2  ,December 2020,Family, Location was excellent and breakfast very good,9.0,I really enjoyed the location and it was a good break,0,1,location|food|,1
71,United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Family, Great Location with an excellent breakfast,10.0,Exceptional,0,1,location|food|,1
72,United Kingdom,One-Bedroom Suite,1  ,December 2020,Group, The location is good.,9.0,I spent my birthday here with two of my friends. We stayed in the one bedroom Suite with terrace. The place was very ver,0,1,location|,1
73,Australia,Superior Double Room,2  ,December 2020,Couple, Location is perfect. Loved the room and it’s view.,10.0,Exceptional,0,1,location|,0
74,United Kingdom,Studio Double Room with Big Ben View,3  ,December 2020,Couple, Amazing location and very clean.,10.0,"Excellent location, lovely hotel and staff, would definitely recommend.",0,1,location|dirty|,1
75,United Kingdom,Studio King (Family),3  ,December 2020,Solo traveler," This is an outstanding hotel.  I have stayed in many, many hotels around the world for both business and leisure purposes, however, this is my absolute favourite.  It is exceptionally well-run.  The staff are always professional, polite, attentive and caring.  Nothing is ever too much trouble and there is always somebody available to help or attend to any issue, no matter how small or large the problem.  I cannot recommend this hotel highly enough.",10.0,Exceptional,0,1,staff|,0
76,United Kingdom,Superior Double Room with Internal View,2  ,December 2020,Couple, The room service food was scrumptious. Was shocked by how good it tasted,8.0,Very Good,0,1,staff|drink|food|,1
77,United Kingdom,Studio King (Family),2  ,December 2020,Couple, Clean,8.0,Nice,0,1,dirty|,1
78,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Solo traveler, The breakfast cleaning the inner room decoration and comfortable bed,10.0,Exceptional,0,1,food|dirty|comfort|bed|,0
79,United Kingdom,Studio Double Room with London Eye View,2  ,December 2020,Solo traveler, Great location. Staff were very friendly and everything felt covid safe.,8.0,Very Good,0,1,location|staff|covid|,1
80,United Kingdom,Studio King (Family),1  ,December 2020,Family," locationtion
Comfortable bed
dark room",7.0,Great hotel. Irritating service.,0,1,comfort|bed|,0
81,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Family, Everything was excellent just food we couldn’t order because no one answered the phone in reception or kitchen.,8.0,Love it,0,1,drink|food|staff|bathroom|,1
82,United Kingdom,Studio Double Room with Big Ben View,2  ,December 2020,Group," The hotel has an iconic and centralised location. Our studio room had the fantastic view of Westminster Bridge and the Big Ben. The staff was very accommodative and helpful, we didn’t have sleepers in both of our rooms so just gave them a call and they brought us within few minutes. Some facilities were closed due to COVID-19 which’s fair enough.",10.0,Exceptional,0,1,location|staff|covid|,1
83,United Kingdom,Studio King (Family),2  ,December 2020,Family, Location,7.5,Good,0,1,location|,1
84,United Kingdom,Studio King (Family),2  ,December 2020,Family, Breakfast and waitering staff were great,8.0,Very Good,0,1,food|staff|,1
85,United Kingdom,Superior Double Room with Internal View,2  ,December 2020,Group," Location, room service and it is overall a very beautiful hotel!",8.0,Good weekend stay,0,1,location|staff|,1
86,United Kingdom,Studio Triple,3  ,December 2020,Family, Location excellent,8.0,Very Good,0,1,location|,1
87,United Kingdom,Superior Double Room - Disability Access,3  ,December 2020,Couple," Location was great - only a couple minute walk to London eye! All the staff were very helpful, rose petals and strawberries were left in room for us which was lovely. Room was spacious and comfortable! Overall great stay!",10.0,Amazing! Will stay again!,0,1,location|staff|comfort|,1
88,United Kingdom,Studio King (Family),1  ,December 2020,Family," The staff were friendly and read to help when I needed. My children love the decorations and our room, plenty of space , for my children . Surely we are going back next year. 
Thank you",10.0,Our 10 stars hotel,0,1,staff|,1
89,United Kingdom,Studio King (Family),1  ,December 2020,Family, Everything was perfect except one thing when I booked big room was london eye view but at reception no one ask us which rooms .,9.0,Its very nice definitely come back,0,1,location|staff|,1
90,United Kingdom,Studio King (Family),1  ,December 2020,Couple," I liked the layout of the room, the size of the huuuge bed and the face we had 2 TVs.",7.0,"Loved the hotel, great stay, amazing location!",0,1,bed|tv|,1
91,United Arab Emirates,Studio Double Room with Big Ben View,6  ,December 2020,Group, Location,9.0,Wonderful,0,1,location|,1
92,United Kingdom,Studio Double Room with London Eye View,2  ,December 2020,Couple, Nice hotel in a good location,7.0,Good,0,1,location|,1
93,United Kingdom,Superior Double Room with Internal View,2  ,December 2020,Couple, Everything was 10/10,10.0,Exceptional,0,1,,1
94,United Kingdom,Studio King (Family),1  ,December 2020,Family, Loved everything from service to cleanliness and delicious food an a wonderful night sleep!,10.0,Exceptional,0,1,staff|dirty|drink|food|bed|,1
95,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, Very clean,10.0,Exceptional,0,1,dirty|,1
96,United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Couple, Perfect all. Waiting when spa centre will open. Want go back here 100%.,10.0,Dreamy stay. A awesome view on big ben,0,1,fitness|location|,0
97,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple, Room,10.0,Exceptional,0,1,,1
98,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, Everything. Fabulous location.,10.0,Exceptional,0,1,location|,1
99,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple," The hotel is absolutely beautiful and clean, all the staff apart from breakfast were very helpful and intentive. The room was lovely with a gorgeous view of the London Eye and they made the extra effort to include balloons for a birthday which was lovely.",8.3,Birthday Weekend,0,1,dirty|staff|food|location|,1
100,United Kingdom,Superior Double Room with Internal View,2  ,December 2020,Couple," Perfect location, outstanding custiomer service desk, helpful staff and exeptionally clean rooms. Would defo recommend for anybody who likes comfy beds ;)",10.0,BIG WOW! Perfect location,0,1,location|staff|dirty|comfort|bed|,1
101,United Kingdom,Superior Double Room with Internal View,2  ,December 2020,Couple, Third time staying here at this beautiful hotel and all the staff are welcoming and very lovely great location and beautiful surroundings,10.0,Outstanding,0,1,staff|location|,1
102,United Kingdom,Studio Double Room with Big Ben View,1  ,December 2020,Couple," The perfect location, perfect view and excellent service",10.0,London stay,0,1,location|staff|,1
103,United Kingdom,Studio King (Family),1  ,December 2020,Family, Location,9.0,Very enjoyable stay,0,1,location|,1
104,United Kingdom,Superior Double Room with Internal View,3  ,December 2020,Couple," Location, 
Staff, 
Setting",10.0,Weekend trip,0,1,location|staff|,1
105,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple," Staff were so friendly, room was spotless and really nice. Love this hotel.",10.0,Exceptional,0,1,staff|,0
106,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, Breakfast was good and the location was excellent,9.0,Will be going back,0,1,food|location|,1
107,United Kingdom,Superior Twin Room with Internal View,2  ,December 2020,Couple, The location was great and some fab views,8.0,Great stay will return,0,1,location|,0
108,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Family," Good location , room , breakfast",10.0,Was very good,0,1,location|food|,1
109,United Kingdom,Superior Twin Room with Internal View,1  ,December 2020,Family, Breakfast tasty and we'll served,10.0,Good,0,1,food|,1
110,United Kingdom,Studio King (Family),1  ,December 2020,Couple, Good location,9.2,Wonderful,0,1,location|,1
111,United Kingdom,Superior Double Room,1  ,December 2020,Couple, The room was very nice and clean,8.0,The 1 night we had was very enjoyable and would love to stay again for longer,0,1,dirty|,1
112,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, The bed was amazing massive and super soft. The bath was much bigger than other hotels I have stayed at. Overall great room.,9.0,"Great room, 100% clean?",0,1,bed|bathroom|,0
113,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Solo traveler, We need the spa to be open because other hotels have and to guide lines,7.0,It was nice but its just little things that make it great,0,1,fitness|,1
114,United Kingdom,Studio King (Family),1  ,December 2020,Couple, We was unable to order breakfast to our room dispite trying many times so we went out for breakfast.,8.0,Amazing dispite the lite,0,1,food|,0
115,United Kingdom,Studio King (Family),3  ,December 2020,Family, Location - staff - cleanliness,9.0,Wonderful,0,1,location|staff|dirty|,1
116,United Kingdom,Studio King (Family),1  ,December 2020,Family, Everything,10.0,Exceptional,0,1,,1
117,United Kingdom,Studio Double Room with London Eye View,2  ,December 2020,Couple, Spacious room. Nice big bath. Lovely view of London eye.,9.0,Wonderful,0,1,bathroom|location|,0
118,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple," Location is amazing, right next to the eye and just a short walk across the Thames to Westminster",10.0,Exceptional,0,1,location|,1
119,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple," Beautiful clean shiny all around 
Staff were accommodating and friendly 
Felt very safe 
Got a room with the most beautiful view definitely will book again",10.0,Exceptional,0,1,dirty|staff|location|,0
120,United Kingdom,Studio King (Family),2  ,December 2020,Family, I loved the location and the hotel,9.0,Wonderful,0,1,location|,1
121,United Kingdom,Two-Bedroom Suite with Terrace,1  ,December 2020,Family, Breakfast was ok location was good rooms was good bed and chairs could of been more comfortable,9.0,Wonderful,0,1,food|location|bed|comfort|,1
122,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple, The room views were amazing. staff were amazing. Room was so clean and new looking.,9.0,Wonderful,0,1,location|staff|dirty|,0
123,United Kingdom,Studio King (Family),1  ,October 2020,Group, I customer service was great,10.0,No complaints was perfect  just wish we had access to the spa and swimming pool,0,1,staff|,1
124,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Family, Everything it was perfect,10.0,One word perfect,0,1,,1
125,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple, the fact you could get taxi from hotel and everyone was polite,7.0,Was good would stay again but not get breakfast,0,1,staff|,1
126,United Kingdom,Superior Double Room with Internal View,1  ,October 2020,Couple," Great location, clean and lovely service.",10.0,Lovely hotel,0,1,location|dirty|staff|,1
127,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, Great location. Great staff. Everything had been cleaned and the room was as expected !,10.0,Exceptional,0,1,location|staff|,1
128,United Kingdom,Superior Double Room with Internal View,3  ,December 2020,Couple," Security team extremely polite and friendly 
Amazing views 
Very quite
Lovely and clean, good room facilities",8.0,Very Good,0,1,staff|location|dirty|,0
129,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple, Lovely view and very modern !!,10.0,Exceptional,0,1,location|comfort|,1
130,United Kingdom,Superior Double Room with Internal View,1  ,December 2020,Couple, My second visit now. me and the husband love this hotel. boujee lobby and good breakfast,9.0,Wonderful,0,1,food|,1
131,United Kingdom,Studio Double Room with London Eye View,1  ,December 2020,Couple," Very clean, very warm, very modern",9.0,Lovely stay!!,0,1,dirty|comfort|,1
