,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Negative,Positive,Facilities,1
1,Switzerland,Twin Room,1  ,July 2020,Solo traveler, Uniquely designed rooms. Excellent breakfast,10.0,Exceptional,0,1,food|,1
2,Poland,Twin Room,2  ,February 2021,Solo traveler," - Very good location.
- Nice, clean rooms, a bath tube in the bathroom (if you like that).
- Polite staff.
- Comfy beds.
- Good WiFi.
- Smoking cabin inside the hotel so no smokers next to the entrance.",8.0,Good hotel in a great location!,0,1,location|dirty|bathroom|staff|comfort|bed|wifi|,1
3,Poland,Double Room,1  ,December 2020,Couple, Beds are extremely comfortable and the view of the city from room is gorgeous. Worthy,10.0,Perfect view and super comfy bed!,0,1,bed|comfort|location|,0
4,Poland,Twin Room,1  ,November 2020,Solo traveler," Very kind and proffesional persone;. I could only tell  that I booked it for one night, when I realized that I need to stay in Wrocław for additional overnight my first choice was HP  Park Plaza",9.0,I will be back here.,0,1,,1
5,Ireland,Double Room,3  ,November 2020,Couple, The Hotel is in perfect location. Lovely view and great price for the stay 3 nights. Thank you very much for over all. See you next time...,10.0,Exceptional,0,1,location|price|,1
6,Netherlands,Double Room Plus River View,3  ,October 2020,Couple, The front desk clerk and the staff in general were simply amazing.,10.0,Exceptional,0,1,staff|,1
7,Turkey,Double Room,2  ,October 2020,Couple, Room was super clean and disinfected everyday. Bed was extremely comfortable nice river view. Everything was great highly recommended,10.0,Exceptional,0,1,dirty|bed|comfort|location|,1
8,Poland,Double Room,1  ,July 2020,Group," good location, great stay",9.0,Wonderful,0,1,location|,1
9,Netherlands,Double Room Plus River View,1  ,September 2020,Couple, How the room looks like and the view,10.0,Exceptional,0,1,location|,1
10,United Kingdom,Double Room,4  ,September 2020,Solo traveler," A very nice hotel 
Very comfortable 
Formal business like 
Good service",8.0,Very comfortable,0,1,comfort|staff|,1
11,Poland,Double Room,1  ,September 2020,Couple," Location, cleanliness , comfort and breakfast. Friendliness of staff",10.0,Comfy hotel in the heart of Wroclaw,0,1,location|dirty|comfort|food|staff|,0
12,United Kingdom,Double Room,6  ,July 2020,Family, Great location in the city.  Nice rooms.  Good food.  There’s a large playground for children just over the bridge.,8.0,Mostly good,0,1,location|drink|food|fitness|,1
13,Czech Republic,Single Room,1  ,August 2020,Solo traveler," Perfect stay, very comfortable.",9.0,Wonderful,0,1,comfort|,1
14,United Kingdom,Double Room,1  ,September 2020,Family, Quietness!!!! Lovely views. Responsive and kind staff.,8.0,Will come back again,0,1,location|staff|,0
15,Poland,Double Room,2  ,August 2020,Couple," Location - super
Easy to find
Comfortable.",9.0,A great place for a visit to Wrocław.,0,1,location|comfort|,1
16,Hungary,Double Room,3  ,August 2020,Couple," Hotel is located near the river with awesome view. Rynek/center is within walking distance (or lime-ride distance) 
Minibar was loaded with good stuffs. Room was clean in general.",8.0,Very Good,0,1,location|dirty|,0
17,United Kingdom,Twin Room,3  ,August 2020,Group," Location was good, short walk to the square. Staff were pleasant.",10.0,Few Days Stay,0,1,location|staff|noisiness|,1
18,United Kingdom,Twin Room,3  ,August 2020,Group, Hotel Very clean. Friendly staff.,9.0,Wonderful,0,1,dirty|staff|,1
19,Germany,Double Room,1  ,August 2020,Couple," Nice room
Nice view
Very good",9.0,Wonderful,0,1,location|,0
20,Luxembourg,Double Room Plus River View,1  ,August 2020,Couple," We had a room facing the river, on the 4th floor. All perfect, the room was clean and modern, quiet as we wanted it to be. The restaurant is good, bery well maintained and respecting anti-covid mesures: limited self service, all waiters wearing the masks, strict hygiene, some products sealed in plastic (like a portion of fruit salad). Overall, great experience, we were very pleased. In addition, it's super central, right next to the oldtown and Oder river. Wasn't overcrowded.",9.0,Wonderful,0,1,dirty|comfort|noisiness|restaurant|covid|staff|location|,0
21,United Kingdom,Twin Room,3  ,August 2020,Couple," Everything was great . Very well located , comfortable room , polite and professional service. Highly recommended. Good value for money",10.0,Excellent stay,0,1,location|comfort|staff|price|,1
22,Czech Republic,Double Room,2  ,August 2020,Couple," Hotel is easy to find, its realy great dominant building, has a very good location closing to city center. I lived in 4.floor with beatiful view on the river Odra (perfect on the evening). The room was clean and spacious. Bathroom is nice with a bathtube. TV has good channels, plus one channel just only about Wroclaw and hotels Plaza. Housekeeping was very good.",8.0,Great building with beautiful view and  quality service,0,1,location|dirty|bathroom|tv|wifi|,1
23,Germany,Double Room,2  ,July 2020,Family," Location, staff and breakfast were excellent.",10.0,Exceptional,0,1,location|staff|food|,1
24,Lithuania,Double Room Plus River View,3  ,August 2020,Couple, Take room with view to the river,10.0,Exceptional,0,1,location|,1
25,Slovenia,Double Room,2  ,July 2020,Family, Everyone was nice and take care of me and my family,10.0,Top,0,1,,1
26,Poland,Double Room,2  ,June 2020,Couple," Staff, air con, bar, view, terrace, location.",9.0,Wonderful,0,1,staff|temperature|drink|restaurant|location|,1
27,United Kingdom,Double Room,4  ,June 2020,Couple," Housekeeping staff very nice and helpful.
View from room.",8.0,Very Good,0,1,staff|location|,0
28,Czech Republic,Single Room Plus River View,1  ,June 2020,Solo traveler, In the city center,9.0,"Nice hotel , pleasant staff",0,1,location|,1
29,Lithuania,Double Room,1  ,February 2020,Family, Good location. Comfortable room. Nice breakfast.,8.0,Would stay there again,0,1,location|comfort|food|,0
30,United Kingdom,Double Room,3  ,March 2020,Couple," Big clean room, fabulous view, nice bar and restaurant, courteous staff, excellent central location.",10.0,Exceptional,0,1,dirty|location|drink|restaurant|staff|,1
31,United Kingdom,Double Room Plus River View,3  ,February 2020,Couple, Everything,10.0,Exceptional,0,1,,1
32,Germany,Single Room,3  ,February 2020,Solo traveler," Staff were very helpful, friendly and polite. Always smiling. 
Room was big, bed very comfortable.
Breakfast was great, lots of choices and plenty of food. 
The small bar was cozy and relaxing. 
Will definitely stay only here on my visits to Wroclaw.",9.0,Just perfect,0,1,staff|bed|comfort|food|drink|restaurant|,1
33,France,Double Room Plus River View,1  ,February 2020,Couple," -super view in the room. Room spacious, modern and comfortable.
-Service excellent, barmaid super ! 
-excellent location",10.0,Exceptional,0,1,location|comfort|staff|,1
34,United Kingdom,Double Room,1  ,February 2020,Couple," Last minute booking for the night before we left.
Clean, lovely staff. Decor a bit dated but otherwise perfect.",9.6,Perfect,0,1,dirty|staff|comfort|,0
35,United Kingdom,Double Room,2  ,February 2020,Solo traveler, Good,9.2,Wonderful,0,1,,1
36,Netherlands,Double Room,2  ,February 2020,Couple, Great location.,8.0,Very Good,0,1,location|,1
37,United Kingdom,Double Room,3  ,February 2020,Couple," Location 
Quality 
Clean 
Friendly 
Great value",9.6,Great location and hotel,0,1,location|dirty|staff|price|,1
38,United Kingdom,Twin Room,1  ,February 2020,Group, Great location- close to the old town,7.9,Good,0,1,location|,1
39,United Kingdom,Double Room,3  ,February 2020,Couple," Excellent location, spotlessy clean. Excellent choice at breakfast and staff couldn’t have been more helpful",10.0,Exceptional,0,1,location|dirty|food|staff|,0
40,United Kingdom,Single Room,1  ,January 2020,Group, Comfortable hotel with friendly staff in good location. Good value for money,9.0,"Comfortable, clean hotel with friendly staff. Excellent value",0,1,comfort|staff|location|price|,1
