Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
Kuwait,Superior Double Room,2,August 2018,Family," Everything you needed was there: iron, microwave, kettle, plates, silverware and wifi. Spacious rooms. Comfortable beds. underground station is close by and There’s space for cabs to park. Will definitely stay here again.",10.0,THE place to be in london.,1,food/drink,1
Kuwait,Superior Double Room,2,August 2018,Family," Everything you needed was there: iron, microwave, kettle, plates, silverware and wifi. Spacious rooms. Comfortable beds. underground station is close by and There’s space for cabs to park. Will definitely stay here again.",10.0,THE place to be in london.,1,internet,1
Kuwait,Superior Double Room,2,August 2018,Family," Everything you needed was there: iron, microwave, kettle, plates, silverware and wifi. Spacious rooms. Comfortable beds. underground station is close by and There’s space for cabs to park. Will definitely stay here again.",10.0,THE place to be in london.,1,comfort,1
Kuwait,Superior Double Room,2,August 2018,Family," Everything you needed was there: iron, microwave, kettle, plates, silverware and wifi. Spacious rooms. Comfortable beds. underground station is close by and There’s space for cabs to park. Will definitely stay here again.",10.0,THE place to be in london.,1,bed,1
United Kingdom,Penthouse Suite (Family),1,March 2021,Solo traveler," Had the penthouse, initially tv didn’t work but technician came and tv was fixed after 15 minutes, he was very friendly, cleanliness of room seemed a 7/10.. not too sure why there was a board room table in the room, but staff were more than accommodating and extremely friendly, they couldn’t do enough to help. Customer service was definitely a 10/10 though. Views were as promised, beautiful view of the London eye.",7.0,Lovely staff & service 5*,1,tv,1
United Kingdom,Penthouse Suite (Family),1,March 2021,Solo traveler," Had the penthouse, initially tv didn’t work but technician came and tv was fixed after 15 minutes, he was very friendly, cleanliness of room seemed a 7/10.. not too sure why there was a board room table in the room, but staff were more than accommodating and extremely friendly, they couldn’t do enough to help. Customer service was definitely a 10/10 though. Views were as promised, beautiful view of the London eye.",7.0,Lovely staff & service 5*,1,staff,1
United Kingdom,Penthouse Suite (Family),1,March 2021,Solo traveler," Had the penthouse, initially tv didn’t work but technician came and tv was fixed after 15 minutes, he was very friendly, cleanliness of room seemed a 7/10.. not too sure why there was a board room table in the room, but staff were more than accommodating and extremely friendly, they couldn’t do enough to help. Customer service was definitely a 10/10 though. Views were as promised, beautiful view of the London eye.",7.0,Lovely staff & service 5*,1,dirty,1
United Kingdom,Penthouse Suite (Family),1,March 2021,Solo traveler," Had the penthouse, initially tv didn’t work but technician came and tv was fixed after 15 minutes, he was very friendly, cleanliness of room seemed a 7/10.. not too sure why there was a board room table in the room, but staff were more than accommodating and extremely friendly, they couldn’t do enough to help. Customer service was definitely a 10/10 though. Views were as promised, beautiful view of the London eye.",7.0,Lovely staff & service 5*,1,location,1
United Kingdom,Penthouse Suite,1,March 2021,Solo traveler," The property and the penthouse of the hotel 
Was fantastic grate views of the city and can’t wait to come back ☺️",10.0,Location is key,1,location,1
United Kingdom,Studio Double Room,2,February 2021,Couple, Staff were nice and friendly. Room was spacious and very clean. Would defo stay again,9.0,Perfect stay,1,staff,1
