,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,0
1,France,Standard Double or Twin Room,1,November 2019,Couple," The staff is really smily, friendly and professional. The check-in and welcoming was really nice.",10.0,All good,1,staff,1
2,United Kingdom,Standard Double or Twin Room,1,January 2021,Solo traveler, Excellent service from the reception desk. Arranged taxi for me and later checkout.,8.0,Very hospitable hotel. Well located! Excellent service. Very friendly staff.,1,staff,0
3,United Kingdom,Premium Room,1,December 2020,Couple, Comfortable room and bed a bit basic for the money. No milk or biscuits! Expected s bit more Luxe,8.0,Enjoyable stay for our purpose but expected a little.more luxe factor,1,comfort,1
4,United Kingdom,Premium Room,1,December 2020,Couple, Comfortable room and bed a bit basic for the money. No milk or biscuits! Expected s bit more Luxe,8.0,Enjoyable stay for our purpose but expected a little.more luxe factor,1,bed,1
5,United Kingdom,Premium Room,1,December 2020,Couple, Comfortable room and bed a bit basic for the money. No milk or biscuits! Expected s bit more Luxe,8.0,Enjoyable stay for our purpose but expected a little.more luxe factor,1,price,1
6,United Kingdom,Superior Single Room,1,October 2020,Solo traveler, the bed and toilet,9.0,It is my faviorte hotel,1,bed,1
7,United Kingdom,Superior Single Room,1,October 2020,Solo traveler, the bed and toilet,9.0,It is my faviorte hotel,1,bathroom,1
8,Botswana,Single Room,4,October 2020,Solo traveler," The place was amazing, multi cultural and really really good",9.0,Wonderful,1,location,0
9,United Kingdom,Standard Double or Twin Room,1,October 2020,Couple, Central,9.0,Wonderful,1,location,1
10,Italy,Single Room,6,September 2020,Solo traveler," Very nice and helpful staff, very respectful of COVID 19- hygiene’s requirements.",8.0,Very Good,1,staff,1
11,Italy,Single Room,6,September 2020,Solo traveler," Very nice and helpful staff, very respectful of COVID 19- hygiene’s requirements.",8.0,Very Good,1,covid,1
12,Italy,Single Room,6,September 2020,Solo traveler," Very nice and helpful staff, very respectful of COVID 19- hygiene’s requirements.",8.0,Very Good,1,dirty,1
13,United Kingdom,Standard Double or Twin Room,2,March 2020,Couple," Fabulous breakfast, comfy bed and pillows.",8.0,Confortable and convenient with excellent breakfast.,1,food/drink,1
14,United Kingdom,Standard Double or Twin Room,2,March 2020,Couple," Fabulous breakfast, comfy bed and pillows.",8.0,Confortable and convenient with excellent breakfast.,1,comfort,1
15,United Kingdom,Standard Double or Twin Room,2,March 2020,Couple," Fabulous breakfast, comfy bed and pillows.",8.0,Confortable and convenient with excellent breakfast.,1,bed,1
16,Belgium,Superior Single Room,2,March 2020,Family, Staff was really very kind,9.0,Good value for money,1,staff,1
17,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Central location was ideal. The room was amazing.,8.8,Excellent,1,location,1
18,Indonesia,Premium Triple Room,2,March 2020,Family," The staff, the location",8.0,Right next to the station,1,staff,1
19,Indonesia,Premium Triple Room,2,March 2020,Family," The staff, the location",8.0,Right next to the station,1,location,1
20,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Location suited us for a leisure weekend with a visit to Mere restaurant-which was excellent.  Steak and Lobster restaurant within the hotel was excellent for an evening meal.,7.9,Good,1,location,1
21,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Location suited us for a leisure weekend with a visit to Mere restaurant-which was excellent.  Steak and Lobster restaurant within the hotel was excellent for an evening meal.,7.9,Good,1,restaurant,1
22,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, Location suited us for a leisure weekend with a visit to Mere restaurant-which was excellent.  Steak and Lobster restaurant within the hotel was excellent for an evening meal.,7.9,Good,1,food/drink,1
23,United Kingdom,Standard Double or Twin Room,2,March 2020,Couple, Location,7.5,Good,1,location,1
24,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Good location, really close to Everything.
Good surrounding shops.",9.6,Jay,1,location,1
25,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Good location, really close to Everything.
Good surrounding shops.",9.6,Jay,1,restaurant,1
26,United Kingdom,Standard Double or Twin Room,2,March 2020,Group," Breakfast excellent Coffee little on strong side. Radison Staff helpful and polite. Hotel very nice and Clean.
Would stay at Radison Again No Problem
London itself to much litter and very dirty in around bars ,tube station areas etc Compared with Rome , Paris and other cities very dirty etc.",8.0,Very Good,1,food/drink,1
27,United Kingdom,Standard Double or Twin Room,2,March 2020,Group," Breakfast excellent Coffee little on strong side. Radison Staff helpful and polite. Hotel very nice and Clean.
Would stay at Radison Again No Problem
London itself to much litter and very dirty in around bars ,tube station areas etc Compared with Rome , Paris and other cities very dirty etc.",8.0,Very Good,1,staff,1
28,United Kingdom,Standard Double or Twin Room,2,March 2020,Group," Breakfast excellent Coffee little on strong side. Radison Staff helpful and polite. Hotel very nice and Clean.
Would stay at Radison Again No Problem
London itself to much litter and very dirty in around bars ,tube station areas etc Compared with Rome , Paris and other cities very dirty etc.",8.0,Very Good,1,dirty,1
29,United Kingdom,Standard Double or Twin Room,2,March 2020,Group," Breakfast excellent Coffee little on strong side. Radison Staff helpful and polite. Hotel very nice and Clean.
Would stay at Radison Again No Problem
London itself to much litter and very dirty in around bars ,tube station areas etc Compared with Rome , Paris and other cities very dirty etc.",8.0,Very Good,1,restaurant,1
30,United Kingdom,Standard Double or Twin Room,2,March 2020,Group," Breakfast excellent Coffee little on strong side. Radison Staff helpful and polite. Hotel very nice and Clean.
Would stay at Radison Again No Problem
London itself to much litter and very dirty in around bars ,tube station areas etc Compared with Rome , Paris and other cities very dirty etc.",8.0,Very Good,1,location,1
31,Portugal,Standard Double or Twin Room,2,March 2020,Couple, Accessibility to public transports.,7.1,Good,1,dirty,1
32,United Kingdom,Premium Room,1,February 2020,Family, Upgraded to a suite.  Very clean and polite staff,9.0,Home from Home,1,dirty,1
33,United Kingdom,Premium Room,1,February 2020,Family, Upgraded to a suite.  Very clean and polite staff,9.0,Home from Home,1,staff,1
34,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Cleanliness
Staff
Comfortable",8.0,Very Good,1,dirty,1
35,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Cleanliness
Staff
Comfortable",8.0,Very Good,1,staff,1
36,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple," Cleanliness
Staff
Comfortable",8.0,Very Good,1,comfort,1
37,United Kingdom,Premium Room,1,February 2020,Couple," Location perfect for UCLH. Easy to get to by car and availability of off-site secure parking. Reception process very easy and efficient. Breakfast was fantastic again. Concierge, Edgar was outstanding",8.0,Functional and convenient,1,location,0
38,United Kingdom,Premium Room,1,February 2020,Couple," Location perfect for UCLH. Easy to get to by car and availability of off-site secure parking. Reception process very easy and efficient. Breakfast was fantastic again. Concierge, Edgar was outstanding",8.0,Functional and convenient,1,parking,0
39,United Kingdom,Premium Room,1,February 2020,Couple," Location perfect for UCLH. Easy to get to by car and availability of off-site secure parking. Reception process very easy and efficient. Breakfast was fantastic again. Concierge, Edgar was outstanding",8.0,Functional and convenient,1,staff,0
40,United Kingdom,Premium Room,1,February 2020,Couple," Location perfect for UCLH. Easy to get to by car and availability of off-site secure parking. Reception process very easy and efficient. Breakfast was fantastic again. Concierge, Edgar was outstanding",8.0,Functional and convenient,1,food/drink,0
41,United Kingdom,Standard Double or Twin Room,1,February 2020,Couple, Very nice room and good location,9.2,Wonderful,1,location,0
42,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, It was central to everything we were doing which was good. Facilities and cleanliness were great also,7.5,Good,1,location,0
43,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple, It was central to everything we were doing which was good. Facilities and cleanliness were great also,7.5,Good,1,dirty,0
44,United Kingdom,Standard Double or Twin Room,2,February 2020,Family, Breakfast selection very good,9.0,"Nice , comfortable rooms",1,food/drink,1
45,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple," Good location for west end, reasonable pricing, decent room for the cost/location. Good staff, valet parking",7.9,Good city break venue,1,location,1
46,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple," Good location for west end, reasonable pricing, decent room for the cost/location. Good staff, valet parking",7.9,Good city break venue,1,price,1
47,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple," Good location for west end, reasonable pricing, decent room for the cost/location. Good staff, valet parking",7.9,Good city break venue,1,staff,1
48,United Kingdom,Standard Double or Twin Room,2,February 2020,Couple," Good location for west end, reasonable pricing, decent room for the cost/location. Good staff, valet parking",7.9,Good city break venue,1,parking,1
49,United Kingdom,Standard Double or Twin Room,1,February 2020,Solo traveler, Comfort,8.0,Great,1,comfort,1
50,United Kingdom,Premium Room,2,February 2020,Couple," Good location, not far from train station and close to underground,",9.0,Wonderful,1,location,1
51,United Kingdom,Superior Single Room,1,February 2020,Solo traveler," Easy check in, small but comfortable single room. The bed was amazing! Good variety of healthy foods at breakfast.",9.0,Very comfortable room,1,comfort,0
52,United Kingdom,Superior Single Room,1,February 2020,Solo traveler," Easy check in, small but comfortable single room. The bed was amazing! Good variety of healthy foods at breakfast.",9.0,Very comfortable room,1,bed,0
53,United Kingdom,Superior Single Room,1,February 2020,Solo traveler," Easy check in, small but comfortable single room. The bed was amazing! Good variety of healthy foods at breakfast.",9.0,Very comfortable room,1,food/drink,0
54,United Kingdom,Standard Double or Twin Room,1,February 2020,Family," The online check in was great, allowing us to select rooms near each other, away from the front and see room sizes. The rooms were very clean, had effective heating controls, and of a good size for central London at the price point! We deliberately picked larger rooms in the back newer section of the hotel, they are larger and quieter being away from the main road. The staff were also very good, we had a problem with one room (the mattress had failed so wasn't comfortable) but we were quickly and efficiently upgraded to a larger room nearby which was lovely! Both rooms had excellent showers (one with a bath) and although furniture was simple it was all in good order. All in all a great base for a West End visit or to explore London from.",9.0,Wonderful,1,internet,1
