,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,0
1,Ireland,Standard Double Room - Atrium View,2,February 2020,Couple, The staff were beyond friendly and the whole experience was so enjoyable. Beautiful hotel with all the facilities you need. I would go back in a heartbeat if I was travelling to Sydney again.,10.0,Exceptional,1,staff,1
2,Ireland,Standard Double Room - Atrium View,2,February 2020,Couple, The staff were beyond friendly and the whole experience was so enjoyable. Beautiful hotel with all the facilities you need. I would go back in a heartbeat if I was travelling to Sydney again.,10.0,Exceptional,1,location,1
3,Australia,Superior Double Room,1,August 2020,Group," In a perfect spot in the middle of the CBD, close the the rocks and wynard train station. Helpful staff (thanks for the free room upgrade !).
Rooms are nice and modern, nice big shower and bath, and even a little peek-a-boo window from the bathroom to the bedroom which is a nice touch. Good size gym and indoor pool as well. What you expect from a 5 star hotel.",9.0,5 star service for a 5 star hotel.,1,location,0
4,Australia,Superior Double Room,1,August 2020,Group," In a perfect spot in the middle of the CBD, close the the rocks and wynard train station. Helpful staff (thanks for the free room upgrade !).
Rooms are nice and modern, nice big shower and bath, and even a little peek-a-boo window from the bathroom to the bedroom which is a nice touch. Good size gym and indoor pool as well. What you expect from a 5 star hotel.",9.0,5 star service for a 5 star hotel.,1,staff,0
5,Australia,Superior Double Room,1,August 2020,Group," In a perfect spot in the middle of the CBD, close the the rocks and wynard train station. Helpful staff (thanks for the free room upgrade !).
Rooms are nice and modern, nice big shower and bath, and even a little peek-a-boo window from the bathroom to the bedroom which is a nice touch. Good size gym and indoor pool as well. What you expect from a 5 star hotel.",9.0,5 star service for a 5 star hotel.,1,comfort,0
6,Australia,Superior Double Room,1,August 2020,Group," In a perfect spot in the middle of the CBD, close the the rocks and wynard train station. Helpful staff (thanks for the free room upgrade !).
Rooms are nice and modern, nice big shower and bath, and even a little peek-a-boo window from the bathroom to the bedroom which is a nice touch. Good size gym and indoor pool as well. What you expect from a 5 star hotel.",9.0,5 star service for a 5 star hotel.,1,bathroom,0
7,Australia,Superior Double Room,1,August 2020,Group," In a perfect spot in the middle of the CBD, close the the rocks and wynard train station. Helpful staff (thanks for the free room upgrade !).
Rooms are nice and modern, nice big shower and bath, and even a little peek-a-boo window from the bathroom to the bedroom which is a nice touch. Good size gym and indoor pool as well. What you expect from a 5 star hotel.",9.0,5 star service for a 5 star hotel.,1,fitness,0
8,Australia,Superior Double Room,1,August 2020,Solo traveler, Very clean and spacious room; staff very polite.,10.0,Exceptional,1,dirty,1
9,Australia,Superior Double Room,1,August 2020,Solo traveler, Very clean and spacious room; staff very polite.,10.0,Exceptional,1,staff,1
10,Australia,Superior Twin Room,1,August 2020,Group," Little considerations are lovely. The clock dims when the lights are off, you can cast from your device to the tv.",8.0,Was perfect from start to finish. Ended with luxurious spa treatment.,1,tv,1
11,Australia,Superior Double Room,1,August 2020,Group," Free room upgrade on arrival, clean, quiet, excellently located, great bar staff!!",8.0,"Excellent location, superby comfortable bed",1,dirty,0
12,Australia,Superior Double Room,1,August 2020,Group," Free room upgrade on arrival, clean, quiet, excellently located, great bar staff!!",8.0,"Excellent location, superby comfortable bed",1,noisiness,0
13,Australia,Superior Double Room,1,August 2020,Group," Free room upgrade on arrival, clean, quiet, excellently located, great bar staff!!",8.0,"Excellent location, superby comfortable bed",1,location,0
14,Australia,Superior Double Room,1,August 2020,Group," Free room upgrade on arrival, clean, quiet, excellently located, great bar staff!!",8.0,"Excellent location, superby comfortable bed",1,restaurant,0
15,Australia,Superior Double Room,1,August 2020,Group," Free room upgrade on arrival, clean, quiet, excellently located, great bar staff!!",8.0,"Excellent location, superby comfortable bed",1,staff,0
16,Australia,Standard Double Room - Atrium View,1,July 2020,Couple," Room space, bed , bathroom excellent",8.0,Generally enjoyable subject to TV comments,1,bed,1
17,Australia,Standard Double Room - Atrium View,1,July 2020,Couple," Room space, bed , bathroom excellent",8.0,Generally enjoyable subject to TV comments,1,bathroom,1
18,Australia,Superior Twin Room,1,July 2020,Couple, The amazing bathroom beautiful full-size bath tub Excellent,10.0,Very happy with the service great location and would thoroughly recommend it to anybody staying in S,1,bathroom,0
19,Australia,Superior Twin Room,1,July 2020,Family, Great location and polite staff. Thank you,10.0,Exceptional,1,location,1
20,Australia,Superior Twin Room,1,July 2020,Family, Great location and polite staff. Thank you,10.0,Exceptional,1,staff,1
21,Australia,Superior Twin Room,1,July 2020,Family," Wonderful staff 
Extremely comfortable beds 
Lovely clean room",10.0,Exceptional,1,staff,0
22,Australia,Superior Twin Room,1,July 2020,Family," Wonderful staff 
Extremely comfortable beds 
Lovely clean room",10.0,Exceptional,1,comfort,0
23,Australia,Superior Twin Room,1,July 2020,Family," Wonderful staff 
Extremely comfortable beds 
Lovely clean room",10.0,Exceptional,1,bed,0
24,Australia,Superior Twin Room,1,July 2020,Family," Wonderful staff 
Extremely comfortable beds 
Lovely clean room",10.0,Exceptional,1,dirty,0
25,Australia,Standard Double Room - Atrium View,1,July 2020,Couple, Very impressed with how clean it was and the extremely comfortable bed,10.0,fantastic,1,dirty,0
26,Australia,Standard Double Room - Atrium View,1,July 2020,Couple, Very impressed with how clean it was and the extremely comfortable bed,10.0,fantastic,1,comfort,0
27,Australia,Standard Double Room - Atrium View,1,July 2020,Couple, Very impressed with how clean it was and the extremely comfortable bed,10.0,fantastic,1,bed,0
28,Australia,Superior Twin Room,3,July 2020,Family," Room was comfortable and well Serviced 
Kids liked the indoor pool 
Good location , 5 minutes walk to circular quay",8.0,Weekend city break,1,comfort,1
29,Australia,Superior Twin Room,3,July 2020,Family," Room was comfortable and well Serviced 
Kids liked the indoor pool 
Good location , 5 minutes walk to circular quay",8.0,Weekend city break,1,fitness,1
