,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,0
1,Poland,Superior King Room,1,January 2020,Couple," Great breakfast, nice swimingpool and sauna🙂
Everything was perfect👍",10.0,Very nice time at this Hotel and place,1,food/drink,1
2,Italy,Executive King Room with Iconic View,1,February 2021,Group, Very nice and comfortable hotel. Despite the kitchen was closing they prepared a tasty dinner. Good breakfast,9.0,Wonderful,1,comfort,1
3,Italy,Executive King Room with Iconic View,1,February 2021,Group, Very nice and comfortable hotel. Despite the kitchen was closing they prepared a tasty dinner. Good breakfast,9.0,Wonderful,1,bathroom,1
4,Italy,Executive King Room with Iconic View,1,February 2021,Group, Very nice and comfortable hotel. Despite the kitchen was closing they prepared a tasty dinner. Good breakfast,9.0,Wonderful,1,food/drink,1
5,Bulgaria,Superior King Room with Iconic View,1,January 2021,Couple," The staff is extremely friendly, the rooms are clean and cozy, location is great.",9.0,"Nice location, kindly staff",1,staff,1
6,Bulgaria,Superior King Room with Iconic View,1,January 2021,Couple," The staff is extremely friendly, the rooms are clean and cozy, location is great.",9.0,"Nice location, kindly staff",1,dirty,1
7,Bulgaria,Superior King Room with Iconic View,1,January 2021,Couple," The staff is extremely friendly, the rooms are clean and cozy, location is great.",9.0,"Nice location, kindly staff",1,comfort,1
8,Bulgaria,Superior King Room with Iconic View,1,January 2021,Couple," The staff is extremely friendly, the rooms are clean and cozy, location is great.",9.0,"Nice location, kindly staff",1,location,1
9,United Kingdom,Executive King Room,1,December 2020,Solo traveler," I loved the split level Dutch style room. The room was well equipped and very comfortable.  The swimming pool in the basement is fantastic.  I stay in many Amsterdam hotels, this is my favourite.",8.0,Favourite Hotel in Amsterdam,1,comfort,0
10,United Kingdom,Executive King Room,1,December 2020,Solo traveler," I loved the split level Dutch style room. The room was well equipped and very comfortable.  The swimming pool in the basement is fantastic.  I stay in many Amsterdam hotels, this is my favourite.",8.0,Favourite Hotel in Amsterdam,1,fitness,0
11,Curaçao,Superior King Room with Iconic View,1,January 2021,Couple," The property is beautiful, clean and perfectly located. The staff was friendly and helpful.",9.0,"Classy, clean and friendly staff",1,dirty,1
12,Curaçao,Superior King Room with Iconic View,1,January 2021,Couple," The property is beautiful, clean and perfectly located. The staff was friendly and helpful.",9.0,"Classy, clean and friendly staff",1,location,1
13,Curaçao,Superior King Room with Iconic View,1,January 2021,Couple," The property is beautiful, clean and perfectly located. The staff was friendly and helpful.",9.0,"Classy, clean and friendly staff",1,staff,1
14,Poland,Superior King Room with Iconic View,1,December 2020,Couple," The location, room cleanliness and swimming pool",8.0,Very Good,1,location,1
15,Poland,Superior King Room with Iconic View,1,December 2020,Couple," The location, room cleanliness and swimming pool",8.0,Very Good,1,dirty,1
16,Poland,Superior King Room with Iconic View,1,December 2020,Couple," The location, room cleanliness and swimming pool",8.0,Very Good,1,fitness,1
17,United Kingdom,Superior Twin Room,3,December 2020,Couple, Great location lovely room and brilliant staff.,8.0,Beautiful place and location. Staff were slow to clean the room.,1,location,1
18,United Kingdom,Superior Twin Room,3,December 2020,Couple, Great location lovely room and brilliant staff.,8.0,Beautiful place and location. Staff were slow to clean the room.,1,staff,1
19,United Kingdom,Superior King Room,2,November 2020,Solo traveler," I asked for a quiet room, which it turned out not to be (rm101), but it was changed and upgraded very efficiently.  Breakfast was good and very efficient, room was very well sanitised.  Room had everything I needed, it was the perfect location for me.",8.0,comfortable and convinient,1,noisiness,1
20,United Kingdom,Superior King Room,2,November 2020,Solo traveler," I asked for a quiet room, which it turned out not to be (rm101), but it was changed and upgraded very efficiently.  Breakfast was good and very efficient, room was very well sanitised.  Room had everything I needed, it was the perfect location for me.",8.0,comfortable and convinient,1,food/drink,1
21,United Kingdom,Superior King Room,2,November 2020,Solo traveler," I asked for a quiet room, which it turned out not to be (rm101), but it was changed and upgraded very efficiently.  Breakfast was good and very efficient, room was very well sanitised.  Room had everything I needed, it was the perfect location for me.",8.0,comfortable and convinient,1,location,1
22,United Kingdom,Executive King Room with Iconic View,2,September 2020,Couple, Location & stay,7.0,Good,1,location,1
23,Netherlands,Executive King Room,1,November 2020,Couple," the hotel is quiet close to the train station, which is really convenient. the staff was really professional, the hotel has the hand sanitizer at the entrance. the hotel looks really clean. 
I was really happy with the room, it had a personalized welcome messaged and rose petals over the bed. in the room we had the hand sanitizer as well. And not to forget, the room is smart room with the device to commend the heating system to closing/opening the curtains.",9.0,perfect stay,1,noisiness,1
24,Netherlands,Executive King Room,1,November 2020,Couple," the hotel is quiet close to the train station, which is really convenient. the staff was really professional, the hotel has the hand sanitizer at the entrance. the hotel looks really clean. 
I was really happy with the room, it had a personalized welcome messaged and rose petals over the bed. in the room we had the hand sanitizer as well. And not to forget, the room is smart room with the device to commend the heating system to closing/opening the curtains.",9.0,perfect stay,1,staff,1
25,Netherlands,Executive King Room,1,November 2020,Couple," the hotel is quiet close to the train station, which is really convenient. the staff was really professional, the hotel has the hand sanitizer at the entrance. the hotel looks really clean. 
I was really happy with the room, it had a personalized welcome messaged and rose petals over the bed. in the room we had the hand sanitizer as well. And not to forget, the room is smart room with the device to commend the heating system to closing/opening the curtains.",9.0,perfect stay,1,dirty,1
26,Netherlands,Executive King Room,1,November 2020,Couple," the hotel is quiet close to the train station, which is really convenient. the staff was really professional, the hotel has the hand sanitizer at the entrance. the hotel looks really clean. 
I was really happy with the room, it had a personalized welcome messaged and rose petals over the bed. in the room we had the hand sanitizer as well. And not to forget, the room is smart room with the device to commend the heating system to closing/opening the curtains.",9.0,perfect stay,1,bed,1
27,Netherlands,Executive King Room,1,November 2020,Couple," the hotel is quiet close to the train station, which is really convenient. the staff was really professional, the hotel has the hand sanitizer at the entrance. the hotel looks really clean. 
I was really happy with the room, it had a personalized welcome messaged and rose petals over the bed. in the room we had the hand sanitizer as well. And not to forget, the room is smart room with the device to commend the heating system to closing/opening the curtains.",9.0,perfect stay,1,temperature,1
28,Belgium,Superior Twin Room,1,October 2020,Solo traveler," Very nice, comfi, beautiful! Pool is super, sauna huge and location great.",8.0,Very Good,1,fitness,1
29,Belgium,Superior Twin Room,1,October 2020,Solo traveler," Very nice, comfi, beautiful! Pool is super, sauna huge and location great.",8.0,Very Good,1,location,1
30,Australia,Superior King Room,2,October 2020,Solo traveler, Very comfortable  room. Tasty breakfast. Central location,8.0,Very comfortable stay in great central location,1,comfort,1
31,Australia,Superior King Room,2,October 2020,Solo traveler, Very comfortable  room. Tasty breakfast. Central location,8.0,Very comfortable stay in great central location,1,food/drink,1
32,Australia,Superior King Room,2,October 2020,Solo traveler, Very comfortable  room. Tasty breakfast. Central location,8.0,Very comfortable stay in great central location,1,location,1
33,Hong Kong,Executive King Room with Iconic View (3 Adults),2,October 2020,Family, We enjoyed our stay at Park Plaza - perfect for a city break. The staff were friendly and helpful - Covid has made some things difficult (breakfast buffet for example) but the hotel has found ways to accommodate the distancing rules and yet still provide a friendly service. The room was comfortable and a pleasure to return to each evening.,8.0,Lovely hotel and very well located.,1,location,1
