,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,Predicted
0,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Review,Grade,Title,Positive,Facilities,0
1,Bahrain,Superior Queen Room,4,March 2020,Couple," Room, facilities, breakfast, location",10.0,Exceptional,1,food/drink,1
2,Bahrain,Superior Queen Room,4,March 2020,Couple," Room, facilities, breakfast, location",10.0,Exceptional,1,location,1
3,Italy,Deluxe King Room,2,December 2020,Solo traveler, Very clean,8.0,Good stay considering nothing was open,1,dirty,1
4,Netherlands,Superior Queen Room,2,February 2021,Couple," Great location, wonderful to walk through the park (especially now since not much else is open)! The staff was very helpful, and we really liked the design of the room. Lovely breakfast, brought to our room (no buffet because of corona). Lots of different food items even though we only mentioned our dietary preferences (vegetarian) the evening before (croissant, sandwiches, muffin, egg, yoghurt, fruit, juice, etc!). All in all a great experience.",9.0,"Great location, room, and service",1,location,1
5,Netherlands,Superior Queen Room,2,February 2021,Couple," Great location, wonderful to walk through the park (especially now since not much else is open)! The staff was very helpful, and we really liked the design of the room. Lovely breakfast, brought to our room (no buffet because of corona). Lots of different food items even though we only mentioned our dietary preferences (vegetarian) the evening before (croissant, sandwiches, muffin, egg, yoghurt, fruit, juice, etc!). All in all a great experience.",9.0,"Great location, room, and service",1,staff,1
6,Netherlands,Superior Queen Room,2,February 2021,Couple," Great location, wonderful to walk through the park (especially now since not much else is open)! The staff was very helpful, and we really liked the design of the room. Lovely breakfast, brought to our room (no buffet because of corona). Lots of different food items even though we only mentioned our dietary preferences (vegetarian) the evening before (croissant, sandwiches, muffin, egg, yoghurt, fruit, juice, etc!). All in all a great experience.",9.0,"Great location, room, and service",1,food/drink,1
7,Netherlands,Deluxe King Room,1,February 2021,Couple," Location, interior",9.0,Nice and posh,1,location,1
8,Belgium,Deluxe King Room,1,December 2020,Couple, Wonderfully decorated. Extremely functional. Friendly staff. Serene location.,10.0,Exceptional,1,staff,1
9,Belgium,Deluxe King Room,1,December 2020,Couple, Wonderfully decorated. Extremely functional. Friendly staff. Serene location.,10.0,Exceptional,1,location,1
10,Netherlands,Superior Queen Room,1,November 2020,Couple," The room looked nice and clean, also the rest of the hotel was modern and clean.
The restaurant was fantastic.",8.0,Very Good,1,dirty,1
11,Netherlands,Superior Queen Room,1,November 2020,Couple," The room looked nice and clean, also the rest of the hotel was modern and clean.
The restaurant was fantastic.",8.0,Very Good,1,comfort,1
12,Netherlands,Superior Queen Room,1,November 2020,Couple," The room looked nice and clean, also the rest of the hotel was modern and clean.
The restaurant was fantastic.",8.0,Very Good,1,restaurant,1
13,Netherlands,Deluxe King Room,1,November 2020,Couple, Excellent location; room and bathroom are super clean with great facilities,10.0,Amazing and good value,1,location,1
14,Netherlands,Deluxe King Room,1,November 2020,Couple, Excellent location; room and bathroom are super clean with great facilities,10.0,Amazing and good value,1,bathroom,1
15,Netherlands,Deluxe King Room,1,November 2020,Couple, Excellent location; room and bathroom are super clean with great facilities,10.0,Amazing and good value,1,dirty,1
16,Ireland,Junior Suite,2,October 2020,Couple, Beautiful area to be located in and staff were so friendly and accommodating!.,10.0,Exceptional,1,location,1
